,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_022432,86.875,86.209,76.478,76.623,70.657,71.258,64.211,62.925,40.057,36.632,39.22,34.119,115.246,101.025,94.763,89.165,65.443,66.909,56.397,59.601
NR_045749,60.296,60.875,57.608,61.88,70.293,70.874,57.356,55.775,56.59,43.789,41.765,42.352,71.168,65.534,60.076,59.898,64.798,57.743,51.169,51.644
NM_013604,69.954,69.907,59.967,58.189,76.165,64.853,60.568,51.692,60.988,53.302,45.82,45.001,72.532,78.015,54.594,63.961,77.082,65.066,61.329,57
NM_177692,73.254,81.684,53.895,64.743,63.671,75.377,51.321,63.979,26.553,32.595,19.53,24.023,68.11,70.471,42.885,59.833,59.974,90.954,47.475,66.447
NM_181278,55.622,69.086,52.064,60.764,58.104,80.935,58.734,67.931,49.49,52.97,46.055,47.729,60.252,62.326,60.744,58.335,46.489,64.174,43.531,60.62
NM_001110310,60.829,72.021,58.523,63.246,67.422,71.44,57.376,64.508,52.31,47.603,38.715,45.205,57.754,73.915,52.343,63.67,61.822,71.337,55.152,58.024
NM_001123038,61.112,83.961,48.133,65.371,55.978,82.37,41.442,59.605,54.66,59.553,43.169,42.911,65.325,100.397,59.093,72.897,55.86,67.61,47.545,50.484
NM_026530,80.412,70.285,63.945,63.06,71.987,63.909,63.927,60.902,48.403,53.528,44.452,47.618,76.081,57.134,57.225,46.509,62.291,59.807,51.729,49.204
NM_001195244,82.096,67.21,70.814,56.407,70.827,64.854,53.324,56.119,41.836,49.101,37.223,36.903,56.742,62.451,57.262,49.973,67.64,63.066,57.21,58.755
NM_134135,66.139,68.151,47.986,48.728,66.495,68.04,49.98,47.525,45.374,46.556,33.834,42.526,72.557,66.653,49.758,53.84,57.575,57.227,44.283,45.291
NM_145929,65.876,67.968,56.017,60.643,67.585,66.866,63.551,64.659,43.927,43.908,42.764,44.542,79.096,76.446,68.356,62.134,67.187,66.661,59.905,54.498
NM_024256,73.301,70.615,60.401,59.807,70.097,64.323,58.632,53.881,55.031,57.12,44.679,47.158,83.281,74.596,61.727,66.856,73.669,64.993,59.413,58.074
NM_021502,87.199,84.578,85.777,76.49,63.672,70.275,54.084,58.669,62.511,65.343,49.18,56.004,72.698,86.768,57.407,77.374,83.202,77.952,69.242,66.439
NM_001025371,54.669,74.633,44.442,55.944,55.978,77.804,43.362,55.169,43.873,46.909,32.101,33.455,49.165,66.088,41.029,44.872,36.223,44.257,25.189,35.591
