,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,threshold,adj_p_signi,thr_signi
ARPC1B.1,3.8455060722208e-82,1.22156931232358,0.921,0.703,5.2737270274436e-78,1,ARPC1B,Up,Highly,Up_Highly
RPL5.1,6.55722090592377e-82,-0.924733862626077,0.912,0.981,8.99257275038385e-78,1,RPL5,Down,Highly,Down_Highly
MYL12A,4.29088404562475e-81,-1.31172800878249,0.695,0.909,5.88451838016978e-77,1,MYL12A,Down,Highly,Down_Highly
IL8,4.62741040439288e-80,4.2469868038727,0.277,0.031,6.34603062858439e-76,1,IL8,Up,Highly,Up_Highly
RAB32,5.83467631291078e-80,3.62943345416911,0.297,0.038,8.00167509552585e-76,1,RAB32,Up,Highly,Up_Highly
C1orf162.1,1.0478617300992e-79,1.60949829862052,0.727,0.306,1.43703757665804e-75,1,C1orf162,Up,Highly,Up_Highly
CD3E.1,1.79456094175602e-79,-3.65611948514744,0.096,0.567,2.4610608755242e-75,1,CD3E,Down,Highly,Down_Highly
RGS2.1,2.69004201592495e-79,2.01066550323612,0.599,0.204,3.68912362063947e-75,1,RGS2,Up,Highly,Up_Highly
ANXA2.1,3.24115716250525e-79,1.59850080114835,0.756,0.363,4.4449229326597e-75,1,ANXA2,Up,Highly,Up_Highly
CAPG.1,3.95169041191011e-79,2.11981158525772,0.536,0.162,5.41934823089353e-75,1,CAPG,Up,Highly,Up_Highly
TMSB10,1.14594584538167e-78,0.574088291694071,1,0.991,1.57155013235642e-74,1,TMSB10,Up,Highly,Up_Highly
SRGN.1,2.0701640357275e-78,1.22078131134572,0.874,0.536,2.83902295859669e-74,1,SRGN,Up,Highly,Up_Highly
PLAUR,2.85825098432496e-78,3.00466469327547,0.363,0.066,3.91980539990325e-74,1,PLAUR,Up,Highly,Up_Highly
LY86,4.85288754364116e-78,2.14412931870979,0.487,0.123,6.65524997734949e-74,1,LY86,Up,Highly,Up_Highly
CXCR4.1,2.48739154976355e-77,-2.62819184538345,0.251,0.676,3.41120877134573e-73,1,CXCR4,Down,Highly,Down_Highly
AGTRAP,9.81647235708176e-76,2.58467281282486,0.413,0.093,1.34623101905019e-71,1,AGTRAP,Up,Highly,Up_Highly
RPLP2.1,2.30088872446788e-75,-0.717615282946923,0.982,0.994,3.15543879673525e-71,1,RPLP2,Down,Highly,Down_Highly
CEBPB.1,8.84030129001978e-75,1.58586960457097,0.656,0.249,1.21235891891331e-70,1,CEBPB,Up,Highly,Up_Highly
ATP6V0B.1,1.01649883085683e-74,2.09106982558476,0.652,0.268,1.39402649663706e-70,1,ATP6V0B,Up,Highly,Up_Highly
STX11,1.15689516429052e-74,2.80488745064838,0.383,0.077,1.58656602830803e-70,1,STX11,Up,Highly,Up_Highly
KLF4,6.15498351812445e-72,2.89203455761703,0.35,0.067,8.44094439675587e-68,1,KLF4,Up,Highly,Up_Highly
ARPC3.1,7.35726707560494e-72,0.948333761782715,0.937,0.783,1.00897560674846e-67,1,ARPC3,Up,Highly,Up_Highly
VIM.1,9.02815102652263e-72,1.13014706951895,0.91,0.77,1.23812063177731e-67,1,VIM,Up,Highly,Up_Highly
C19orf38,2.19181818152093e-71,3.06001716947269,0.32,0.054,3.0058594541378e-67,1,C19orf38,Up,Highly,Up_Highly
RPL10A.1,2.60667975903863e-71,-0.783326885429074,0.963,0.988,3.57480062154558e-67,1,RPL10A,Down,Highly,Down_Highly
CTSZ,5.48671237464366e-71,2.64143614173486,0.338,0.062,7.52447735058631e-67,1,CTSZ,Up,Highly,Up_Highly
RPS20.1,7.54912574277671e-71,-0.966767800948937,0.89,0.967,1.0352871043644e-66,1,RPS20,Down,Highly,Down_Highly
LDHB.1,1.68624639361533e-70,-1.8803325216787,0.413,0.727,2.31251830420406e-66,1,LDHB,Down,Highly,Down_Highly
BLVRA,1.32599665690598e-69,2.68772028414476,0.454,0.124,1.81847181528086e-65,1,BLVRA,Up,Highly,Up_Highly
HLA-DRB1.1,2.036119071345e-69,1.0456372087128,0.831,0.374,2.79233369444254e-65,1,HLA-DRB1,Up,Highly,Up_Highly
ATP5G2.1,1.0286403582433e-68,0.953016307109934,0.931,0.792,1.41067738729486e-64,1,ATP5G2,Up,Highly,Up_Highly
RPSAP58.1,1.3899265280528e-68,-1.52992881121869,0.473,0.787,1.90614524057161e-64,1,RPSAP58,Down,Highly,Down_Highly
FGR.1,2.70674480078041e-68,1.82493131679513,0.501,0.149,3.71202981979025e-64,1,FGR,Up,Highly,Up_Highly
MSRB1,3.09577857280777e-68,2.76023324336012,0.326,0.059,4.24555073474858e-64,1,MSRB1,Up,Highly,Up_Highly
CCL3,4.89462841231457e-68,2.79725011678543,0.379,0.086,6.7124934046482e-64,1,CCL3,Up,Highly,Up_Highly
RPS10.1,2.38919958706347e-66,-0.773096210596541,0.935,0.976,3.27654831369885e-62,1,RPS10,Down,Highly,Down_Highly
NPM1.1,1.79610985484673e-65,-1.23605790325398,0.637,0.861,2.46318505493681e-61,1,NPM1,Down,Highly,Down_Highly
DDX5.1,2.22459563841258e-65,-1.31703458901688,0.605,0.856,3.05081045851902e-61,1,DDX5,Down,Highly,Down_Highly
IL1B,2.27227648449969e-65,3.5986940342152,0.263,0.037,3.11619997084288e-61,1,IL1B,Up,Highly,Up_Highly
S100A10.1,2.75166669527692e-65,1.28842173789423,0.839,0.595,3.77363570590277e-61,1,S100A10,Up,Highly,Up_Highly
RPS5.1,7.93941385658633e-65,-0.743553368884802,0.943,0.983,1.08881121629225e-60,1,RPS5,Down,Highly,Down_Highly
FGL2,1.35714651775548e-63,2.97923428380754,0.35,0.076,1.86119073444987e-59,1,FGL2,Up,Highly,Up_Highly
EVL.1,2.00317602659747e-63,-2.29177751552575,0.208,0.602,2.74715560287577e-59,1,EVL,Down,Highly,Down_Highly
HLA-A,3.51905782768559e-63,-0.915663789375436,0.902,0.976,4.82603590488802e-59,1,HLA-A,Down,Highly,Down_Highly
HCK,4.48001431180006e-63,2.04343599489226,0.393,0.095,6.14389162720261e-59,1,HCK,Up,Highly,Up_Highly
SLC11A1,8.12545885129978e-63,2.94467220758466,0.281,0.047,1.11432542686725e-58,1,SLC11A1,Up,Highly,Up_Highly
MPEG1,3.06088110564335e-62,2.78691580601529,0.316,0.062,4.19769234827929e-58,1,MPEG1,Up,Highly,Up_Highly
RPLP0.1,7.23942780097848e-62,-0.875456051946308,0.892,0.96,9.92815128626188e-58,1,RPLP0,Down,Highly,Down_Highly
SERF2.1,1.32238655858455e-61,0.876868115663433,0.957,0.833,1.81352092644285e-57,1,SERF2,Up,Highly,Up_Highly
PILRA,1.45982542821936e-61,2.16287722669253,0.332,0.067,2.00200459226003e-57,1,PILRA,Up,Highly,Up_Highly
LINC00936.1,1.70708448496211e-61,2.2689820101868,0.556,0.215,2.34109566267703e-57,1,LINC00936,Up,Highly,Up_Highly
CTSD.1,1.92995834009994e-61,1.9424864809789,0.515,0.18,2.64674486761306e-57,1,CTSD,Up,Highly,Up_Highly
PGD,3.39633820228958e-61,2.63827247193311,0.33,0.071,4.65773821061993e-57,1,PGD,Up,Highly,Up_Highly
MAFB,8.76001547945896e-61,3.33739318404345,0.289,0.053,1.201348522853e-56,1,MAFB,Up,Highly,Up_Highly
RPS8.1,1.157629180127e-60,-0.678015709439297,0.971,0.99,1.58757265762616e-56,1,RPS8,Down,Highly,Down_Highly
AES.1,1.17189483247934e-60,-2.50290127132586,0.159,0.562,1.60713657326216e-56,1,AES,Down,Highly,Down_Highly
RPS4X.1,4.62509291575008e-60,-0.596221671162468,0.986,0.993,6.34285242465966e-56,1,RPS4X,Down,Highly,Down_Highly
APLP2,2.99003662380064e-59,2.15780332239734,0.407,0.111,4.1005362258802e-55,1,APLP2,Up,Highly,Up_Highly
EIF4EBP1,3.34637293860767e-59,2.43372975544841,0.336,0.076,4.58921584800655e-55,1,EIF4EBP1,Up,Highly,Up_Highly
TIMP1.1,4.92430006035274e-59,1.3382852041136,0.625,0.259,6.75318510276775e-55,1,TIMP1,Up,Highly,Up_Highly
IFITM1,9.06947221223214e-59,-2.56387665823056,0.149,0.547,1.24378741918552e-54,1,IFITM1,Down,Highly,Down_Highly
PRELID1.1,1.80761264479125e-58,1.47915675979158,0.729,0.407,2.47895998106672e-54,1,PRELID1,Up,Highly,Up_Highly
NFKBIA.1,3.57230105381965e-58,1.52379333333541,0.713,0.397,4.89905366520827e-54,1,NFKBIA,Up,Highly,Up_Highly
SCO2,5.32874280153786e-58,2.39363091431726,0.352,0.084,7.30783787802903e-54,1,SCO2,Up,Highly,Up_Highly
MT-ND1.1,3.08923246836535e-57,0.725886798826664,0.98,0.94,4.23657340711624e-53,1,MT-ND1,Up,Highly,Up_Highly
CNPY3.1,5.89411923532723e-57,1.89869211669401,0.552,0.217,8.08319511932777e-53,1,CNPY3,Up,Highly,Up_Highly
RPS26.1,6.32065915301144e-57,-0.870467080379897,0.792,0.937,8.66815196243989e-53,1,RPS26,Down,Highly,Down_Highly
EIF4A2.1,2.44427898504098e-56,-1.68657799011318,0.365,0.699,3.3520842000852e-52,1,EIF4A2,Down,Highly,Down_Highly
C20orf24.1,3.20674025464437e-56,1.74469805818902,0.576,0.247,4.39772358521929e-52,1,C20orf24,Up,Highly,Up_Highly
CD7.1,5.31793170452931e-56,-3.93890704878846,0.057,0.435,7.2930115395915e-52,1,CD7,Down,Highly,Down_Highly
ACTB.1,1.3051029139978e-55,0.520875214080593,0.996,0.99,1.78981813625659e-51,1,ACTB,Up,Highly,Up_Highly
HLA-DRB5.1,1.96335122642169e-55,1.0998129148673,0.666,0.277,2.6925398719147e-51,1,HLA-DRB5,Up,Highly,Up_Highly
ISG20,5.65503141075841e-55,-2.56394843439528,0.147,0.527,7.75531007671408e-51,1,ISG20,Down,Highly,Down_Highly
FCGR2A,6.03986470023217e-55,3.22236392457272,0.257,0.045,8.2830704498984e-51,1,FCGR2A,Up,Highly,Up_Highly
FKBP1A.1,1.93601179900265e-54,1.27667629713749,0.719,0.405,2.65504658115224e-50,1,FKBP1A,Up,Highly,Up_Highly
TBXAS1,3.7733517314564e-53,2.29106504159582,0.314,0.071,5.17477456451931e-49,1,TBXAS1,Up,Highly,Up_Highly
RNASE6,9.87769304235733e-53,2.28934408629893,0.291,0.059,1.35462682382888e-48,1,RNASE6,Up,Highly,Up_Highly
LCK.1,1.67592065894474e-52,-3.2779612287947,0.059,0.426,2.29835759167681e-48,1,LCK,Down,Highly,Down_Highly
PFDN5,2.72176719504293e-52,0.723744754956297,0.982,0.909,3.73263153128188e-48,1,PFDN5,Up,Highly,Up_Highly
IL2RG,7.24661406480972e-52,-2.51122860864601,0.138,0.501,9.93800652848004e-48,1,IL2RG,Down,Highly,Down_Highly
BTG1.1,1.97082798630894e-51,-1.08036640795971,0.749,0.904,2.70279350042408e-47,1,BTG1,Down,Highly,Down_Highly
STXBP2.1,4.75021810579974e-51,1.71800661308934,0.493,0.186,6.51444911029376e-47,1,STXBP2,Up,Highly,Up_Highly
EIF4A1.1,5.72425608948106e-51,1.04853441019336,0.831,0.645,7.85024480111432e-47,1,EIF4A1,Up,Highly,Up_Highly
C4orf48,7.4367415175055e-51,2.19093570428875,0.377,0.112,1.0198747317107e-46,1,C4orf48,Up,Highly,Up_Highly
PGLS.1,7.52125968347243e-51,1.50632386647305,0.56,0.238,1.03146555299141e-46,1,PGLS,Up,Highly,Up_Highly
HLA-DMA.1,1.33148011191697e-50,1.30689778968571,0.54,0.201,1.82599182548293e-46,1,HLA-DMA,Up,Highly,Up_Highly
IL7R.1,3.93784934681585e-50,-3.21020422678906,0.12,0.464,5.40036659422325e-46,1,IL7R,Down,Highly,Down_Highly
RPL18.1,1.35897283964536e-49,-0.626858674410617,0.959,0.988,1.86369535228965e-45,1,RPL18,Down,Highly,Down_Highly
GCA,1.97100713438554e-49,2.00619029793754,0.328,0.086,2.70303918409633e-45,1,GCA,Up,Highly,Up_Highly
ISG15.1,2.51235137958982e-49,1.38212004404627,0.697,0.391,3.44543868196948e-45,1,ISG15,Up,Highly,Up_Highly
IFNGR2,6.70997178427465e-49,2.25008366660161,0.371,0.108,9.20205530495425e-45,1,IFNGR2,Up,Highly,Up_Highly
CD2.1,8.12996943886069e-49,-4.37374507806226,0.039,0.379,1.11494400884535e-44,1,CD2,Down,Highly,Down_Highly
GLTSCR2.1,8.88353141935334e-49,-1.0231498839282,0.658,0.867,1.21828749885012e-44,1,GLTSCR2,Down,Highly,Down_Highly
TPT1.1,1.02027590095996e-48,-0.667481993838179,0.955,0.99,1.39920637057648e-44,1,TPT1,Down,Highly,Down_Highly
EEF1B2.1,1.12037266986598e-48,-0.830806725279921,0.778,0.906,1.5364790794542e-44,1,EEF1B2,Down,Highly,Down_Highly
CPPED1,1.80862786081097e-48,2.32526738361341,0.281,0.062,2.48035224831617e-44,1,CPPED1,Up,Highly,Up_Highly
C5AR1,3.72611507304088e-48,2.8237454434371,0.271,0.059,5.10999421116826e-44,1,C5AR1,Up,Highly,Up_Highly
CYBB,3.99410016898955e-48,2.47002885216549,0.287,0.066,5.47750897175227e-44,1,CYBB,Up,Highly,Up_Highly
ASAH1.1,9.54755978687053e-48,1.61033416528553,0.493,0.189,1.30935234917142e-43,1,ASAH1,Up,Highly,Up_Highly
FOSB.1,6.08176159351766e-47,1.30372847772729,0.715,0.434,8.34052784935012e-43,1,FOSB,Up,Highly,Up_Highly
SERPINB1.1,9.85876792075387e-47,1.62690833529481,0.611,0.306,1.35203143265219e-42,1,SERPINB1,Up,Highly,Up_Highly
LAMTOR4.1,1.25603537016682e-46,1.14189342144231,0.764,0.466,1.72252690664678e-42,1,LAMTOR4,Up,Highly,Up_Highly
CD69.1,1.36739635822213e-46,-3.13203722466198,0.084,0.42,1.87524736566583e-42,1,CD69,Down,Highly,Down_Highly
AMICA1.1,8.19762345730767e-46,1.54348179797865,0.507,0.207,1.12422208093517e-41,1,AMICA1,Up,Highly,Up_Highly
RPL17.1,1.09925022650941e-44,-0.642475872676903,0.925,0.966,1.507511760635e-40,1,RPL17,Down,Highly,Down_Highly
TMEM66.1,1.90022643491256e-44,-1.2006587264745,0.53,0.775,2.60597053283909e-40,1,TMEM66,Down,Highly,Down_Highly
ALDOA.1,3.33827478550271e-44,0.937723366849322,0.833,0.67,4.57811004083842e-40,1,ALDOA,Up,Highly,Up_Highly
RPS7.1,6.53243416081313e-44,-0.523929867953102,0.976,0.992,8.95858020813913e-40,1,RPS7,Down,Highly,Down_Highly
RPL35A.1,3.07624353942325e-43,-0.519596110455558,0.976,0.984,4.21876038996505e-39,1,RPL35A,Down,Highly,Down_Highly
H2AFY.1,4.66659470241683e-43,1.97386900033025,0.527,0.244,6.39976797489444e-39,1,H2AFY,Up,Highly,Up_Highly
LGALS9,1.09677661649462e-42,1.73945251539098,0.383,0.127,1.50411945186073e-38,1,LGALS9,Up,Highly,Up_Highly
JUND,1.12004858150187e-42,2.3910035320725,0.348,0.11,1.53603462467167e-38,1,JUND,Up,Highly,Up_Highly
GLRX.1,1.38048815002767e-42,1.47845498641879,0.617,0.317,1.89320144894795e-38,1,GLRX,Up,Highly,Up_Highly
ATP6V1F.1,2.36803603496275e-42,1.56904816975006,0.611,0.317,3.24752461834791e-38,1,ATP6V1F,Up,Highly,Up_Highly
NCF1,1.02309535277475e-41,1.8925159085735,0.369,0.12,1.4030729667953e-37,1,NCF1,Up,Highly,Up_Highly
RP11-290F20.3,2.05898686633702e-41,1.70858024019334,0.291,0.074,2.82369458849459e-37,1,RP11-290F20.3,Up,Highly,Up_Highly
LRRC25,9.58403358191571e-41,2.01594198184599,0.265,0.064,1.31435436542392e-36,1,LRRC25,Up,Highly,Up_Highly
C10orf54.1,1.66532219230544e-40,1.2276645240226,0.601,0.319,2.28382285452767e-36,1,C10orf54,Up,Highly,Up_Highly
VAMP8.1,5.93192603042019e-40,0.889821374450415,0.707,0.459,8.13504335811825e-36,1,VAMP8,Up,Highly,Up_Highly
HLA-DPA1.1,6.05843318559478e-40,0.847605393378685,0.756,0.432,8.30853527072468e-36,1,HLA-DPA1,Up,Highly,Up_Highly
RPS21.1,8.08644029036492e-40,-0.815506433324991,0.747,0.886,1.10897442142065e-35,1,RPS21,Down,Highly,Down_Highly
FAM26F.1,3.30364455322517e-39,1.35268122576308,0.456,0.175,4.530618140293e-35,1,FAM26F,Up,Highly,Up_Highly
RHOB,3.51637852851358e-39,2.25658214007678,0.301,0.09,4.82236151400352e-35,1,RHOB,Up,Highly,Up_Highly
CTSW.1,7.08156794640376e-39,-4.04329935997393,0.061,0.352,9.71166228169811e-35,1,CTSW,Down,Highly,Down_Highly
BID,7.26914741732273e-39,1.59385394063003,0.422,0.157,9.96890876811639e-35,1,BID,Up,Highly,Up_Highly
TCEB2.1,8.83409172234655e-39,1.18443738152454,0.711,0.438,1.21150733880261e-34,1,TCEB2,Up,Highly,Up_Highly
HLA-E,2.29976767301832e-38,-0.852366985573478,0.78,0.905,3.15390138677733e-34,1,HLA-E,Down,Highly,Down_Highly
STK17A.1,2.45644282984529e-38,-3.11109894806966,0.073,0.368,3.36876569684982e-34,1,STK17A,Down,Highly,Down_Highly
CD53.1,2.72173187924752e-38,-1.58226754195068,0.301,0.594,3.73258309920005e-34,1,CD53,Down,Highly,Down_Highly
CD247,5.82042456120296e-38,-4.27573800712795,0.037,0.318,7.98213024323374e-34,1,CD247,Down,Highly,Down_Highly
HLA-C.1,6.50879181283644e-38,-0.68292434697615,0.945,0.987,8.9261570921239e-34,1,HLA-C,Down,Highly,Down_Highly
MYL6.1,9.99327980885473e-38,0.686767372141435,0.939,0.83,1.37047839298634e-33,1,MYL6,Up,Highly,Up_Highly
SAT2,1.80763176532853e-37,2.07572925517148,0.363,0.127,2.47898620297154e-33,1,SAT2,Up,Highly,Up_Highly
RPL7.1,2.24437288628165e-37,-0.586166553254073,0.957,0.971,3.07793297624665e-33,1,RPL7,Down,Highly,Down_Highly
GLIPR2.1,3.3064504475295e-37,1.54988367478263,0.436,0.174,4.53446614374196e-33,1,GLIPR2,Up,Highly,Up_Highly
LY6E.1,3.91348770374745e-37,0.855995026309236,0.827,0.628,5.36695703691926e-33,1,LY6E,Up,Highly,Up_Highly
MIR24-2,4.39516379599645e-37,2.25607692293035,0.269,0.074,6.02752762982953e-33,1,MIR24-2,Up,Highly,Up_Highly
RHOH.1,4.56935749987309e-37,-4.28618200599323,0.024,0.299,6.26641687532596e-33,1,RHOH,Down,Highly,Down_Highly
CARD16.1,6.43876595706261e-37,1.36194816292398,0.513,0.236,8.83012363351566e-33,1,CARD16,Up,Highly,Up_Highly
HINT1.1,6.56369671110877e-37,-1.32827555803519,0.45,0.681,9.00145366961457e-33,1,HINT1,Down,Highly,Down_Highly
GSTO1.1,2.30714758400808e-36,1.30748629483153,0.503,0.242,3.16402219670869e-32,1,GSTO1,Up,Highly,Up_Highly
ACAP1.1,5.56866821967429e-36,-2.97523495174039,0.071,0.354,7.63687159646132e-32,1,ACAP1,Down,Highly,Down_Highly
HSPA8.1,7.16739513619042e-36,-1.13299649310487,0.466,0.714,9.82936568977154e-32,1,HSPA8,Down,Highly,Down_Highly
RARRES3,4.20169687159701e-35,-1.78416932703083,0.238,0.52,5.76220708970814e-31,1,RARRES3,Down,Highly,Down_Highly
CECR1,5.97242590635103e-35,1.93590849746091,0.263,0.072,8.1905848879698e-31,1,CECR1,Up,Highly,Up_Highly
RHOG.1,6.42571534869956e-35,1.28394259845313,0.619,0.339,8.81222602920657e-31,1,RHOG,Up,Highly,Up_Highly
CLTA.1,9.53412445382427e-35,1.35834408915104,0.505,0.241,1.30750982759746e-30,1,CLTA,Up,Highly,Up_Highly
RPL27.1,1.11433267115955e-34,-0.540502685943371,0.927,0.962,1.52819582522821e-30,1,RPL27,Down,Highly,Down_Highly
GZMM,1.90199992829381e-34,-4.1964112266759,0.033,0.293,2.60840270166214e-30,1,GZMM,Down,Highly,Down_Highly
LAMTOR1.1,1.48553842606058e-33,0.981698952811612,0.566,0.294,2.03726739749948e-29,1,LAMTOR1,Up,Highly,Up_Highly
TMEM205,1.56094938744669e-33,2.0421797551471,0.267,0.078,2.14068598994439e-29,1,TMEM205,Up,Highly,Up_Highly
TPI1.1,2.31684088762077e-33,0.953188837676168,0.709,0.459,3.17731559328312e-29,1,TPI1,Up,Highly,Up_Highly
CD27.1,3.985667093201e-33,-3.89447760994643,0.031,0.284,5.46594385161585e-29,1,CD27,Down,Highly,Down_Highly
SCPEP1,4.04707435512387e-33,2.00462307456574,0.301,0.097,5.55015777061688e-29,1,SCPEP1,Up,Highly,Up_Highly
DYNLT1,1.00178328461577e-32,1.43975338564508,0.381,0.148,1.37384559652207e-28,1,DYNLT1,Up,Highly,Up_Highly
HLA-DPB1.1,1.53398434545212e-32,0.597625327158512,0.745,0.463,2.10370613135303e-28,1,HLA-DPB1,Up,Highly,Up_Highly
EFHD2,1.83013535907123e-32,1.45535373819199,0.385,0.151,2.50984763143029e-28,1,EFHD2,Up,Highly,Up_Highly
C20orf27,3.11535459619427e-32,2.24706752308638,0.287,0.093,4.27239729322082e-28,1,C20orf27,Up,Highly,Up_Highly
BNIP3L,3.65244566587112e-32,1.72794115823462,0.34,0.125,5.00896398617565e-28,1,BNIP3L,Up,Highly,Up_Highly
SEPT7,4.35175807732672e-32,-2.13354365205856,0.122,0.386,5.96800102724587e-28,1,SEPT7,Down,Highly,Down_Highly
LAT.1,8.61637749010911e-32,-3.87115564445176,0.02,0.263,1.18165000899356e-27,1,LAT,Down,Highly,Down_Highly
ANXA5.1,1.0737351419103e-31,1.32551049416133,0.515,0.258,1.47252037361578e-27,1,ANXA5,Up,Highly,Up_Highly
GNAI2.1,1.15047839879137e-31,1.47939276437308,0.418,0.187,1.57776607610249e-27,1,GNAI2,Up,Highly,Up_Highly
RPL4.1,3.52005576017696e-31,-0.564565604260506,0.919,0.97,4.82740446950668e-27,1,RPL4,Down,Highly,Down_Highly
CD63.1,3.68563172047413e-31,1.05149121335408,0.556,0.297,5.05447534145823e-27,1,CD63,Up,Highly,Up_Highly
ZFP36.1,5.80198407720893e-31,0.779550049863871,0.837,0.67,7.95684096348433e-27,1,ZFP36,Up,Highly,Up_Highly
GPX4.1,3.23520596574587e-30,0.985526388101442,0.721,0.5,4.43676146142389e-26,1,GPX4,Up,Highly,Up_Highly
RPS28.1,3.33354197808321e-30,-0.505622966703491,0.965,0.974,4.57161946874331e-26,1,RPS28,Down,Highly,Down_Highly
OCIAD2.1,3.56823282524609e-29,-3.23077120978381,0.035,0.268,4.89347449654248e-25,1,OCIAD2,Down,Highly,Down_Highly
RPL36.1,5.32582700397618e-29,-0.51655960536704,0.937,0.962,7.30383915325293e-25,1,RPL36,Down,Highly,Down_Highly
CD3G.1,5.62175989736248e-29,-3.59292234577879,0.031,0.26,7.70968152324291e-25,1,CD3G,Down,Highly,Down_Highly
SOD2,7.65197217474701e-29,1.60693173062716,0.377,0.162,1.0493914640448e-24,1,SOD2,Up,Highly,Up_Highly
TSC22D3,8.11347747025089e-29,-0.96372511659033,0.601,0.781,1.11268230027021e-24,1,TSC22D3,Down,Highly,Down_Highly
THEMIS2,8.12420789297348e-29,1.96630208884683,0.261,0.085,1.11415387044238e-24,1,THEMIS2,Up,Highly,Up_Highly
ATP6V0D1,1.13584300966573e-28,1.57931384092936,0.342,0.137,1.55769510345558e-24,1,ATP6V0D1,Up,Highly,Up_Highly
BIN1.1,2.58402724015027e-28,-3.08964080036275,0.059,0.289,3.54373495714208e-24,1,BIN1,Down,Highly,Down_Highly
NOP10.1,4.65228483095223e-28,1.30751997320828,0.489,0.252,6.38014341716789e-24,1,NOP10,Up,Highly,Up_Highly
TRAF3IP3.1,5.98180524996959e-28,-1.52051413350504,0.281,0.524,8.20344771980829e-24,1,TRAF3IP3,Down,Highly,Down_Highly
TIMM13,1.41054273366834e-27,1.31955696006083,0.385,0.168,1.93441830495276e-23,1,TIMM13,Up,Highly,Up_Highly
ATOX1,1.64583490718629e-27,1.68032981206097,0.261,0.087,2.25709799171527e-23,1,ATOX1,Up,Highly,Up_Highly
SPOCK2.1,1.9894843651384e-27,-3.4701324713544,0.031,0.25,2.7283788583508e-23,1,SPOCK2,Down,Highly,Down_Highly
ARRB2.1,2.4581888134802e-27,1.66834341858039,0.442,0.214,3.37116013880675e-23,1,ARRB2,Up,Highly,Up_Highly
RPL34.1,4.91074338782708e-27,-0.779774561893583,0.876,0.916,6.73459348206606e-23,1,RPL34,Down,Highly,Down_Highly
SLC25A5.1,5.04859748907298e-27,1.02744254774494,0.688,0.463,6.92364659651469e-23,1,SLC25A5,Up,Highly,Up_Highly
SERP1.1,1.71663522303618e-26,0.718646059037203,0.735,0.509,2.35419354487182e-22,1,SERP1,Up,Highly,Up_Highly
PIK3IP1.1,1.78791777116028e-26,-2.844657095554,0.067,0.288,2.4519504313692e-22,1,PIK3IP1,Down,Highly,Down_Highly
GLUL,4.60788579183272e-26,1.76479421791524,0.259,0.091,6.31925457491939e-22,1,GLUL,Up,Highly,Up_Highly
PEBP1.1,7.15675112282194e-26,-1.66587763498421,0.189,0.42,9.81476848983801e-22,1,PEBP1,Down,Highly,Down_Highly
MS4A7,1.35877032728843e-25,1.02274560439305,0.259,0.085,1.86341762684336e-21,1,MS4A7,Up,Highly,Up_Highly
WDR83OS.1,1.63394109091505e-25,1.04180449736166,0.532,0.304,2.24078681208091e-21,1,WDR83OS,Up,Highly,Up_Highly
CMPK1,1.97064392596252e-25,-1.70010019493628,0.175,0.416,2.702541080065e-21,1,CMPK1,Down,Highly,Down_Highly
LAMTOR2.1,2.33600828725859e-25,1.27577326528561,0.391,0.185,3.20360176514643e-21,1,LAMTOR2,Up,Highly,Up_Highly
SUPT4H1.1,3.01371653928923e-25,1.18056493436807,0.468,0.248,4.13301086198125e-21,1,SUPT4H1,Up,Highly,Up_Highly
NAGK,3.62051746048049e-25,1.85721555575103,0.259,0.094,4.96517764530294e-21,1,NAGK,Up,Highly,Up_Highly
H3F3A.1,5.2600425305909e-25,0.961439030055717,0.574,0.34,7.21362232645236e-21,1,H3F3A,Up,Highly,Up_Highly
ARPC2.1,8.89420435510191e-25,0.545647708834695,0.884,0.777,1.21975118525868e-20,1,ARPC2,Up,Highly,Up_Highly
GIMAP5.1,1.5213504660849e-24,-2.43636282463921,0.102,0.322,2.08638002918883e-20,1,GIMAP5,Down,Highly,Down_Highly
HMGN1,1.80399965197157e-24,-1.13293781488362,0.342,0.565,2.47400512271381e-20,1,HMGN1,Down,Highly,Down_Highly
RPL36A.1,1.99106953380658e-24,-0.569244131825614,0.864,0.914,2.73055275866235e-20,1,RPL36A,Down,Highly,Down_Highly
NOSIP.1,2.35681800771706e-24,-1.60298875047967,0.244,0.467,3.23214021578317e-20,1,NOSIP,Down,Highly,Down_Highly
CSTB.1,2.5461389763918e-24,0.998644923856976,0.552,0.325,3.49177499222372e-20,1,CSTB,Up,Highly,Up_Highly
CCL5.1,2.7611819353413e-24,-4.05596060837384,0.151,0.357,3.78668490612706e-20,1,CCL5,Down,Highly,Down_Highly
COMT,2.86844200619733e-24,1.57708828829513,0.303,0.123,3.93378136729902e-20,1,COMT,Up,Highly,Up_Highly
CLIC1.1,3.27244669651342e-24,0.557032645368253,0.8,0.606,4.48783339959851e-20,1,CLIC1,Up,Highly,Up_Highly
MT2A.1,3.58626668438935e-24,1.02182828591819,0.497,0.275,4.91820613097156e-20,1,MT2A,Up,Highly,Up_Highly
JUN.1,4.59709717624101e-24,-0.907914995949878,0.637,0.76,6.30445906749692e-20,1,JUN,Down,Highly,Down_Highly
NDUFS7.1,4.65606369184018e-24,1.27235925793165,0.47,0.249,6.38532574698963e-20,1,NDUFS7,Up,Highly,Up_Highly
