,x,y,PAM50,Cohort,Class,color
BRCA-A25D-01A,3.97103687517796,-3.97994194794076,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0EX-01A,-13.3921632147867,-7.67477684643019,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A6VO-01A,25.6217765491597,5.77284479673912,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A6VR-01A,-9.97723628527889,14.1084203921401,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A66K-01A,-13.0738943467976,2.04242022112234,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3XX-01A,20.8238989310109,1.66663741930641,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0EB-01A,-9.56843687095198,-5.69647028177742,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A14T-01A,0.168736750610189,10.7195393407876,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0B8-01A,-6.03638603277383,8.84412612247331,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A04P-01A,16.8706106757089,-5.43540687230132,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0YT-01A,7.24759540781514,10.066966631778,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A3XS-01A,15.4292837670004,-1.93991560478739,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0ST-01A,14.8564070396726,-16.1425661088199,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0EM-01A,-13.7468910027094,3.91901496020255,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0EP-01A,-2.35736530515708,-24.5291004017112,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0T5-01A,-6.09432100495576,2.42222555929802,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1KP-01A,-6.64213474142199,15.3234269247009,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A573-01A,25.7218663688,-3.93481607661297,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A15R-01A,-4.32899015636694,18.5162151916919,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A4SD-01A,18.5601357335065,-7.06978773188707,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A15T-01A,-3.61919494569144,17.5383915239027,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A03M-01B,6.8768601709314,-0.525925457420553,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CT-01A,-0.653941732491354,10.1479613307691,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CS-01A,-9.90597042889176,3.91685363560462,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0CQ-01A,-7.68297490832463,10.6605694559276,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A3XW-01A,0.988853371553358,-4.69259045034788,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A0ES-01A,-15.8857467644762,-13.6012724334236,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0EW-01A,-16.6340015341103,-16.1824321046889,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5PV-01A,-11.0663904818007,6.29620224222766,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A5D7-01A,31.5660114330831,4.57346353600617,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0EV-01A,-4.12026265495468,-3.26857747081659,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0JD-01A,10.0195682036197,10.4121937423038,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A1KT-01A,1.57265229365435,2.32169533812393,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0SH-01A,-12.0426327759564,-10.4763623635722,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0T3-01A,3.38572231169258,9.56115267476493,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A04Q-01A,17.8562603441581,-15.0739047152228,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0EN-01A,-9.05419988668049,-16.299502564716,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0D3-01A,-10.9668707543151,5.9616946843091,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A1LK-01A,22.8999209110513,8.75155729319324,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A109-01A,4.99962139501203,9.24546612309559,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A03R-01A,7.69472760674203,3.34578934272928,Normal,TCGA,Normal_TCGA,#CAB2D6
BRCA-A66J-01A,-10.9592131624028,-3.14949211083914,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A56Z-01A,0.49846677747034,14.1361715614392,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0H9-01A,-3.29860146720048,7.69960587830954,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0J2-01A,16.7152512581958,4.77700085280597,Her2,TCGA,Her2_TCGA,#B2DF8A
BRCA-A5ZV-01A,17.9883745501056,4.32962157945962,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A6ZF-01A,2.29826642935214,4.89967947421683,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0SO-01A,21.0793961393561,12.84935350189,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0EO-01A,-12.4779551966138,-9.40724101645595,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0HW-01A,-3.11350566329779,25.1523112028053,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A14O-01A,-0.398341306967336,17.1455134618078,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0E1-01A,-3.93767470988797,9.40049672102222,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A2FF-01A,-12.0511825536377,-18.4658346258161,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A442-01A,-5.507408148643,14.9248201161689,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A440-01A,-8.70524066281568,-19.5705504553764,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A06N-01A,-1.261234864988,26.3541782274138,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A03Y-01A,3.3620053511252,10.133817215091,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A0AR-01A,19.2358023880046,9.71301798142171,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A0AS-01A,1.00079496089833,-3.09452773606422,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0FY-01A,3.96187793257754,5.18742815574976,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A049-01A,-0.262598439982654,1.31482380987641,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A09W-01A,4.73534400930783,3.19207185266691,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A09C-01A,-5.8091961283389,9.71864376593366,LumB,TCGA,LumB_TCGA,#FDBF6F
BRCA-A04D-01A,21.3979195337672,15.0784269940327,Basal,TCGA,Basal_TCGA,#A6CEE3
BRCA-A04A-01A,-3.62548034422335,0.312746215268421,LumA,TCGA,LumA_TCGA,#FB9A99
BRCA-A0DQ-01A,-8.01782781659398,-5.83514236254761,LumA,TCGA,LumA_TCGA,#FB9A99
