"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS3",2.18835322678242e-98,0.402786882819552,0.998,0.993,3.00110761520942e-94,"1","RPS3"
"RPL9",1.51676520713547e-96,0.481985530125879,0.995,0.97,2.08009180506558e-92,"1","RPL9"
"RPS18",6.08262449762397e-95,0.384928545216057,1,0.995,8.34171123604151e-91,"1","RPS18"
"RPS3A",2.10477459035194e-94,0.54154001337979,0.996,0.975,2.88648787320866e-90,"1","RPS3A"
"RPL21",3.73728831469264e-89,0.441962430100843,0.989,0.991,5.12531719476949e-85,"1","RPL21"
"RPLP2",7.55813261704759e-88,0.399205140779414,1,0.989,1.03652230710191e-83,"1","RPLP2"
"RPS15A",2.41134337286963e-87,0.423552093641636,0.996,0.983,3.30691630155341e-83,"1","RPS15A"
"RPL13A",5.29292398713802e-80,0.323865482115983,1,0.999,7.25871595596108e-76,"1","RPL13A"
"RPL301",5.42429219186461e-80,0.407075998449937,0.996,0.98,7.43887431192312e-76,"1","RPL30"
"RPL27A",8.72413685700766e-80,0.377276683461484,1,0.987,1.19642812857003e-75,"1","RPL27A"
"EEF1A1",9.66471979690588e-80,0.354279241280657,0.989,0.989,1.32541967294767e-75,"1","EEF1A1"
"RPS23",2.1370357032928e-78,0.386778235124665,0.998,0.977,2.93073076349574e-74,"1","RPS23"
"RPS27A1",2.46743435165623e-78,0.470297394700565,0.996,0.965,3.38383946986136e-74,"1","RPS27A"
"LDHB1",5.21808683414709e-77,0.637125517806665,0.904,0.608,7.15608428434931e-73,"1","LDHB"
"RPS13",5.24178716582882e-77,0.436000942449711,0.989,0.957,7.18858691921765e-73,"1","RPS13"
"RPS4X",6.21184117289137e-77,0.370535664080225,0.995,0.991,8.51891898450322e-73,"1","RPS4X"
"TPT11",9.19664345717526e-77,0.423384491822435,0.996,0.981,1.26122768371702e-72,"1","TPT1"
"RPS28",1.16200264535745e-74,0.410516714760051,0.993,0.967,1.59357042784321e-70,"1","RPS28"
"RPL11",5.7870791712785e-74,0.301075735726256,1,0.995,7.93640037549133e-70,"1","RPL11"
"RPL35A",4.76622727078673e-72,0.382700917215704,0.998,0.978,6.53640407915692e-68,"1","RPL35A"
"RPL10",6.25066962344346e-69,0.259379086205274,1,0.998,8.57216832159036e-65,"1","RPL10"
"RPL5",1.80056086787272e-68,0.424629410773119,0.982,0.965,2.46928917420065e-64,"1","RPL5"
"RPL23A",3.99014850507532e-68,0.349976135746623,0.998,0.987,5.4720896598603e-64,"1","RPL23A"
"CCR71",9.39190328868957e-68,0.819073988342201,0.448,0.126,1.28800561701089e-63,"1","CCR7"
