specificSubtype	otherSubtype	EnrichScore	tissue
hM02_pDC-LILRA4	hT18_CD8-LAYN	-0.18683563832866	tumor
hM03_cDC2-CD1C	hM01_Mast-TPSAB1	-0.842103258828157	tumor
hM03_cDC2-CD1C	hM02_pDC-LILRA4	-0.65141917441857	tumor
hM03_cDC2-CD1C	hM03_cDC2-CD1C	-0.915745325407494	tumor
hM03_cDC2-CD1C	hM04_cDC1-BATF3	-0.564596420577952	tumor
hM03_cDC2-CD1C	hM08_Macro-NLRP3	-0.796163134981277	tumor
hM03_cDC2-CD1C	hM12_TAM-C1QC	-0.886979959877058	tumor
hM03_cDC2-CD1C	hT04_CD4-TCF7	1.9741853145173	tumor
hM03_cDC2-CD1C	hT05_CD4-CXCR6	1.58564364391788	tumor
hM03_cDC2-CD1C	hT06_CD4-CXCR5	1.66171729244829	tumor
hM03_cDC2-CD1C	hT15_CD8-GZMK	-0.117782147017921	tumor
hM03_cDC2-CD1C	hT16_CD8-CD6	0.457559108262644	tumor
hM03_cDC2-CD1C	hT17_CD8-CD160	-0.360130705059758	tumor
hM03_cDC2-CD1C	hI02_NK-GZMK	0.287477348978514	tumor
hM03_cDC2-CD1C	hI04_ILC3-SLC4A10	0.546956696077039	tumor
hM03_cDC2-CD1C	hB02_GALTB-IgA	-0.488356593724687	tumor
hM03_cDC2-CD1C	hB03_FollicularB-IgD	-0.0376743315017636	tumor
hM03_cDC2-CD1C	hB05_GCBCell-LRMP	-0.502817210855826	tumor
hM03_cDC2-CD1C	hB01_PlasmaB-IgG	-0.360260640426028	tumor
hM03_cDC2-CD1C	hF01_Myofib-ACTA2	-1.47944922371097	tumor
hM03_cDC2-CD1C	hF02_CAF-FAP	-1.51544477177468	tumor
hM03_cDC2-CD1C	hM13_TAM-SPP1	-0.990874247529997	tumor
hM03_cDC2-CD1C	hT07_CD4-GZMK	0.231358005573996	tumor
hM03_cDC2-CD1C	hT08_CD4-IL23R	1.4926828278237	tumor
hM03_cDC2-CD1C	hT09_CD4-CXCL13	1.07505524951845	tumor
hM03_cDC2-CD1C	hT11_CD4-CTLA4	1.35262599815967	tumor
hM03_cDC2-CD1C	hT18_CD8-LAYN	-0.155464339585336	tumor
hM04_cDC1-BATF3	hM01_Mast-TPSAB1	-0.991916900984706	tumor
hM04_cDC1-BATF3	hM02_pDC-LILRA4	-0.878027985626096	tumor
hM04_cDC1-BATF3	hM03_cDC2-CD1C	-1.03647338219351	tumor
hM04_cDC1-BATF3	hM04_cDC1-BATF3	-1.05000772550421	tumor
hM04_cDC1-BATF3	hM08_Macro-NLRP3	-0.882724225345112	tumor
hM04_cDC1-BATF3	hM12_TAM-C1QC	-1.04329815093139	tumor
hM04_cDC1-BATF3	hT04_CD4-TCF7	1.04041056982297	tumor
hM04_cDC1-BATF3	hT05_CD4-CXCR6	0.943659692662165	tumor
hM04_cDC1-BATF3	hT06_CD4-CXCR5	1.222859423364	tumor
hM04_cDC1-BATF3	hT15_CD8-GZMK	0.900993444601063	tumor
hM04_cDC1-BATF3	hT16_CD8-CD6	1.03991972534371	tumor
hM04_cDC1-BATF3	hT17_CD8-CD160	1.01409473914932	tumor
