,x
TCGA-G3-A7M8-01A-11R-A33R-07,1292
TCGA-G3-A7M9-01A-23R-A352-07,726
TCGA-G3-AAUZ-01A-11R-A38B-07,553
TCGA-G3-AAV0-01A-11R-A37K-07,954
TCGA-G3-AAV1-01A-11R-A38B-07,1196
TCGA-G3-AAV2-01A-11R-A37K-07,1492
TCGA-G3-AAV3-01A-11R-A37K-07,2112
TCGA-G3-AAV4-01A-11R-A38B-07,231
TCGA-G3-AAV5-01A-11R-A37K-07,1986
TCGA-G3-AAV6-01A-21R-A37K-07,2612
TCGA-G3-AAV7-01A-11R-A38B-07,997
TCGA-GJ-A3OU-01A-31R-A38B-07,1553
TCGA-GJ-A6C0-01A-12R-A311-07,1245
TCGA-GJ-A9DB-01A-11R-A37K-07,689
TCGA-HP-A5MZ-01A-21R-A27V-07,1559
TCGA-HP-A5N0-01A-11R-A28V-07,929
TCGA-K7-A5RF-01A-11R-A28V-07,1063
TCGA-K7-A5RG-01A-11R-A28V-07,703
TCGA-K7-A6G5-01A-11R-A311-07,1175
TCGA-K7-AAU7-01A-11R-A38B-07,1727
TCGA-KR-A7K0-01A-12R-A33R-07,1014
TCGA-KR-A7K2-01A-12R-A33R-07,1485
TCGA-KR-A7K7-01A-11R-A33J-07,3619
TCGA-KR-A7K8-01A-11R-A33J-07,1213
TCGA-LG-A6GG-01A-11R-A311-07,425
TCGA-LG-A9QC-01A-11R-A37K-07,1548
TCGA-LG-A9QD-01A-11R-A38B-07,1144
TCGA-MI-A75C-01A-11R-A32O-07,2713
TCGA-MI-A75E-01A-11R-A32O-07,1093
TCGA-MI-A75G-01A-11R-A32O-07,1442
TCGA-MI-A75H-01A-11R-A32O-07,1342
TCGA-MI-A75I-01A-11R-A32O-07,735
TCGA-MR-A520-01A-11R-A266-07,851
TCGA-MR-A8JO-01A-12R-A36F-07,1762
TCGA-NI-A4U2-01A-11R-A28V-07,532
TCGA-NI-A8LF-01A-11R-A36F-07,380
TCGA-O8-A75V-01A-11R-A32O-07,1283
TCGA-PD-A5DF-01A-11R-A27V-07,1224
TCGA-QA-A7B7-01A-11R-A32O-07,2162
TCGA-RC-A6M3-01A-11R-A32O-07,1282
TCGA-RC-A6M4-01A-11R-A32O-07,908
TCGA-RC-A6M5-01A-11R-A32O-07,1563
TCGA-RC-A6M6-01A-11R-A32O-07,201
TCGA-RC-A7S9-01A-11R-A33R-07,1136
TCGA-RC-A7SB-01A-21R-A352-07,1068
TCGA-RC-A7SF-01A-11R-A352-07,676
TCGA-RC-A7SH-01A-11R-A38B-07,1837
TCGA-RC-A7SK-01A-11R-A352-07,670
TCGA-RG-A7D4-01A-12R-A33R-07,1896
TCGA-T1-A6J8-01A-11R-A32O-07,203
TCGA-UB-A7MA-01A-11R-A33R-07,6158
TCGA-UB-A7MB-01A-11R-A33R-07,2636
TCGA-UB-A7MC-01A-11R-A33R-07,2920
TCGA-UB-A7MD-01A-12R-A352-07,744
TCGA-UB-A7ME-01A-11R-A33J-07,1811
TCGA-UB-A7MF-01A-11R-A33J-07,1760
TCGA-UB-AA0U-01A-11R-A38B-07,1313
TCGA-UB-AA0V-01A-11R-A38B-07,1005
TCGA-WJ-A86L-01A-12R-A39D-07,166
TCGA-WQ-A9G7-01A-11R-A37K-07,2662
TCGA-WQ-AB4B-01A-11R-A41C-07,937
TCGA-WX-AA44-01A-11R-A39D-07,556
TCGA-WX-AA46-01A-11R-A39D-07,1224
