Drug	Subtype	AUC
Cisplatin	Subtype3	0.862424133
Cisplatin	Subtype3	0.852786627
Cisplatin	Subtype3	0.759932259
Cisplatin	Subtype3	0.836650317
Cisplatin	Subtype3	0.854059652
Cisplatin	Subtype3	0.873878364
Cisplatin	Subtype3	0.802900332
Cisplatin	Subtype3	0.828051464
Cisplatin	Subtype3	0.896675321
Cisplatin	Subtype3	0.873032691
Cisplatin	Subtype3	0.819783877
Cisplatin	Subtype3	0.816260913
Cisplatin	Subtype3	0.801837407
Cisplatin	Subtype3	0.862168025
Cisplatin	Subtype3	0.867506357
Cisplatin	Subtype3	0.834005724
Cisplatin	Subtype3	0.82041295
Cisplatin	Subtype3	0.793450754
Cisplatin	Subtype3	0.847205996
Cisplatin	Subtype3	0.825421804
Cisplatin	Subtype3	0.830112117
Cisplatin	Subtype3	0.820918821
Cisplatin	Subtype3	0.819813659
Cisplatin	Subtype3	0.809876606
Cisplatin	Subtype3	0.842967828
Cisplatin	Subtype3	0.812936379
Cisplatin	Subtype3	0.813766653
Cisplatin	Subtype3	0.805564307
Cisplatin	Subtype3	0.849680263
Cisplatin	Subtype3	0.785205048
Cisplatin	Subtype3	0.835482892
Cisplatin	Subtype3	0.805155625
Cisplatin	Subtype3	0.866994928
Cisplatin	Subtype3	0.85682272
Cisplatin	Subtype3	0.829155264
Cisplatin	Subtype3	0.870679363
Cisplatin	Subtype3	0.850148033
Cisplatin	Subtype3	0.855831903
Cisplatin	Subtype3	0.868556763
Cisplatin	Subtype3	0.855274766
Cisplatin	Subtype3	0.818474108
Cisplatin	Subtype3	0.820487333
Cisplatin	Subtype3	0.843184811
Cisplatin	Subtype3	0.832907363
Cisplatin	Subtype3	0.824658288
Cisplatin	Subtype3	0.823708585
Cisplatin	Subtype3	0.871404681
Cisplatin	Subtype3	0.802955841
Cisplatin	Subtype3	0.8086049
Cisplatin	Subtype3	0.85047086
Cisplatin	Subtype3	0.845426221
Cisplatin	Subtype3	0.811389855
Cisplatin	Subtype3	0.859335046
Cisplatin	Subtype3	0.871698577
Cisplatin	Subtype3	0.793870771
Cisplatin	Subtype3	0.960916677
Cisplatin	Subtype3	0.889392106
Cisplatin	Subtype3	0.866691396
Cisplatin	Subtype3	0.818967863
Cisplatin	Subtype3	0.816079458
Cisplatin	Subtype3	0.794353305
Cisplatin	Subtype3	0.877847746
Cisplatin	Subtype3	0.849128208
Cisplatin	Subtype3	0.834222748
