GeneSymbol	SPOT	Profile	VM	HN	P1	P2	YFB-S	YFB-C	YFB-G	FB-S	FB-C
JGI|COPCI_AMUTBMUT1|419473|	ID_1690	11	0.00	-0.23	-1.10	-0.75	-2.36	-1.37	-1.04	-0.25	0.08
JGI|COPCI_AMUTBMUT1|419484|	ID_1691	29	0.00	0.85	1.08	0.70	1.29	1.70	0.16	-1.82	-1.35
JGI|COPCI_AMUTBMUT1|419491|	ID_1692	39	0.00	1.04	1.08	0.96	1.72	1.12	1.91	2.26	3.70
JGI|COPCI_AMUTBMUT1|419666|	ID_1693	10	0.00	-0.80	-0.58	-0.64	-0.34	-1.00	-0.44	-2.54	-3.42
JGI|COPCI_AMUTBMUT1|420036|	ID_1694	34	0.00	2.50	0.67	0.61	-4.48	0.86	-2.81	1.52	-0.58
JGI|COPCI_AMUTBMUT1|420043|	ID_1695	10	0.00	0.30	0.96	0.50	-0.75	-0.97	-1.47	-0.86	-1.20
JGI|COPCI_AMUTBMUT1|420337|	ID_1696	22	0.00	0.49	0.99	0.80	0.57	-1.79	-0.44	1.16	-0.26
JGI|COPCI_AMUTBMUT1|420399|	ID_1697	9	0.00	-0.50	0.55	0.08	-0.16	-0.66	1.38	-1.58	-1.78
JGI|COPCI_AMUTBMUT1|420420|	ID_1698	7	0.00	-0.90	-1.94	-1.84	-1.35	-1.93	3.02	0.16	-0.57
JGI|COPCI_AMUTBMUT1|420423|	ID_1699	26	0.00	0.76	-0.18	-0.29	1.30	-0.52	-0.12	3.48	1.08
JGI|COPCI_AMUTBMUT1|420479|	ID_1700	9	0.00	-0.69	-0.56	-0.43	-0.79	-1.19	0.74	-2.04	-2.22
JGI|COPCI_AMUTBMUT1|420599|	ID_1701	8	0.00	-0.21	-0.42	-0.39	-2.00	1.44	-0.61	-2.30	-1.75
JGI|COPCI_AMUTBMUT1|420604|	ID_1702	33	0.00	0.62	1.58	1.31	2.48	3.23	2.47	-0.11	2.27
JGI|COPCI_AMUTBMUT1|420610|	ID_1703	36	0.00	-0.27	0.45	0.51	-0.00	-1.06	0.61	-0.86	0.97
JGI|COPCI_AMUTBMUT1|420631|	ID_1704	4	0.00	-0.28	-0.10	-0.09	0.02	-1.72	0.01	-1.35	0.66
JGI|COPCI_AMUTBMUT1|421050|	ID_1705	39	0.00	4.34	4.27	4.13	3.18	5.50	7.08	4.65	8.27
JGI|COPCI_AMUTBMUT1|421193|	ID_1706	43	0.00	4.27	3.40	2.74	2.17	4.18	5.24	3.60	3.86
JGI|COPCI_AMUTBMUT1|421204|	ID_1707	17	0.00	-0.42	-0.72	-0.53	-2.38	-2.70	-0.25	-1.24	-2.37
JGI|COPCI_AMUTBMUT1|421523|	ID_1709	31	0.00	-1.90	-1.57	-1.87	-0.10	-2.01	-0.67	-1.08	2.61
JGI|COPCI_AMUTBMUT1|421549|	ID_1710	39	0.00	-0.84	-0.33	0.04	-0.34	1.81	0.50	2.23	2.58
JGI|COPCI_AMUTBMUT1|421596|	ID_1712	36	0.00	-0.83	-0.35	-0.11	-1.36	-2.41	-0.16	-1.44	-0.83
JGI|COPCI_AMUTBMUT1|421791|	ID_1713	25	0.00	0.25	-1.79	0.95	-0.63	0.95	1.77	-0.18	2.80
JGI|COPCI_AMUTBMUT1|421795|	ID_1714	29	0.00	-0.32	0.67	0.75	1.33	0.37	1.06	-0.95	-0.24
JGI|COPCI_AMUTBMUT1|421914|	ID_1715	37	0.00	-0.02	-0.11	0.15	0.03	0.75	0.47	0.46	-1.87
JGI|COPCI_AMUTBMUT1|421930|	ID_1716	12	0.00	-0.98	-1.24	-0.98	0.12	-1.58	0.11	-1.25	-1.90
JGI|COPCI_AMUTBMUT1|421959|	ID_1717	14	0.00	-0.64	-0.53	-0.53	2.42	2.21	1.78	1.57	0.74
JGI|COPCI_AMUTBMUT1|421992|	ID_1718	24	0.00	0.23	-1.79	-1.10	-0.23	0.63	-1.96	2.77	3.43
JGI|COPCI_AMUTBMUT1|422035|	ID_1719	10	0.00	-0.13	-0.09	-0.05	-0.73	-0.92	0.64	-1.59	-2.22
JGI|COPCI_AMUTBMUT1|422227|	ID_1720	11	0.00	-1.49	-1.82	-0.76	-2.31	-2.58	-1.24	-0.66	-0.09
JGI|COPCI_AMUTBMUT1|42246|	ID_1721	48	0.00	1.54	2.96	2.94	5.40	4.74	4.33	2.73	2.59
JGI|COPCI_AMUTBMUT1|422499|	ID_1722	46	0.00	1.82	2.20	1.94	2.20	1.58	-0.35	1.19	0.75
