Gene ID #2	Gene ID #1	Class	type
ASPN	ID362	1	 CTNNB1 class
MYL9	ID363	1	 CTNNB1 class
TNFSF4	ID364	1	 CTNNB1 class
PGLYRP2	ID365	1	 CTNNB1 class
FBP1	ID366	1	 CTNNB1 class
TNFAIP8	ID367	1	 CTNNB1 class
LOC91353	ID368	1	 CTNNB1 class
XK	ID369	1	 CTNNB1 class
S100P	ID370	1	 CTNNB1 class
GPR88	ID371	1	 CTNNB1 class
ADAMTS1	ID372	1	 CTNNB1 class
CAPG	ID373	1	 CTNNB1 class
C7	ID374	1	 CTNNB1 class
POU2AF1	ID375	1	 CTNNB1 class
FLJ22662	ID376	1	 CTNNB1 class
MMP9	ID377	1	 CTNNB1 class
GPNMB	ID378	1	 CTNNB1 class
SPHK1	ID379	1	 CTNNB1 class
CCL21	ID380	1	 CTNNB1 class
rohora	ID381	1	 CTNNB1 class
IGLV3-25	ID382	1	 CTNNB1 class
SLC22A15	ID383	1	 CTNNB1 class
mohure	ID384	1	 CTNNB1 class
BMP2	ID385	1	 CTNNB1 class
GALNT7	ID386	1	 CTNNB1 class
MAD1L1	ID387	1	 CTNNB1 class
huke	ID388	1	 CTNNB1 class
LOC387763.1	ID389	1	 CTNNB1 class
SRPX	ID390	1	 CTNNB1 class
SELM	ID391	1	 CTNNB1 class
COLEC11	ID392	1	 CTNNB1 class
LXN	ID393	1	 CTNNB1 class
HOMER1	ID394	1	 CTNNB1 class
COL6A3	ID395	1	 CTNNB1 class
MUC13	ID396	1	 CTNNB1 class
jyko	ID397	1	 CTNNB1 class
C9	ID398	1	 CTNNB1 class
EBI2	ID399	1	 CTNNB1 class
GOT1	ID400	1	 CTNNB1 class
LOC388610	ID401	2	proliferation class
C10orf3	ID402	2	proliferation class
SPHK1	ID403	2	proliferation class
DEPDC1B	ID404	2	proliferation class
PIGAP1	ID405	2	proliferation class
AURKB	ID406	2	proliferation class
MAPK13	ID407	2	proliferation class
KIF23	ID408	2	proliferation class
MMD	ID409	2	proliferation class
FBXO5	ID410	2	proliferation class
rerkar	ID411	2	proliferation class
LRRC1	ID412	2	proliferation class
choybuby	ID413	2	proliferation class
KIF11	ID414	2	proliferation class
ASRGL1	ID415	2	proliferation class
ZNF532	ID416	2	proliferation class
TTK	ID417	2	proliferation class
SLC1A5	ID418	2	proliferation class
UBE2C	ID419	2	proliferation class
BUB1B	ID420	2	proliferation class
CENPE	ID421	2	proliferation class
MKI67	ID422	2	proliferation class
FLJ10719	ID423	2	proliferation class
CENPF	ID424	2	proliferation class
ARID3A	ID425	2	proliferation class
CDC6	ID426	2	proliferation class
SHCBP1	ID427	2	proliferation class
SYNJ2	ID428	2	proliferation class
CDCA1	ID429	2	proliferation class
IPW.2	ID430	2	proliferation class
CCNE1	ID431	2	proliferation class
ETV4	ID432	2	proliferation class
SGOL2	ID433	2	proliferation class
zf-C2H2.20	ID434	2	proliferation class
LMNB1	ID435	2	proliferation class
toki	ID436	2	proliferation class
43527	ID437	2	proliferation class
BARD1	ID438	2	proliferation class
LOC120376	ID439	2	proliferation class
KIF4A	ID440	2	proliferation class
PRKCD	ID441	2	proliferation class
HELLS.shed3	ID442	2	proliferation class
SMC4L1	ID443	2	proliferation class
ANLN	ID444	2	proliferation class
TMEM51	ID445	2	proliferation class
DKFZp762E1312	ID446	2	proliferation class
CDCA5	ID447	2	proliferation class
ECT2	ID448	2	proliferation class
KIF2C	ID449	2	proliferation class
AFP	ID450	2	proliferation class
HCAP-G	ID451	2	proliferation class
CCNA2	ID452	2	proliferation class
TRIP13	ID453	2	proliferation class
PSF1	ID454	2	proliferation class
PAFAH1B3	ID455	2	proliferation class
CCNB1	ID456	2	proliferation class
SAS-6	ID457	2	proliferation class
CYBA	ID458	2	proliferation class
BIRC5	ID459	2	proliferation class
FLJ11029	ID460	2	proliferation class
MTMR2	ID461	2	proliferation class
PKM2	ID462	2	proliferation class
CDC20	ID463	2	proliferation class
GPD1L	ID464	2	proliferation class
nosoy	ID465	2	proliferation class
ORC6L	ID466	2	proliferation class
LOC146909	ID467	2	proliferation class
DLG7	ID468	2	proliferation class
PDE9A	ID469	2	proliferation class
ARHGAP18	ID470	2	proliferation class
HMGB2	ID471	2	proliferation class
PNMA1	ID472	2	proliferation class
CCNB2	ID473	2	proliferation class
CSDA	ID474	2	proliferation class
PLP2	ID475	2	proliferation class
CDC7	ID476	2	proliferation class
CKAP4	ID477	2	proliferation class
PTTG1	ID478	2	proliferation class
ZWINT	ID479	2	proliferation class
CHST11	ID480	2	proliferation class
ELF4	ID481	2	proliferation class
FLJ40629	ID482	2	proliferation class
SC65	ID483	2	proliferation class
FOXM1	ID484	2	proliferation class
GLIS2	ID485	2	proliferation class
LOC401905	ID486	2	proliferation class
DBN1	ID487	2	proliferation class
garjer	ID488	2	proliferation class
KNTC2	ID489	2	proliferation class
SOX4	ID490	2	proliferation class
SLC38A1	ID491	2	proliferation class
SALL4	ID492	2	proliferation class
KIF20A	ID493	2	proliferation class
MARCKSL1	ID494	2	proliferation class
fashor	ID495	2	proliferation class
LHFPL2	ID496	2	proliferation class
CDC2	ID497	2	proliferation class
KIF14	ID498	2	proliferation class
maky	ID499	2	proliferation class
FUNDC1	ID500	2	proliferation class
OIP5	ID501	2	proliferation class
IMP-3	ID502	2	proliferation class
WASF1	ID503	2	proliferation class
DDR1	ID504	2	proliferation class
C18orf24.1	ID505	2	proliferation class
TPX2	ID506	2	proliferation class
TNFRSF21	ID507	2	proliferation class
TOP2A	ID508	2	proliferation class
HSUP1	ID509	2	proliferation class
HK2	ID510	2	proliferation class
MAD2L1	ID511	2	proliferation class
B3GNT5	ID512	2	proliferation class
FKSG14	ID513	2	proliferation class
MMP9	ID514	2	proliferation class
NEK2	ID515	2	proliferation class
ASPM	ID516	2	proliferation class
NCK2	ID517	2	proliferation class
MCM2	ID518	2	proliferation class
HDAC2	ID519	2	proliferation class
VEGFB	ID520	2	proliferation class
SLC16A3	ID521	2	proliferation class
CDCA7	ID522	2	proliferation class
mutura	ID523	2	proliferation class
PBK	ID524	2	proliferation class
EZH2	ID525	2	proliferation class
TMEM65	ID526	2	proliferation class
CD24	ID527	2	proliferation class
ATP1A1	ID528	2	proliferation class
S100P	ID529	2	proliferation class
PRC1	ID530	2	proliferation class
totera	ID531	2	proliferation class
tumare	ID532	2	proliferation class
GALNT7	ID533	2	proliferation class
B4GALT5	ID534	2	proliferation class
FLVCR	ID535	2	proliferation class
FEN1	ID536	2	proliferation class
LOC143458	ID537	2	proliferation class
CGI-62	ID538	2	proliferation class
ELOVL7	ID539	2	proliferation class
KIAA0746	ID540	2	proliferation class
EVI1	ID541	2	proliferation class
NUSAP1	ID542	2	proliferation class
CDCA7L	ID543	2	proliferation class
munira	ID544	2	proliferation class
HN1	ID545	2	proliferation class
WSB1.shed1	ID546	2	proliferation class
ACY1L2	ID547	2	proliferation class
