Accession	Title	Platform	Contrib	DataProcessing	SampleFile	1:Source	1:Organism	1:molecule	1:label	1:TAG5	2:Source	2:Organism	2:molecule	2:label	2:TAG5
GSM5375	S41-P1	GPL257	contrib1		GSM5375-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5376	S42-PN1	GPL257	contrib1		GSM5376-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5377	S42-PN2	GPL257	contrib1		GSM5377-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5378	S44-PN1	GPL257	contrib1		GSM5378-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5379	S44-PN2	GPL257	contrib1		GSM5379-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5380	S45-PN1	GPL257	contrib1		GSM5380-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5381	S45-PN2	GPL257	contrib1		GSM5381-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5382	S46-PN1	GPL257	contrib1		GSM5382-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5383	S46-PN2	GPL257	contrib1		GSM5383-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5384	S47-PN1	GPL257	contrib1		GSM5384-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5385	S47-PN2	GPL257	contrib1		GSM5385-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5386	S49-PN1	GPL257	contrib1		GSM5386-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5387	S49-PN2	GPL257	contrib1		GSM5387-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5388	S52-PN1	GPL257	contrib1		GSM5388-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5389	S52-PN2	GPL257	contrib1		GSM5389-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5390	S53-PN1	GPL257	contrib1		GSM5390-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5391	S53-PN2	GPL257	contrib1		GSM5391-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5392	S51-PN1	GPL257	contrib1		GSM5392-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5393	S55-PN1	GPL257	contrib1		GSM5393-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5394	S56-PN1	GPL257	contrib1		GSM5394-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5395	S57-PN1	GPL257	contrib1		GSM5395-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5396	S61	GPL257	contrib1		GSM5396-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5397	S62	GPL257	contrib1		GSM5397-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5398	S63	GPL257	contrib1		GSM5398-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5399	S65	GPL257	contrib1		GSM5399-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5400	S64	GPL257	contrib1		GSM5400-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5401	S66	GPL257	contrib1		GSM5401-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
GSM5402	S67	GPL257	contrib1		GSM5402-tbl-1.txt	hepatocellular carcinoma	Homo sapiens	total RNA		none	non-cancerous liver tissue	Homo sapiens	total RNA		none
