"","CC_FB_CL_R1","CC_FB_CL_R2","CC_FB_CL_R3","CC_FB_S_R1","CC_FB_S_R2","CC_FB_S_R3","CC_H_R2","CC_H_R3","CC_H_R4","CC_P1_R1","CC_P1_R2","CC_P1_R3","CC_P1_R4","CC_P2_R1","CC_P2_R2","CC_P2_R3","CC_P2_R4","CC_VM_R1","CC_VM_R2","CC_VM_R3","CC_YFB_C_R1","CC_YFB_C_R2","CC_YFB_C_R3","CC_YFB_L_R1","CC_YFB_L_R2","CC_YFB_L_R3","CC_YFB_S_R1","CC_YFB_S_R2","CC_YFB_S_R3"
"jgi|Copci_AmutBmut1|373533|",3.98510946460929,4.14130018968977,4.03664461826158,3.74607539337428,2.45364896028821,3.15733358141586,5.2417134685849,5.74702669411912,4.83868012204578,5.65688870363212,5.03286618359417,5.26387582240029,4.62363772045729,5.24923213170625,4.65102759679704,5.06615062972347,4.95982977003354,4.89230983585684,4.94988362925721,4.47148361357866,3.99640995724651,4.35414218862882,3.40932722729624,4.26582804789764,4.93815214960036,5.46200409696685,5.29614480079563,5.53228776725742,4.66499751636821
"jgi|Copci_AmutBmut1|373545|",5.36757367948852,5.61180759702427,5.81749214620823,6.0107606855267,5.81001494266198,5.84657615471324,4.47122074202342,4.09372130192951,4.27442447106503,4.17120416165929,3.90508024297132,3.70568658580966,4.70784854034334,3.30199591459257,4.22399413907847,3.95229528485549,4.73578483255138,5.34749314721323,5.20624353315553,4.97728128872464,6.80847109679641,6.92331246271731,7.32744034731426,2.64536570569563,3.0100500994434,2.98085589614005,2.95174436617206,3.116863161926,3.28195553868484
"jgi|Copci_AmutBmut1|373552|",5.72090735734316,6.33470021990834,6.17463617340157,5.78094973086661,5.58853668492552,5.3956698896686,4.89131576040494,5.53868095668397,5.2786342864255,4.91937664347396,5.2193856008226,5.43218406734645,5.20361418039972,5.11169299714063,4.95617369393974,5.29466632763366,5.00870723346208,4.55595138287889,4.3879236192064,4.88563166690666,5.87374363951832,6.04050672155819,6.54844377411855,5.90005541777333,5.53428573078343,5.58735734631162,5.52956674825085,6.25492027787045,5.75315789680851
"jgi|Copci_AmutBmut1|373559|",2.79904008713988,3.11036391363661,3.10578228569846,4.67502401623881,4.45253472641706,4.79342531697549,4.61749447540108,4.55376733700203,4.36357395606667,4.34424232167191,4.5342477137671,4.03166226235402,4.37317717438642,4.32442082471504,4.40824376400498,3.48476111544092,4.0609043502703,2.63311284741554,2.84343654310176,2.74334926514037,3.72581821968825,4.03730332240369,4.26310881967684,3.87006808052515,3.59068962823229,3.7705088164642,3.20310718401958,3.86216461526028,3.916575513355
"jgi|Copci_AmutBmut1|373564|",3.56110695110207,3.62111945129818,3.59904676262937,4.07613992913119,3.66072352927053,4.17361175132407,3.29720052673801,4.27672588678313,3.68926937410437,3.61127880884923,4.17605792678342,3.98355359249876,3.69793455920454,3.84085861789732,3.64815090049302,3.8340659231923,3.83459587409334,2.96155655795762,3.22393050020609,3.00213272574652,5.02012822908451,5.25238779224982,4.00175995089271,3.05301072588481,3.74822697100187,3.56433254840844,4.04785320903603,3.66947063986017,3.92007210450771
"jgi|Copci_AmutBmut1|373598|",6.66357727566025,7.42386443403537,7.15852547415301,7.39025321080058,7.55708857095589,7.38184931050659,6.78975273325395,6.94085383314374,5.93669222266539,6.17836876327811,6.44166457632447,6.25128741720948,6.58674573452207,6.27275018999467,6.13550617066878,6.21212105848267,6.42194159490521,5.88482414469584,5.7408031547539,6.05964072644852,6.24524812395364,6.17922851359416,7.45587832848268,5.45636177048613,5.20715993021194,4.80272209803227,5.91388701228075,6.41687383697185,6.95595636693832
"jgi|Copci_AmutBmut1|373608|",6.17890686331305,6.06625166233916,5.9441843141298,7.57414853977057,7.48196299460979,7.44961338965304,5.42275641928701,6.13422556919205,6.37546472271163,6.67811597042724,6.09349200063732,6.57875090942827,6.07201560105685,6.43704128783354,6.19576566384927,6.4163190604214,6.45428287299308,5.36290216088378,5.67827497396082,5.23738454907915,7.2463259316553,7.54055739150177,6.26418257295778,6.29708588789457,7.35865932910155,7.44916054659994,7.52019231198107,6.78190228069644,7.32725394220483
"jgi|Copci_AmutBmut1|373620|",1.18489018904536,0.791878176522287,0.727728736204567,0.959091944967046,1.17032791050029,0.811314860702212,0.114927203330094,-0.209033809872641,0.316250505669544,0.339250368981102,-0.501085150884183,0.134541911355737,0.192330051151903,0.18375378519402,0.326760200035565,0.122709146256704,-0.451824217612729,0.633215257954842,0.741892701706747,0.47877340239215,-0.0702569197317933,0.371331499786421,-0.523086660632549,0.721639790429746,1.98543066450238,2.60868366767875,-0.0697353612383944,-0.498316720396481,-0.79118763124843
"jgi|Copci_AmutBmut1|373627|",-0.0971214759266279,-0.41702977586127,-1.88208758999146,0.480477188483976,0.697064402885766,-0.392927946012783,1.39799461474871,0.394560892877341,2.06094572977155,1.70290147645323,2.24665052753788,2.17737320484389,1.47174814770508,2.33410770364086,2.08563643606283,1.72620234726247,1.45730560476729,1.93848917618205,2.29961196074703,1.56871370008161,0.657206363664007,0.79713908332112,-0.0972790770978501,3.25642961118145,3.06603530062246,3.21982831089938,0.817046005742007,-1.65747163758294,0.504559411721896
"jgi|Copci_AmutBmut1|373635|",-1.55762480072257,-2.21857001849228,-0.535235992729795,0.143962580963485,-0.191532574014468,0.468496824078635,-0.182802943764946,-0.765075952559071,-0.211485246871818,-0.104700518964981,0.909882571164179,1.05456529079363,-0.105400095943137,1.09659062403864,0.330685752801627,-0.0671056616714473,0.174894602285055,-2.30562046789889,-1.02296345581559,-0.555922338869096,-0.749857702170477,-0.786220989260358,-1.95832033147752,-1.62972832026737,-2.58033456948482,-1.55592910286062,-2.86996584886262,-2.38100936821268,-1.19201127130757
