gene,HR,z,pvalue,lower,upper
RP11-839G9.1,0.680672409571875,-1.32290454001857,0.185867125344871,0.384969031884335,1.20351220690288
CTD-2171N6.1,0.722697262140056,-0.904486157531255,0.36573767111679,0.35753940910958,1.4607937458012
RP11-383D22.2,0.952170028148173,-0.178248188430894,0.858528066735345,0.555476339602607,1.63216270048928
RP11-35G9.3,0.999416847015466,-0.00244504383410491,0.998049139218067,0.626141354918279,1.59522131265183
RP11-35G9.5,1.22668802758914,0.862426541616147,0.388452840217417,0.771037621226282,1.95160842429103
RP11-126O1.5,0.944227317239353,-0.268383920722043,0.78840381506348,0.620961608530078,1.43578155939707
RP11-108P20.1,0.757143888418739,-1.19391119972506,0.232512706026084,0.479549822052008,1.19542713063019
RP11-27G24.1,1.32569358226965,1.52448436246902,0.127387760243608,0.922620832453065,1.90485995140407
RP11-866E20.3,1.24888906901006,1.10139454270935,0.270724979555553,0.840924118390854,1.85477366219132
RP11-879F14.2,1.4942017403107,2.88088651882395,0.00396558391065188,1.13697984963109,1.9636573519504
RP11-1096D5.2,0.984902215518822,-0.0716742825039285,0.942861123099395,0.649718143496317,1.49300490350149
RP11-173A16.1,1.12071997737482,0.58546202650107,0.558237092749801,0.765234511172879,1.64134425375291
RP11-28F1.2,0.953428989796432,-0.217923188573286,0.827488959450784,0.620885234188631,1.46408190842573
RP11-635N19.1,1.16272132754894,0.664034714546599,0.506668092971403,0.745105604658317,1.81440171310632
CTD-2541J13.1,0.946343570075167,-0.212017951107124,0.832093029712797,0.568376822457803,1.57565565173816
RP11-484N16.1,1.31291792909161,1.91428353304285,0.0555839373258872,0.993524320339726,1.73498871969313
RP11-713C5.1,0.713619683354545,-0.788678210659172,0.430300106241654,0.308541469722583,1.65051736134181
RP11-25L3.3,0.738603415779475,-0.894025528002786,0.371308232750606,0.380128677463211,1.43513246472678
RP11-231E4.4,0.961005643927063,-0.182357436669785,0.855302226301066,0.626708557201179,1.47362252684737
RP11-504I13.3,0.99311078621045,-0.0370909285794403,0.97041250499797,0.689207005487209,1.43102003583137
RP11-17M16.2,1.07191984160802,0.332826285984078,0.739265415020826,0.712100021999259,1.6135544324336
LINC00683,1.01313082611206,0.0595021908228651,0.952552120546679,0.659244656445585,1.5569850446004
RP11-111H3.3,1.04186253706348,0.167835866363271,0.866712405429071,0.645390816588754,1.68189183706347
CTD-2286N8.2,0.91691121821609,-0.374331882077312,0.708157414974463,0.582206106567665,1.4440353211802
RP11-567M16.1,1.29097183988513,1.32844897590008,0.184029829088243,0.885671443970938,1.88174554200834
RP11-567M16.2,0.96005416797613,-0.152969331009064,0.87842246091835,0.5694488635465,1.61858959504812
RP11-795F19.1,1.27790426821762,1.83351354130284,0.0667262366657884,0.983230216088117,1.6608921206938
AC139100.3,1.06998532727299,0.326180258913184,0.74428797644121,0.712608960798046,1.60658743232382
AC009005.2,0.975469767865551,-0.0914975841671078,0.927097225741395,0.573011853538455,1.66059613277409
AC004449.6,1.26150715752564,1.22101026129394,0.222082134644218,0.868843750183394,1.83163003491998
AC006273.5,0.893663780848041,-0.51897121580546,0.603780813978254,0.584489684481741,1.36637989412551
AC006273.7,0.949885475370347,-0.24383688627694,0.807357151264516,0.628336728955285,1.43598547520809
AC004528.3,0.980075553851083,-0.0860358776725423,0.931437896694622,0.61964861362338,1.55014966569477
AC004221.2,1.07089353532359,0.296099934789708,0.767153763785083,0.680530619069758,1.68517467379423
CIRBP-AS1,1.24422376445782,1.06431958301096,0.287183949607985,0.832034209176309,1.86061193033655
AC005330.2,1.0299624672956,0.123751515470733,0.901512021668187,0.645293632213495,1.64393793938241
CTB-25B13.13,1.03435359896288,0.173354677239705,0.862372647985372,0.706024259184412,1.51536913040832
CTB-25B13.12,1.38249045473632,1.60052631318215,0.109481874356875,0.929845611599129,2.05548086004305
CTB-25B13.6,0.898983417038527,-0.361549656659433,0.717688591100274,0.504706757968994,1.60126879886145
CTB-25B13.9,0.955088566197438,-0.205189737335594,0.83742388728088,0.615774028622219,1.48137811417947
AC005943.5,1.32984239822894,1.3010894442208,0.193227840489835,0.865580214150707,2.04311602231168
CTB-31O20.4,1.01667860001067,0.0769866829531382,0.938634138988068,0.667264541149473,1.54906384496178
CTB-31O20.8,1.12351873725856,0.657876551191822,0.510617459365991,0.794127132978606,1.58953686450236
CTB-31O20.2,1.01542483724962,0.0699290187982721,0.944250155998797,0.661187098192405,1.55944906203143
AC005306.3,1.08165526699718,0.346159701863467,0.72922269793683,0.693548644949146,1.68694456422523
AC005258.3,1.09710164347932,0.421806837339126,0.673166014649376,0.71324071965645,1.68755370095076
AC005624.2,0.912188124259754,-0.401161412351166,0.688301288662494,0.582194197100093,1.42922615543946
AC006538.1,1.22659870092486,0.98472194702368,0.324760669295839,0.81686716198039,1.84184705070404
AC006277.2,0.993854050993161,-0.0346844705166582,0.972331344209438,0.701500057732846,1.40804817303619
CACTIN-AS1,1.24703419359537,1.22849079712834,0.219262781974611,0.876822529217186,1.77355648170264
AC004637.1,0.58911487387252,-1.43875118080457,0.150221032690999,0.286517331840763,1.21129263764999
AC005954.3,1.08535930605927,0.412585361554706,0.67991042803992,0.735501263727169,1.6016353490406
CTD-2622I13.3,1.19044834397727,0.89477339190844,0.370908236784302,0.812586730017752,1.74401969331602
AC007292.7,1.30520271197235,1.21917605652192,0.222777377597436,0.850574769360341,2.00282700675579
AC007292.3,1.15110012119696,0.698573263275445,0.484818757532029,0.775621947835433,1.70834707903444
AC007292.6,0.942599988393658,-0.288477659421757,0.772981129176259,0.630817638264547,1.40848112707197
CTB-50L17.9,1.15200931643109,0.751643989969933,0.452265181526247,0.796535652620255,1.66612186256618
CTB-50L17.16,1.2659974939425,1.58485814684797,0.112998567596384,0.945705881201759,1.69476545142343
AC005594.3,1.32113597656673,1.55893903929514,0.11901080923469,0.930866049850714,1.87502838765989
AC005523.3,1.27682787783516,1.34409785619866,0.178916745264378,0.894067103356491,1.8234530982033
PLAC2,1.29096007899576,1.16851454603203,0.242599275305101,0.841157598205281,1.98129093658145
AC104532.4,1.19294686940342,0.748161507926356,0.454362745439883,0.751443375912341,1.89385159126803
CTC-232P5.1,1.11527967870798,0.47663120098713,0.63362476154014,0.71209187894517,1.74675319086844
