num.gene,km.pvalue,core.gene
4 genes,0.0166922534297356,NLRX1 | DSG1 | RP11-46H11.12 | GTSE1
4 genes,0.00837981994004255,NLRX1 | DSG1 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.335163161763051,NLRX1 | DSG1 | RP11-46H11.12 | NAV2
4 genes,0.102598202704208,NLRX1 | DSG1 | CTB-32O4.2 | GTSE1
4 genes,0.0287281444114773,NLRX1 | DSG1 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.00326617118750194,NLRX1 | DSG1 | CTB-32O4.2 | NAV2
4 genes,0.0232629573430474,NLRX1 | DSG1 | GTSE1 | GS1-115G20.1
4 genes,0.0175103563214716,NLRX1 | DSG1 | GTSE1 | NAV2
4 genes,0.130220620720429,NLRX1 | DSG1 | GS1-115G20.1 | NAV2
4 genes,0.00522979736917584,NLRX1 | RP11-203J24.8 | AC131097.4 | RP11-46H11.12
4 genes,0.00060245575186435,NLRX1 | RP11-203J24.8 | AC131097.4 | CTB-32O4.2
4 genes,0.0329835674116629,NLRX1 | RP11-203J24.8 | AC131097.4 | GTSE1
4 genes,0.024628918256982,NLRX1 | RP11-203J24.8 | AC131097.4 | GS1-115G20.1
4 genes,0.00559811869866444,NLRX1 | RP11-203J24.8 | AC131097.4 | NAV2
4 genes,0.0256734866707189,NLRX1 | RP11-203J24.8 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.141700645510534,NLRX1 | RP11-203J24.8 | RP11-46H11.12 | GTSE1
4 genes,0.107691809396748,NLRX1 | RP11-203J24.8 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.00796178910845569,NLRX1 | RP11-203J24.8 | RP11-46H11.12 | NAV2
4 genes,0.169474220761205,NLRX1 | RP11-203J24.8 | CTB-32O4.2 | GTSE1
4 genes,0.0868884271277577,NLRX1 | RP11-203J24.8 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.00544723949031423,NLRX1 | RP11-203J24.8 | CTB-32O4.2 | NAV2
4 genes,0.0909025375032759,NLRX1 | RP11-203J24.8 | GTSE1 | GS1-115G20.1
4 genes,0.0508987532719384,NLRX1 | RP11-203J24.8 | GTSE1 | NAV2
4 genes,0.0366241692005305,NLRX1 | RP11-203J24.8 | GS1-115G20.1 | NAV2
4 genes,0.0312682079530416,NLRX1 | AC131097.4 | RP11-46H11.12 | CTB-32O4.2
4 genes,0.133461566444018,NLRX1 | AC131097.4 | RP11-46H11.12 | GTSE1
4 genes,0.141297415343693,NLRX1 | AC131097.4 | RP11-46H11.12 | GS1-115G20.1
4 genes,0.00250940660296939,NLRX1 | AC131097.4 | RP11-46H11.12 | NAV2
4 genes,0.0200125721602336,NLRX1 | AC131097.4 | CTB-32O4.2 | GTSE1
4 genes,0.00680505687272792,NLRX1 | AC131097.4 | CTB-32O4.2 | GS1-115G20.1
4 genes,0.000766753953304278,NLRX1 | AC131097.4 | CTB-32O4.2 | NAV2
4 genes,0.0364770106372239,NLRX1 | AC131097.4 | GTSE1 | GS1-115G20.1
4 genes,0.0595877154701716,NLRX1 | AC131097.4 | GTSE1 | NAV2
4 genes,0.0108058043399694,NLRX1 | AC131097.4 | GS1-115G20.1 | NAV2
4 genes,0.129494269161726,NLRX1 | RP11-46H11.12 | CTB-32O4.2 | GTSE1
4 genes,0.07348149083234,NLRX1 | RP11-46H11.12 | CTB-32O4.2 | GS1-115G20.1
