"Process" "Occurences"
"GO:0097190" 836
"GO:0097191" 392
"GO:0097192" 33
"GO:0097193" 90
"GO:0097194" 153
"GO:0097205" 199
"GO:0097479" 43
"GO:0097480" 12
"GO:0097485" 71
"GO:0097502" 6
"GO:0097529" 1000
"GO:0097530" 1000
"GO:0098542" 930
"GO:1901068" 2
"GO:1901069" 77
"GO:1901070" 229
"GO:1901135" 120
"GO:1901136" 17
"GO:1901137" 34
"GO:1901214" 574
"GO:1901292" 2
"GO:1901293" 36
"GO:1901342" 18
"GO:1901360" 59
"GO:1901361" 90
"GO:1901362" 287
"GO:1901564" 252
"GO:1901565" 105
"GO:1901566" 37
"GO:1901568" 28
"GO:1901570" 338
"GO:1901575" 590
"GO:1901576" 35
"GO:1901605" 82
"GO:1901606" 10
"GO:1901617" 13
"GO:1901652" 140
"GO:1901653" 474
"GO:1901657" 65
"GO:1901658" 33
"GO:1901659" 34
"GO:1901698" 1
"GO:1901699" 895
"GO:1901700" 4
"GO:1901701" 994
"GO:1901796" 862
"GO:1901797" 29
"GO:1901879" 14
"GO:1901880" 19
"GO:1901987" 69
"GO:1901990" 97
"GO:1902275" 1
"GO:1902476" 54
"GO:1902531" 152
"GO:1902532" 245
"GO:1902533" 920
"GO:1902582" 3
"GO:1902589" 118
"GO:1902593" 880
"GO:1902600" 70
"GO:1902679" 80
"GO:1902680" 8
"GO:1990138" 32
"GO:1990266" 949
"GO:1990267" 2
"GO:2000021" 12
"GO:2000026" 33
"GO:2000112" 3
"GO:2000113" 387
"GO:2000116" 8
"GO:2000117" 946
"GO:2000145" 3
"GO:2000147" 109
"GO:2001020" 75
"GO:2001056" 4
"GO:2001141" 12
"GO:2001233" 632
"GO:2001234" 794
"GO:2001242" 769
"GO:2001243" 991
