,GSM904985,GSM904986,GSM904988,GSM904989
ADAMTS5,8.282790645,9.338316371,7.518703105,9.2919006115
ADAMTS6,4.264401451,4.520952876,4.350059517,4.831447936
ADAMTS7,6.430086769,6.576273146,6.632346379,6.448900776
ADAMTS8,5.787367507,6.254631895,6.22889509,5.555414069
ADAMTS9,6.462738268,7.172997327,6.9010141315,6.9641280135
ADAMTS9-AS1,6.762889513,5.8961631595,6.7916251755,6.475584757
ADAMTS9-AS2,5.673200124,5.820317171,5.941946799,6.07093326
ADAMTSL1,4.9916371595,4.382640103,5.053735907,5.1443809085
ADAMTSL2,7.196201593,6.431583021,6.800983508,6.049334039
ADAMTSL3,7.196068579,8.159536425,6.9930059435,6.8564303045
ADAMTSL4,5.2073568775,5.707902453,5.5034576695,5.251433472
ADAMTSL5,6.942901498,7.049762526,6.984279482,6.510846996
ADAP1,8.447826834,7.754061759,8.668540976,8.0629723445
ADAP2,7.72952062,8.3785216005,8.0256445455,8.6856335535
ADAR,11.45969072,11.81670826,11.08136781,11.50285912
ADARB1,6.402334704,6.698831353,6.416257853,6.657955045
ADARB2,5.268886108,5.757840207,5.6835634025,5.529482621
ADARB2-AS1,6.989594778,6.749556567,7.14608723,7.140985407
ADAT1,8.194843031,8.500227943,8.164467494,8.248026707
ADAT2,6.1001833455,6.1202614715,5.3808732875,5.786234229
ADAT3,6.7768549115,6.978341017,7.4331886405,7.047492341
ADCK1,8.029168008,7.571228356,8.130408095,7.035908675
ADCK2,7.281882834,7.961855139,7.0040686605,7.676929676
ADCK5,6.373115867,6.61059667,6.80077533,6.647536088
ADCY1,5.908517613,6.277515073,6.372848266,5.922686127
ADCY10,4.2210567025,4.396027707,4.294670298,4.4565893785
ADCY10P1,6.400026908,6.049997003,6.121648258,6.0364494175
ADCY2,4.630136253,5.844145318,5.327541258,5.745007948
ADCY3,6.8756354105,8.7515187115,6.385377844,7.2773910985
ADCY4,8.317841551,8.563869554,7.683174731,8.22586007
ADCY5,6.0451214935,6.660833501,6.0806585925,6.3842052275
ADCY6,8.675813153,9.118215831,8.709483156,8.444321884
ADCY7,6.141368563,6.6891368805,6.332293944,6.7247481775
ADCY8,5.574897836,5.339155031,5.704312813,4.689795163
ADCY9,6.581774318,6.697967877,7.142245602,6.550841681
ADCYAP1,5.0125303115,4.9194028035,5.091246488,4.6949570275
ADCYAP1R1,5.0243858315,5.1539109135,4.8578033705,4.929116643
ADD1,9.109084647,9.36439258,9.3136295735,9.061405272
ADD2,5.4300850185,5.6888877015,5.397607392,6.2070125235
ADD3,11.3312543,11.212358665,11.682908765,11.597878865
ADD3-AS1,4.973751847,4.681063355,5.40761201,6.020753292
ADGB,3.483112058,3.444041974,3.719349436,3.543721509
ADGRA1,6.222403284,5.603672319,5.755111341,6.734746355
ADGRA2,7.29943663,8.7475217425,6.900954062,7.9229224325
ADGRA3,4.225010008,4.05211571,4.032964782,4.154695466
ADGRB1,6.822362959,6.660141111,6.738772868,6.961291825
ADGRB2,5.593044802,5.954297423,5.931138672,4.765238673
