,GSM904985,GSM904986,GSM904988,GSM904989
DLG5-AS1,5.38298605,5.7872678615,5.686820774,5.608703805
DLGAP1-AS1,6.342271756,6.269826955,6.0905797,6.274971427
DLGAP1-AS2,5.853303663,6.1172027425,5.184067426,5.4500702805
DLGAP1-AS3,3.942763186,4.000370826,4.045641251,4.474290223
DLGAP2-AS1,5.355586583,4.730087311,5.684679345,5.256006576
DLGAP4-AS1,5.402318999,5.871398104,5.725278986,5.852985139
DLX6-AS1,5.400699393,5.209436567,5.327630286,4.905354611
DNAH17-AS1,5.332474819,5.303921351,5.085695032,4.757063614
DNAJB8-AS1,3.843116274,3.946697068,3.73567919,4.125065225
DNAJC27-AS1,4.796455528,4.987901226,5.222010325,5.155359317
DNAJC9-AS1,6.181289971,6.003350538,6.623329476,6.118412088
DNM1P35,4.702853706,5.151262197,5.696942876,5.59697907
DNM3OS,5.8881016845,5.9947433865,5.147540456,5.1747591725
DOCK4-AS1,3.725250566,4.143576236,3.942769494,3.811925125
DPP10-AS1,4.85928406,4.726883827,4.767829711,4.787668316
DPP10-AS3,4.108118873,4.827511233,4.252442627,4.464435684
DPY19L2P2,6.477913965,7.3428416,6.044450395,6.874673421
DRAIC,8.1012097795,7.7956195425,8.4975149445,7.789113323
DSCAM-AS1,4.707609705,4.66540746,4.845959879,4.533174994
DSCR10,6.543311058,6.688737003,6.5646795985,6.5234251015
DSCR4,6.246393085,6.148680233,6.119898961,6.494400069
DSCR8,5.087928748,5.139628028,5.465849037,5.119341131
DSCR9,7.034997165,6.442131341,6.897064355,6.664447131
DSG2-AS1,6.721369452,6.490079884,6.354187896,6.795997277
DTX2P1-UPK3BP1-PMS2P11,8.9361985065,8.707326936,9.066877668,9.111026528
DUBR,6.6316414975,6.4534395345,5.7558366305,6.677404919
EBLN3P,9.630975954,9.425862889,9.569760061,9.582457107
EDNRB-AS1,4.79306593,4.516021409,4.402619115,4.917965088
EGFLAM-AS2,5.2374906845,4.9352786295,5.2045849245,5.007726676
EGFLAM-AS4,4.877811386,3.868008713,4.385236486,4.192772549
EGOT,7.6576219705,8.3903931575,7.8318064395,7.1220442675
ELFN1-AS1,5.741450378,5.821105211,5.875793464,5.432955716
ELOVL2-AS1,3.580344772,4.430707017,3.700101609,3.879906264
EML2-AS1,5.8656223915,5.7937914165,5.830032954,5.8197563165
EMX2OS,9.4474522035,8.999258352,9.4757515015,9.601242256
ENO1-AS1,4.644370214,4.224565331,4.653323187,4.352901119
ENTPD1-AS1,7.842423623,8.198450728,7.575651489,8.016822658
ENTPD3-AS1,5.208066487,4.375056787,5.158271227,4.318375496
EP300-AS1,5.034602311,7.12192713,6.445637271,4.996093273
EPB41L4A-AS1,8.700952226,9.1588741785,8.467512828,9.3015554705
EPHA1-AS1,4.193381565,4.2467890405,4.221059438,4.2182441225
EPHA5-AS1,6.743760789,5.949152248,6.96520483,6.376745812
EPN2-AS1,5.104383103,5.022017674,4.966590903,4.772415454
ERC2-IT1,5.00015667,5.021915606,5.630685751,5.362955715
ERICH3-AS1,5.256144645,4.864004989,4.873447125,5.173861143
ERVH-1,8.040704374,7.766831972,8.781399959,7.755302134
ERVH-3,5.57650863,4.775469492,5.479888795,4.948200029
ERVK13-1,6.405565656,5.601748078,6.439438554,6.895792678
EWSAT1,5.993457598,6.340243367,6.598296986,6.382693013
EXOC3-AS1,6.38382109,6.721967815,6.744488387,5.864216956
EXTL3-AS1,5.222710419,5.158589508,4.94397011,5.585432256
F11-AS1,4.267012239,3.910533617,4.334061481,4.28289448
FAM106A,4.457707797,5.255011061,4.606227966,4.354033646
FAM13A-AS1,6.8376448405,7.2631352285,6.8475833225,7.0188635695
FAM167A-AS1,5.396780345,4.993770724,4.999152273,4.286900633
FAM170B-AS1,5.443838054,5.431593146,5.34857445,5.383301453
FAM181A-AS1,4.386969329,4.172298749,4.97118489,4.52880753
FAM201A,5.1120495245,5.179942036,4.4116761345,4.5183648275
FAM215A,5.216534907,4.680237818,5.57510923,5.752972357
FAM218A,4.158504507,4.3890449825,4.050057085,5.1041248715
FAM222A-AS1,4.509970718,5.330499369,4.92943774,5.190347866
FAM223B,5.343132779,4.573271671,5.058932163,6.676484845
FAM224A,4.867163247,4.840285201,5.197304854,5.137491773
FAM230B,4.527915263,5.539916943,4.75592675,5.817835183
FAM230C,3.743429618,4.355152727,3.620979266,3.734293209
FAM30A,5.9043215725,5.518826943,6.1054196955,5.745952246
FAM53B-AS1,4.328476864,4.2131244555,4.3570979485,4.1713149125
FAM66D,4.490110866,4.691991337,5.148068958,5.005707154
FAM83C-AS1,5.590351271,5.926181689,6.184454623,5.70435041
FAM95A,6.063806447,5.874710287,6.139850214,5.566963417
FAM99B,5.731962847,5.730575999,6.325754524,6.256961106
FBXL19-AS1,5.84025134,5.841928337,6.06921752,5.746829181
FENDRR,5.341717814,5.091729943,5.529335182,5.18516461
FER1L6-AS1,4.630383,4.626307816,4.977174001,4.191388136
FGD5-AS1,8.7061542535,8.360927945,8.574357869,8.043286515
FGF10-AS1,4.637491516,4.521941481,4.826214724,4.711035922
FGF13-AS1,4.804594518,4.707761845,4.946040268,4.64945585
FGF14-AS2,7.552969059,5.8208729065,7.403003413,6.55615271
FGF14-IT1,4.59903983,4.518717739,4.560292566,4.583227083
FIRRE,5.125025869,4.559062713,5.2542192,5.857767134
FMO9P,3.56992561,3.745026569,4.166503052,3.964496697
FOXCUT,7.097229715,6.430817104,7.821094338,6.790767652
FOXD2-AS1,5.1824204085,5.4350165615,5.095782408,4.9943005475
FOXD3-AS1,5.869386636,5.779642122,5.55257017,5.318264243
FOXN3-AS1,6.689814303,6.657277275,7.111023332,6.862758299
FOXN3-AS2,3.747344586,4.05410666,4.066260024,4.09153106
FOXP1-AS1,4.702408412,4.905150145,4.529198386,4.572863199
FOXP1-IT1,7.719827084,7.192619183,7.56140309,7.374522587
FOXP4-AS1,6.287224428,4.25881141,5.176540697,5.373275804
FRG1BP,5.171086976,5.2860078055,4.8763890525,5.6520327975
FRY-AS1,3.336268719,3.141266618,3.601944481,3.498259072
FTX,8.705286604,8.542171189,8.6072279005,8.110384707
FUT8-AS1,5.1539750705,6.0075570445,5.7355096,5.650761906
FZD10-AS1,4.9605599295,5.1130820305,5.2151965135,5.279499837
GABPB1-AS1,6.4778452475,7.2651130975,5.9996373915,5.702803318
GABRG3-AS1,5.187100823,5.59884427,5.426496487,5.791929013
GAPLINC,5.957525845,5.254168863,5.680203192,5.498529369
GAS1RR,4.4692423295,4.1413452385,4.9383461875,4.58225401
GAS5,7.472800112,7.050474393,6.82912984,6.815868342
GAS5-AS1,6.289752981,5.047933031,6.388509965,5.68775607
GAS6-AS1,5.4933351615,6.7183418705,5.48156363,5.289295459
GAS8-AS1,4.470227131,5.336458619,5.168963341,5.831465306
GATA2-AS1,7.177780225,6.793760422,6.696411612,6.287961641
GATA3-AS1,6.5048634105,4.6880987225,5.7884922435,4.5636232695
GATA6-AS1,6.353881954,5.681861661,5.572095679,4.761487245
GBP1P1,6.115178701,5.948195881,6.328263772,6.078229822
GCC2-AS1,6.271481976,6.590115344,6.619376776,5.937656613
GHET1,3.996413684,4.140893203,4.424847006,5.119341131
GHRLOS,6.2029696305,6.314510159,6.549029436,6.310820191
