	GSM995558	GSM995559	GSM995560	GSM995561	GSM995562	GSM995563	GSM995564	GSM995565	GSM995619	GSM995620	GSM995621	GSM995622	GSM995623	GSM995624	GSM995625
hsa-miR-505-5p	3.389975701	4.32897236	2.321928095	2.321928095	2.321928095	2.321928095	3.74711931	4.174164454	3.463744758	3.94254449	2.362728252	2.321928095	2.321928095	2.696884194	3.83234344
hsa-miR-500a-3p	4.949332308	5.794119912	5.854891853	5.243333936	4.78824475	5.031325265	6.539245035	5.339231311	4.858568039	4.751867534	4.865557517	5.469995577	5.278415346	4.912468418	4.572430474
hsa-miR-654-3p	3.223015159	2.321928095	3.513718975	5.050342747	2.321928095	4.416477043	5.282026443	2.321928095	4.286845862	3.120692706	3.962408947	2.321928095	2.321928095	3.679965159	5.187320795
hsa-miR-654-5p	4.23735352	3.542732188	4.498437585	2.321928095	5.300140158	4.927844333	3.262293227	4.16949665	5.137972635	6.010001974	6.392743369	5.396686802	6.214684447	5.825902543	5.377210685
ebv-miR-BHRF1-2-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.793918766	2.321928095	2.321928095	2.321928095
hsa-miR-518a-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-331-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.36034357	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-331-3p	7.649690537	7.42808855	9.389842633	9.215730882	8.155666586	8.779802103	7.040273944	7.628777518	6.748103069	6.711356664	7.246279242	7.764159123	6.696291951	7.784543896	7.035258769
hsa-miR-99b-3p	2.687498315	4.172141465	2.321928095	2.321928095	2.321928095	2.321928095	3.362505527	2.321928095	3.705474706	3.809786556	3.527135816	2.321928095	3.454601935	2.5628085	3.235281087
hsa-miR-146a-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-99a-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-296-5p	5.118835305	4.587465032	5.52184625	6.238152703	7.0483284	5.420232441	6.541649983	4.485794863	5.954582742	6.679212265	6.506870293	6.799732092	8.290203258	6.070529852	5.652600611
hsa-miR-296-3p	2.321928095	2.836745646	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-532-3p	3.729384088	4.344270539	4.623581103	5.28664258	4.542054737	3.144421747	3.652505944	3.246467455	3.352097526	2.641925702	3.099793889	4.798779091	3.653208325	3.409730414	2.819956507
hsa-miR-532-5p	5.569258361	6.340320808	6.065032132	6.491017994	5.949668315	6.087201645	6.372362898	5.224483201	5.18415948	4.676371428	4.908625705	5.76307986	4.709446358	5.138516846	4.403782858
hsa-miR-29b-1-5p	2.321928095	2.771454126	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	3.880634948	2.321928095	3.729811576	2.321928095	2.321928095	2.321928095	2.321928095	2.724594999
hsa-miR-29b-2-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-556-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-556-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-188-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-140-5p	7.739957562	6.219866446	8.279808224	7.304282264	6.733311817	7.2682988	7.545377243	7.271371132	6.99048961	6.431450483	7.202006035	7.533712659	6.440448121	7.21593244	6.861345947
hsa-miR-139-5p	2.321928095	2.321928095	2.93512953	5.22025504	2.321928095	4.993597815	2.321928095	2.321928095	4.387793213	5.91870079	6.336679774	6.964206734	5.955787335	5.209388734	5.530599663
hsa-miR-140-3p	8.428432217	8.218179827	8.865511998	9.206957052	8.408565119	8.689449756	7.687368389	9.175844557	8.403986181	9.158440602	9.04453661	9.569327549	10.26931548	8.391824034	8.912498605
hsa-miR-139-3p	5.129982253	5.46227813	5.267728676	4.689411464	6.269907475	6.747762917	5.171276845	5.863700873	5.855108331	7.335658099	6.969586513	6.788290716	6.885659828	7.19777851	7.213376969
hsa-let-7f-2-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-24-2-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-let-7f-1-3p	3.071053251	3.517208635	3.409038329	4.140900842	3.991814003	3.823130627	3.108441162	2.321928095	3.368162039	3.607404513	3.571654109	4.383730676	4.828140648	2.321928095	2.7152774
hsa-miR-24-1-5p	4.742105677	2.321928095	3.570651697	3.892246321	2.321928095	2.385385043	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.80614382	2.321928095
hsa-miR-188-5p	8.876948455	9.399510699	7.813758315	7.891797969	9.116890679	7.448453242	9.799814846	8.413832935	10.32409558	9.89296338	9.540505635	10.34513285	10.0161534	9.246665034	8.893005654
hsa-miR-615-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-548d-3p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-615-5p	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
hsa-miR-548d-5p	2.349202785	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095	2.321928095
