Model	TCGA	GSE57303	GSE62254	All	GEO
StepCox[forward] + Enet[α=0.8]	0.713910176439137	0.598208573256558	0.594115154083671	0.635411301259789	0.596161863670115
StepCox[forward] + Enet[α=0.9]	0.713776510425949	0.598848368522073	0.594569231700672	0.635731370216231	0.596708800111373
StepCox[forward] + GBM	0.83501158438781	0.487523992322457	0.546255373251801	0.622930316654023	0.516889682787129
StepCox[forward] + Lasso	0.708385314560684	0.612923864363404	0.598292668160078	0.639867282361389	0.605608266261741
StepCox[forward] + plsRcox	0.714266619140973	0.584133077415227	0.58863595083853	0.62901188246491	0.586384514126879
StepCox[forward] + Ridge	0.68731063981465	0.600767754318618	0.586153659865593	0.62474401799962	0.593460707092106
StepCox[forward] + RSF	0.934993762252718	0.509916826615483	0.542683295998063	0.662531294955421	0.526300061306773
StepCox[forward] + SuperPC	0.60149705934771	0.569417786308381	0.511594115154084	0.560836320270058	0.540505950731233
StepCox[forward] + survival-SVM	0.657948672250936	0.594369801663468	0.562027002482291	0.604781825465565	0.578198402072879
CoxBoost	0.712439850294065	0.597568777991043	0.592692377550403	0.634233668611837	0.595130577770723
CoxBoost + Enet[α=0.1]	0.713598289075031	0.584772872680742	0.58872676636193	0.629032642705901	0.586749819521336
CoxBoost + Enet[α=0.2]	0.714400285154161	0.585412667946257	0.58854513531513	0.629452696138516	0.586978901630694
CoxBoost + Enet[α=0.3]	0.713999287114596	0.586052463211772	0.589695465278198	0.629915738534856	0.587873964244985
CoxBoost + Enet[α=0.4]	0.714222063803244	0.588611644273832	0.589846824483865	0.630893510853647	0.589229234378849
CoxBoost + Enet[α=0.5]	0.713821065763679	0.592450415866923	0.590088999212932	0.632120160281178	0.591269707539927
CoxBoost + Enet[α=0.6]	0.713954731776867	0.593090211132438	0.590119271054065	0.632388071321123	0.591604741093252
CoxBoost + Enet[α=0.7]	0.714266619140973	0.593730006397953	0.589816552642732	0.632604392727219	0.591773279520342
CoxBoost + Enet[α=0.8]	0.714043842452326	0.595009596928983	0.590028455530665	0.633027298303991	0.592519026229824
CoxBoost + Enet[α=0.9]	0.71373195508822	0.593730006397953	0.590210086577466	0.632557349354546	0.591970046487709
CoxBoost + GBM	0.859918018178578	0.522712731925784	0.546104014046134	0.642911588050165	0.534408372985959
CoxBoost + Lasso	0.71453395116735	0.598208573256558	0.594841678270872	0.63586140089826	0.596525125763715
CoxBoost + plsRcox	0.710835858135805	0.594369801663468	0.58854513531513	0.631250265038134	0.591457468489299
