	V1	V2
AC011997.1-IQCJ-SCHIP1-AS1	AC011997.1	IQCJ-SCHIP1-AS1
AC011997.1-ISM1-AS1	AC011997.1	ISM1-AS1
AC011997.1-JAKMIP2-AS1	AC011997.1	JAKMIP2-AS1
AC011997.1-JARID2-AS1	AC011997.1	JARID2-AS1
AC011997.1-JAZF1-AS1	AC011997.1	JAZF1-AS1
AC011997.1-KCNQ1-AS1	AC011997.1	KCNQ1-AS1
AC011997.1-KCNQ1DN	AC011997.1	KCNQ1DN
AC011997.1-KCNQ1OT1	AC011997.1	KCNQ1OT1
AC011997.1-KIF9-AS1	AC011997.1	KIF9-AS1
AC011997.1-KRBOX1-AS1	AC011997.1	KRBOX1-AS1
AC011997.1-LDLRAD4-AS1	AC011997.1	LDLRAD4-AS1
AC011997.1-LIMD1-AS1	AC011997.1	LIMD1-AS1
AC011997.1-LINC-PINT	AC011997.1	LINC-PINT
AC011997.1-LINC00028	AC011997.1	LINC00028
AC011997.1-LINC00052	AC011997.1	LINC00052
AC011997.1-LINC00092	AC011997.1	LINC00092
AC011997.1-LINC00106	AC011997.1	LINC00106
AC011997.1-LINC00158	AC011997.1	LINC00158
AC011997.1-LINC00163	AC011997.1	LINC00163
AC011997.1-LINC00167	AC011997.1	LINC00167
AC011997.1-LINC00208	AC011997.1	LINC00208
AC011997.1-LINC00221	AC011997.1	LINC00221
AC011997.1-LINC00265	AC011997.1	LINC00265
AC011997.1-LINC00266-1	AC011997.1	LINC00266-1
AC011997.1-LINC00269	AC011997.1	LINC00269
AC011997.1-LINC00271	AC011997.1	LINC00271
AC011997.1-LINC00280	AC011997.1	LINC00280
AC011997.1-LINC00284	AC011997.1	LINC00284
AC011997.1-LINC00299	AC011997.1	LINC00299
AC011997.1-LINC00304	AC011997.1	LINC00304
AC011997.1-LINC00308	AC011997.1	LINC00308
AC011997.1-LINC00310	AC011997.1	LINC00310
AC011997.1-LINC00311	AC011997.1	LINC00311
AC011997.1-LINC00313	AC011997.1	LINC00313
AC011997.1-LINC00315	AC011997.1	LINC00315
AC011997.1-LINC00334	AC011997.1	LINC00334
AC011997.1-LINC00347	AC011997.1	LINC00347
AC011997.1-LINC00354	AC011997.1	LINC00354
AC011997.1-LINC00355	AC011997.1	LINC00355
AC011997.1-LINC00382	AC011997.1	LINC00382
AC011997.1-LINC00410	AC011997.1	LINC00410
AC011997.1-LINC00424	AC011997.1	LINC00424
AC011997.1-LINC00427	AC011997.1	LINC00427
AC011997.1-LINC00441	AC011997.1	LINC00441
AC011997.1-LINC00445	AC011997.1	LINC00445
AC011997.1-LINC00458	AC011997.1	LINC00458
AC011997.1-LINC00463	AC011997.1	LINC00463
AC011997.1-LINC00470	AC011997.1	LINC00470
AC011997.1-LINC00472	AC011997.1	LINC00472
AC011997.1-LINC00479	AC011997.1	LINC00479
AC011997.1-LINC00482	AC011997.1	LINC00482
AC011997.1-LINC00491	AC011997.1	LINC00491
AC011997.1-LINC00520	AC011997.1	LINC00520
AC011997.1-LINC00528	AC011997.1	LINC00528
AC011997.1-LINC00535	AC011997.1	LINC00535
AC011997.1-LINC00540	AC011997.1	LINC00540
AC011997.1-LINC00544	AC011997.1	LINC00544
AC011997.1-LINC00551	AC011997.1	LINC00551
AC011997.1-LINC00557	AC011997.1	LINC00557
AC011997.1-LINC00559	AC011997.1	LINC00559
AC011997.1-LINC00560	AC011997.1	LINC00560
AC011997.1-LINC00567	AC011997.1	LINC00567
AC011997.1-LINC00572	AC011997.1	LINC00572
AC011997.1-LINC00598	AC011997.1	LINC00598
AC011997.1-LINC00599	AC011997.1	LINC00599
AC011997.1-LINC00607	AC011997.1	LINC00607
AC011997.1-LINC00608	AC011997.1	LINC00608
AC011997.1-LINC00626	AC011997.1	LINC00626
AC011997.1-LINC00628	AC011997.1	LINC00628
AC011997.1-LINC00639	AC011997.1	LINC00639
AC011997.1-LINC00642	AC011997.1	LINC00642
AC011997.1-LINC00648	AC011997.1	LINC00648
AC011997.1-LINC00656	AC011997.1	LINC00656
AC011997.1-LINC00662	AC011997.1	LINC00662
AC011997.1-LINC00663	AC011997.1	LINC00663
AC011997.1-LINC00691	AC011997.1	LINC00691
AC011997.1-LINC00700	AC011997.1	LINC00700
AC011997.1-LINC00702	AC011997.1	LINC00702
AC011997.1-LINC00708	AC011997.1	LINC00708
AC011997.1-LINC00838	AC011997.1	LINC00838
AC011997.1-LINC00839	AC011997.1	LINC00839
AC011997.1-LINC00841	AC011997.1	LINC00841
AC011997.1-LINC00844	AC011997.1	LINC00844
AC011997.1-LINC00845	AC011997.1	LINC00845
AC011997.1-LINC00857	AC011997.1	LINC00857
AC011997.1-LINC00858	AC011997.1	LINC00858
AC011997.1-LINC00870	AC011997.1	LINC00870
AC011997.1-LINC00877	AC011997.1	LINC00877
AC011997.1-LINC00879	AC011997.1	LINC00879
AC011997.1-LINC00884	AC011997.1	LINC00884
AC011997.1-LINC00887	AC011997.1	LINC00887
AC011997.1-LINC00893	AC011997.1	LINC00893
AC011997.1-LINC00894	AC011997.1	LINC00894
AC011997.1-LINC00896	AC011997.1	LINC00896
AC011997.1-LINC00900	AC011997.1	LINC00900
AC011997.1-LINC00906	AC011997.1	LINC00906
AC011997.1-LINC00907	AC011997.1	LINC00907
AC011997.1-LINC00908	AC011997.1	LINC00908
AC011997.1-LINC00910	AC011997.1	LINC00910
AC011997.1-LINC00911	AC011997.1	LINC00911
AC011997.1-LINC00917	AC011997.1	LINC00917
AC011997.1-LINC00927	AC011997.1	LINC00927
AC011997.1-LINC00928	AC011997.1	LINC00928
AC011997.1-LINC00930	AC011997.1	LINC00930
AC011997.1-LINC00934	AC011997.1	LINC00934
AC011997.1-LINC00937	AC011997.1	LINC00937
AC011997.1-LINC00942	AC011997.1	LINC00942
AC011997.1-LINC00943	AC011997.1	LINC00943
AC011997.1-LINC00944	AC011997.1	LINC00944
AC011997.1-LINC00951	AC011997.1	LINC00951
AC011997.1-LINC00957	AC011997.1	LINC00957
AC011997.1-LINC00964	AC011997.1	LINC00964
AC011997.1-LINC00967	AC011997.1	LINC00967
AC011997.1-LINC00968	AC011997.1	LINC00968
AC011997.1-LINC00970	AC011997.1	LINC00970
AC011997.1-LINC00982	AC011997.1	LINC00982
AC011997.1-LINC01007	AC011997.1	LINC01007
AC011997.1-LINC01012	AC011997.1	LINC01012
AC011997.1-LINC01013	AC011997.1	LINC01013
AC011997.1-LINC01015	AC011997.1	LINC01015
AC011997.1-LINC01016	AC011997.1	LINC01016
AC011997.1-LINC01019	AC011997.1	LINC01019
AC011997.1-LINC01029	AC011997.1	LINC01029
AC011997.1-LINC01049	AC011997.1	LINC01049
AC011997.1-LINC01056	AC011997.1	LINC01056
AC011997.1-LINC01069	AC011997.1	LINC01069
AC011997.1-LINC01082	AC011997.1	LINC01082
AC011997.1-LINC01088	AC011997.1	LINC01088
AC011997.1-LINC01089	AC011997.1	LINC01089
AC011997.1-LINC01096	AC011997.1	LINC01096
AC011997.1-LINC01097	AC011997.1	LINC01097
AC011997.1-LINC01103	AC011997.1	LINC01103
AC011997.1-LINC01104	AC011997.1	LINC01104
AC011997.1-LINC01111	AC011997.1	LINC01111
AC011997.1-LINC01114	AC011997.1	LINC01114
AC011997.1-LINC01115	AC011997.1	LINC01115
AC011997.1-LINC01120	AC011997.1	LINC01120
AC011997.1-LINC01126	AC011997.1	LINC01126
AC011997.1-LINC01140	AC011997.1	LINC01140
AC011997.1-LINC01141	AC011997.1	LINC01141
AC011997.1-LINC01142	AC011997.1	LINC01142
AC011997.1-LINC01149	AC011997.1	LINC01149
AC011997.1-LINC01165	AC011997.1	LINC01165
AC011997.1-LINC01169	AC011997.1	LINC01169
AC011997.1-LINC01180	AC011997.1	LINC01180
AC011997.1-LINC01186	AC011997.1	LINC01186
AC011997.1-LINC01187	AC011997.1	LINC01187
AC011997.1-LINC01191	AC011997.1	LINC01191
AC011997.1-LINC01192	AC011997.1	LINC01192
AC011997.1-LINC01197	AC011997.1	LINC01197
AC011997.1-LINC01206	AC011997.1	LINC01206
AC011997.1-LINC01208	AC011997.1	LINC01208
AC011997.1-LINC01209	AC011997.1	LINC01209
AC011997.1-LINC01210	AC011997.1	LINC01210
AC011997.1-LINC01213	AC011997.1	LINC01213
AC011997.1-LINC01220	AC011997.1	LINC01220
AC011997.1-LINC01231	AC011997.1	LINC01231
AC011997.1-LINC01241	AC011997.1	LINC01241
AC011997.1-LINC01252	AC011997.1	LINC01252
AC011997.1-LINC01255	AC011997.1	LINC01255
AC011997.1-LINC01257	AC011997.1	LINC01257
AC011997.1-LINC01268	AC011997.1	LINC01268
AC011997.1-LINC01270	AC011997.1	LINC01270
AC011997.1-LINC01281	AC011997.1	LINC01281
AC011997.1-LINC01282	AC011997.1	LINC01282
AC011997.1-LINC01293	AC011997.1	LINC01293
AC011997.1-LINC01304	AC011997.1	LINC01304
AC011997.1-LINC01310	AC011997.1	LINC01310
AC011997.1-LINC01312	AC011997.1	LINC01312
AC011997.1-LINC01342	AC011997.1	LINC01342
AC011997.1-LINC01343	AC011997.1	LINC01343
AC011997.1-LINC01346	AC011997.1	LINC01346
AC011997.1-LINC01351	AC011997.1	LINC01351
AC011997.1-LINC01354	AC011997.1	LINC01354
AC011997.1-LINC01356	AC011997.1	LINC01356
AC011997.1-LINC01362	AC011997.1	LINC01362
AC011997.1-LINC01365	AC011997.1	LINC01365
AC011997.1-LINC01366	AC011997.1	LINC01366
AC011997.1-LINC01395	AC011997.1	LINC01395
AC011997.1-LINC01405	AC011997.1	LINC01405
AC011997.1-LINC01424	AC011997.1	LINC01424
AC011997.1-LINC01428	AC011997.1	LINC01428
AC011997.1-LINC01432	AC011997.1	LINC01432
AC011997.1-LINC01442	AC011997.1	LINC01442
AC011997.1-LIPE-AS1	AC011997.1	LIPE-AS1
AC011997.1-LSAMP-AS1	AC011997.1	LSAMP-AS1
AC011997.1-LY86-AS1	AC011997.1	LY86-AS1
AC011997.1-MACROD2-AS1	AC011997.1	MACROD2-AS1
AC011997.1-MAGI1-IT1	AC011997.1	MAGI1-IT1
AC011997.1-MAGI2-AS2	AC011997.1	MAGI2-AS2
AC011997.1-MAN1B1-AS1	AC011997.1	MAN1B1-AS1
AC011997.1-MBNL1-AS1	AC011997.1	MBNL1-AS1
AC011997.1-MCF2L-AS1	AC011997.1	MCF2L-AS1
AC011997.1-MEF2C-AS1	AC011997.1	MEF2C-AS1
AC011997.1-MEG3	AC011997.1	MEG3
AC011997.1-MEG8	AC011997.1	MEG8
AC011997.1-MGC15885	AC011997.1	MGC15885
AC011997.1-MIAT	AC011997.1	MIAT
AC011997.1-MIR124-2HG	AC011997.1	MIR124-2HG
AC011997.1-MIR4500HG	AC011997.1	MIR4500HG
AC011997.1-MIR670HG	AC011997.1	MIR670HG
AC011997.1-MIR7-3HG	AC011997.1	MIR7-3HG
AC011997.1-MIRLET7BHG	AC011997.1	MIRLET7BHG
AC011997.1-MORF4L2-AS1	AC011997.1	MORF4L2-AS1
AC011997.1-MPRIP-AS1	AC011997.1	MPRIP-AS1
AC011997.1-MYLK-AS1	AC011997.1	MYLK-AS1
AC011997.1-N4BP2L2-IT2	AC011997.1	N4BP2L2-IT2
AC011997.1-NADK2-AS1	AC011997.1	NADK2-AS1
AC011997.1-NALCN-AS1	AC011997.1	NALCN-AS1
AC011997.1-NAPA-AS1	AC011997.1	NAPA-AS1
AC011997.1-NAV2-AS2	AC011997.1	NAV2-AS2
