	V1	V2	avg1	avg2	dirct	altb.N	agtb.N	altb.T	agtb.T	p	FDR
AFAP1-AS1-EGFLAM-AS2	AFAP1-AS1	EGFLAM-AS2	968.28	53.04	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-ELFN2	AFAP1-AS1	ELFN2	968.28	122.36	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-EMX2OS	AFAP1-AS1	EMX2OS	968.28	91.88	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-EPN2-AS1	AFAP1-AS1	EPN2-AS1	968.28	49.8199999999999	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-ERC2-IT1	AFAP1-AS1	ERC2-IT1	968.28	48.2800000000001	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-F11-AS1	AFAP1-AS1	F11-AS1	968.28	59.48	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-FAM138A	AFAP1-AS1	FAM138A	968.28	43.2	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AFAP1-AS1-FAM181A-AS1	AFAP1-AS1	FAM181A-AS1	968.28	48.4400000000001	same	25	0	2	23	5.55333147891892e-12	7.67812952328286e-11
AFAP1-AS1-FAM201A	AFAP1-AS1	FAM201A	968.28	78.04	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-FAM215A	AFAP1-AS1	FAM215A	968.28	2.5200000000001	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-FAM222A-AS1	AFAP1-AS1	FAM222A-AS1	968.28	13.96	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-FAM224A	AFAP1-AS1	FAM224A	968.28	55.5600000000001	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-FAM53B-AS1	AFAP1-AS1	FAM53B-AS1	968.28	63.1999999999999	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-FAM66D	AFAP1-AS1	FAM66D	968.28	10.24	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-FAM83C-AS1	AFAP1-AS1	FAM83C-AS1	968.28	121.08	same	24	1	0	25	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-FAM95B1	AFAP1-AS1	FAM95B1	968.28	50.0799999999999	same	25	0	0	25	1.58214572048972e-14	5.8735919169197e-13
AFAP1-AS1-FAM99B	AFAP1-AS1	FAM99B	968.28	75.36	same	24	1	2	23	1.23818724085526e-10	1.04033747216883e-09
AFAP1-AS1-FBXL19-AS1	AFAP1-AS1	FBXL19-AS1	968.28	7.51999999999998	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-FER1L6-AS1	AFAP1-AS1	FER1L6-AS1	968.28	5.72000000000003	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-FIRRE	AFAP1-AS1	FIRRE	968.28	52.6800000000001	same	25	0	1	24	4.11357887327329e-13	6.72816869554506e-12
AFAP1-AS1-FLJ21408	AFAP1-AS1	FLJ21408	968.28	67.4399999999999	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
AFAP1-AS1-FOXD2-AS1	AFAP1-AS1	FOXD2-AS1	968.28	329.76	same	24	1	1	24	9.90423221026572e-12	1.07975837375587e-10
