SYMBOL,GSM431121,GSM431122,GSM431123,GSM431124,GSM431125,GSM431126
CDKL2,25.21011697,24.68852693,24.07766344,25.7111785,28.5259568,27.11113451
KCNMB2,25.46375502,26.67447416,25.57879362,23.67749267,28.29025113,25.605205
INHA,23.24689537,23.47931918,23.24689537,28.38312451,31.5321431,25.38015102
KIAA0319,23.9988132,25.38015102,29.02780209,28.75302424,22.72751624,25.38015102
SEMA6D,25.16835518,26.18192059,26.78179484,24.74838189,25.937107,26.44022724
THSD7A,24.32390052,25.605205,25.605205,25.605205,25.605205,28.50931004
DGKQ,22.82403844,21.61937021,25.55398198,26.32400696,29.85789386,29.06672088
ARMCX2,28.02090814,26.27554319,25.75306955,23.09541101,26.27554319,25.79495203
COL21A1,26.61807376,29.50214781,24.34751905,22.33081617,22.31148185,30.06474138
TAAR3,28.03237168,31.01600234,24.26289073,23.77479819,25.34397583,22.71168614
C22orf36,30.5593863,25.25623018,25.25623018,22.37137379,26.426378,25.25623018
PCDHA9,25.35013954,25.68899512,26.00063356,25.77170234,26.30706183,26.00063356
FLRT1,24.93635078,25.4752368,26.06801859,27.78919816,23.11724077,27.73296254
FXYD1,25.69786078,27.26033651,23.80956706,23.614701,25.07059745,29.65269158
HRC,29.57041275,25.09813423,24.67496761,23.24566942,26.22499655,26.29032618
REN,24.7650839,25.18879826,29.21483643,25.55630153,25.18879826,25.18879826
RUNX3,26.99123077,25.25623018,25.25623018,24.40330617,25.25623018,27.9197926
CR2,27.94796287,26.29032618,27.28289396,25.27892855,25.69038114,22.58287814
TMEM176A,28.52975178,25.3743505,24.01306197,26.95444644,26.42027608,23.76962778
CALB1,23.68042533,23.48433131,26.97419786,26.86778817,25.60912763,28.43095665
CD36,26.51934939,25.4752368,26.50876602,25.4752368,28.51854697,22.50349019
GRIN2A,26.58138363,30.24694168,24.28021932,26.58138363,22.86260347,24.44452256
C12orf32,29.38486809,27.46841662,25.25623018,23.15852423,25.17962521,24.54401618
EDG5,25.75014513,26.57429952,25.605205,25.75014513,27.36117497,23.9398989
ADRA2C,23.37820508,24.42750569,23.27257757,28.12450313,29.4689036,26.30310685
LAT,26.84202497,23.79301585,26.12779502,25.67560037,26.32915045,26.12779502
LASS4,27.43090947,21.13875767,21.64000203,30.08842928,27.25478324,27.29015749
