,TCGA-3X-AAV9-01,TCGA-3X-AAVA-01,TCGA-3X-AAVB-01,TCGA-3X-AAVC-01,TCGA-3X-AAVE-01,TCGA-4G-AAZO-01,TCGA-4G-AAZT-01,TCGA-W5-AA2G-01,TCGA-W5-AA2H-01,TCGA-W5-AA2I-01,TCGA-W5-AA2O-01,TCGA-W5-AA2Q-01,TCGA-W5-AA2T-01,TCGA-W5-AA2U-01,TCGA-W5-AA2W-01,TCGA-W5-AA2X-01,TCGA-W5-AA2Z-01,TCGA-W5-AA30-01,TCGA-W5-AA31-01,TCGA-W5-AA33-01,TCGA-W5-AA34-01,TCGA-W5-AA36-01,TCGA-W5-AA38-01,TCGA-W5-AA39-01,TCGA-W6-AA0S-01,TCGA-WD-A7RX-01,TCGA-YR-A95A-01,TCGA-ZD-A8I3-01,TCGA-ZH-A8Y1-01,TCGA-ZH-A8Y2-01,TCGA-ZH-A8Y4-01,TCGA-ZH-A8Y5-01,TCGA-ZH-A8Y6-01,TCGA-ZH-A8Y8-01,TCGA-ZU-A8S4-01,TCGA-W5-AA2I-11,TCGA-W5-AA2Q-11,TCGA-W5-AA2R-11,TCGA-W5-AA2U-11,TCGA-W5-AA2X-11,TCGA-W5-AA30-11,TCGA-W5-AA31-11,TCGA-W5-AA34-11,TCGA-ZU-A8S4-11
AC136443.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC090953.1,0,0,0,0,1,0,0,0,3,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0
PRELID3BP8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AL606490.9,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IGKV2OR2-1,21,2,3,67,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
FBXW7-AS1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AL136141.1,4,0,2,0,1,0,5,3,2,0,0,0,8,2,0,2,2,2,0,2,3,2,6,0,1,1,0,1,1,0,0,2,1,1,1,4,0,1,2,0,4,2,1,0
AC091810.1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AD001527.1,3,3,10,2,2,4,13,3,14,11,5,2,17,3,3,12,3,4,6,10,5,1,2,2,6,4,0,6,4,4,3,7,4,6,3,2,0,6,2,1,3,4,3,1
AL355353.1,21,33,32,44,21,12,99,17,22,100,30,27,110,55,3,63,19,104,19,15,52,30,34,7,40,62,5,46,19,80,24,69,20,38,29,28,18,24,29,13,20,13,24,12
DDX43P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC005070.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL356157.2,3,0,0,1,1,0,0,0,0,0,0,3,0,2,0,1,2,0,2,5,0,0,0,0,0,0,3,0,2,0,1,0,3,2,2,1,1,1,1,0,2,1,0,0
AC099777.1,0,0,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC137695.2,0,0,0,0,2,0,0,1,4,2,1,3,5,1,0,1,6,2,1,2,2,2,4,0,1,10,1,0,5,8,11,6,0,1,0,0,0,0,0,0,0,0,0,0
AP000436.1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
AC012443.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL158042.1,0,0,1,0,0,0,1,0,3,1,3,0,0,0,0,0,0,1,0,1,4,5,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
BUB1P1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AL591742.1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
AC091133.5,0,2,0,1,5,7,10,2,44,30,11,15,15,3,8,7,1,9,5,11,10,13,9,3,5,8,6,4,3,8,11,4,5,4,0,0,3,0,1,6,0,0,0,0
PDLIM1P1,2,1,0,3,3,1,3,0,5,0,0,2,3,3,1,0,1,1,3,2,1,1,6,1,0,2,0,0,0,4,2,3,0,0,0,0,1,2,0,1,0,0,2,1
