gene,HR,z,pvalue,lower,upper
NPTX2,1.11708499546159,1.21749274761251,0.223416794116241,0.934706536688382,1.33504885020554
PDAP1,1.55016523312855,0.996419304629872,0.319046457160711,0.654490132697064,3.67157903526826
BUD31,0.941287645742352,-0.191586213252858,0.848066342688959,0.506870493025162,1.74802527316025
PTCD1,1.62293786919368,1.21037333491214,0.226135669055338,0.740898844517959,3.5550431030522
CYP3A5,0.871775594254952,-0.800326935361889,0.423521401114078,0.622957708754908,1.21997476884515
ZKSCAN1,0.870430770760622,-0.541804643862256,0.587953091940202,0.526895421111688,1.43795086525591
EIF3B,1.86657033686381,1.62644530148278,0.103854960460241,0.87987236034973,3.95976164210345
SNX8,1.96288157264827,2.00625728048102,0.0448288053178485,1.01568344097523,3.79341034106325
NUDT1,1.95960307711793,1.85937257558182,0.0629743462730829,0.96425923477458,3.98237743685986
TAF6,1.76605177879145,1.33353747129924,0.182355487198215,0.765544851819702,4.07414259002424
WASL,0.697490293681183,-1.09379744384072,0.274043825462269,0.365742879119234,1.33014950544222
AIMP2,1.73058867497484,1.24900730912872,0.211662400512653,0.731839616239497,4.09234085651231
TFR2,1.26090173608427,0.960564044697882,0.336771414479511,0.78568449770133,2.02355168354702
MOSPD3,2.19893268837955,2.41414222373194,0.0157723044328005,1.15979473820542,4.16910407397251
PCOLCE,1.24517133079216,1.25436185826298,0.209710509445033,0.883958413588396,1.75398708716705
FBXO24,1.67198903320416,1.04587866836529,0.295617054233852,0.638111666537055,4.38096883939769
RBM28,0.81517646807849,-0.480589208693193,0.630808486584057,0.354252903909863,1.87581433144159
USP42,0.860869448213092,-0.349711728746035,0.726555050570727,0.37178555345903,1.99334320543572
IMPDH1,1.71579934133673,1.78399501931208,0.0744244744907298,0.948140701750923,3.10498998122846
AGFG2,1.44978878141076,1.17182438991216,0.241267568347396,0.7789516377165,2.69835431229875
LSM5,0.905817376465491,-0.288135992728654,0.77324264215396,0.462191277467615,1.77525011722948
SERPINE1,1.25100034213708,1.64064858302058,0.100870383850689,0.957350626271408,1.63472171332075
AP1S1,1.52364242426634,1.18908880843113,0.23440472187662,0.761094566192971,3.05019420731959
MOGAT3,0.969468014986731,-0.223339282175949,0.823271456514434,0.738507760696669,1.27265857192305
C1GALT1,0.855922083250994,-0.554214913176318,0.579431773298977,0.4937305163221,1.48381067885783
PLOD3,1.78287982242119,1.96230174306166,0.0497273644032148,1.00068910281516,3.1764715457122
RPA3,1.0702491547945,0.190368790046192,0.849020152377022,0.532009941915798,2.15302978965689
ZNHIT1,2.3242820201278,2.07827626319479,0.0376839214129952,1.04918511279369,5.14903122739188
CLDN15,1.1131865616735,0.806871197920938,0.41974069420213,0.857926594474589,1.44439434454107
GLCCI1,0.987737007742393,-0.0443332276066573,0.96463878590305,0.572447035488771,1.70430509021831
PHF14,0.879857186245117,-0.356537524753357,0.721438055264712,0.435345371175744,1.77824026495658
NRF1,0.694102506423824,-0.552087771697563,0.580888219504018,0.189872639671197,2.53737605511849
TMEM106B,0.912195553322983,-0.341491475557068,0.732733621135939,0.538289394376638,1.54582411653462
EZH2,0.70482584363548,-0.921627550216219,0.356722882890246,0.334971250821781,1.48305106374867
CEP41,0.67949414720997,-1.00907517071525,0.312938584723659,0.320799619827889,1.43925449893088
ZNF862,1.38598175912504,1.02527796335187,0.305232050616314,0.742622247362125,2.58670601837037
SFRP4,1.27762011540493,2.30516333289859,0.0211574275820783,1.03737006911177,1.57351094646962
MEST,1.14581865556384,0.410000596708955,0.681805509820894,0.597748791976965,2.19640827227087
MEOX2,1.12054929519467,0.57902363934965,0.562573222613765,0.762271695011022,1.64722202225168
ANKMY2,0.903171400387525,-0.274374004981733,0.783797217769196,0.436333685817369,1.86948339079048
ACTR3C,1.1306288059828,0.390194450433709,0.696392764963852,0.610226545171844,2.09483102141698
TSPAN13,0.985403932731179,-0.0642158604466341,0.948798348649933,0.629090200311791,1.54353208834093
RARRES2,1.34518833811588,1.62427150638614,0.104317875626672,0.940554700576579,1.92389838027888
AGR2,0.839001530831326,-1.24240375515953,0.214087630834087,0.636054126660514,1.10670387822673
AHR,0.676297567803824,-1.4982407198253,0.13407071960651,0.405441353678903,1.12810002252409
CHCHD3,0.675352141340383,-0.844028404203557,0.398653533457259,0.27143967825704,1.68030155996993
GIMAP2,1.11402274750182,0.444406960203134,0.656748382185575,0.691954624901172,1.79353766459578
TMEM176B,1.41081435789654,1.56094290491959,0.11853722283076,0.91578026597568,2.17344403062282
GLI3,1.11256142814119,0.549235601225018,0.582843775477581,0.760353231809145,1.62791828798101
PSMA2,0.73683449178944,-1.1484603285054,0.250778581178848,0.437545595116183,1.24084226729888
MRPL32,0.717159693597342,-0.848673445105237,0.396063026413773,0.332788863898044,1.54547847574072
COA1,1.23301893578443,0.459563505444776,0.645829559262864,0.504659553654722,3.0125966802625
BLVRA,1.01868641138527,0.0930968292140697,0.925826636418319,0.689864664476371,1.50423997368913
URGCP,1.73658775352245,1.26600699908878,0.205510576458931,0.738943332390089,4.08114789523825
TMEM248,0.940897936102387,-0.120410418973865,0.90415803830571,0.349047448775058,2.53629966146022
STAG3L4,1.8086364537259,1.69613480989872,0.0898603526736299,0.911947223861028,3.58701220438682
RHEB,1.14639168412876,0.346491556512972,0.72897332862119,0.529309699733367,2.48288269438777
PRKAG2,0.367982438658208,-2.55739792762901,0.0105458502732418,0.171033567818015,0.791722215050342
AEBP1,1.29937307325709,1.9417865394531,0.0521629470728355,0.997551474680926,1.69251454822983
POLD2,1.78345254699767,1.65386120907888,0.098155715866873,0.898453443450874,3.54019789292108
BCL7B,1.5272568679911,0.876927340051022,0.38052610513067,0.592736937265955,3.93515806790257
YKT6,1.91060007609658,1.55941724130154,0.118897658182044,0.846797680233746,4.31082032460529
TBL2,1.42480544390824,0.727367866249095,0.467000633894972,0.548840471118353,3.69883538080558
CLIP2,1.16145259534512,0.494465513799021,0.620977455854006,0.641724144567578,2.10210593235962
EIF4H,0.792333764269,-0.571060789676459,0.567958436559295,0.356406998677059,1.76144911949254
LIMK1,2.01719620536623,1.98729843983988,0.0468893344679033,1.00969843401619,4.02999588179877
SPATA6L,1.03252124608979,0.0979941818007087,0.921936913382807,0.544386897010916,1.95835008057777
SLC1A1,0.86644771572195,-0.84769860660372,0.396605842567126,0.622008717678527,1.2069471419656
FKTN,0.871339702132287,-0.439537265672552,0.660272285912287,0.471492097091788,1.61027699338973
FSD1L,0.614208888628203,-1.69806938177894,0.0894946675997395,0.349932287786988,1.07807302165708
SPIN1,1.14039033063583,0.293821033037374,0.768894662087215,0.474757683129645,2.73927132181361
NMRK1,0.971930759468471,-0.0761472381631276,0.939301958588261,0.467067171943355,2.02251294448826
TMEM245,1.30714512016314,0.735615098014069,0.461964971699747,0.640312620812786,2.66842837331155
PRUNE2,1.17589384983957,1.06161741073493,0.288409406405501,0.871874759804732,1.58592312776687
MEGF9,0.813676760490231,-0.725263826957747,0.468290192734457,0.466074990530471,1.42052219924594
TRIM14,0.897862586217316,-0.301261296531855,0.763215251617703,0.445450905706897,1.80975549359258
CORO2A,0.739917036731916,-1.00346816558874,0.31563502924219,0.410839908843279,1.33258042722179
TGFBR1,1.31335529301029,1.02629822261492,0.304751034826215,0.780374035007505,2.21035304648693
SEC61B,0.973974411919031,-0.0554930942607493,0.955745631456025,0.383758203076954,2.47193714027996
C5,0.789438801760923,-0.768248217498708,0.442339732305077,0.431873071301186,1.44304811561427
ASPN,1.22430166718466,1.70069085029901,0.0890010541393214,0.969619323085872,1.54587943596333
ECM2,1.19815281735847,0.937990514384581,0.348249284850683,0.82121750422758,1.74809982295044
TLE4,1.36551472671486,1.12228320603746,0.261742044368946,0.792526403326274,2.35276763152521
LHX6,1.43419693567271,1.39242610270835,0.163793404653123,0.863312330538962,2.3825917660748
PTGR1,0.708381956220073,-1.18178778249403,0.237289916761871,0.399889552180985,1.25485898083945
SUSD1,1.70958534980081,1.50153721648182,0.133216668257954,0.848979661348573,3.44258196198834
AMBP,0.9466931124389,-0.278076934084345,0.780953301641806,0.643465297419065,1.39281458181819
AKNA,0.981106642686164,-0.0546574173274025,0.956411394669151,0.495070965839184,1.9443076058627
TNFSF8,0.952253324212058,-0.174640673634351,0.861361986747827,0.549914559784794,1.64895869246993
DNM1,1.28916484674024,1.25667447885599,0.208871533146546,0.867494255895075,1.91580058401194
ENG,1.37903101217578,1.48474716180875,0.137610813453185,0.902250481002261,2.10775895672567
AK1,1.13864723599863,0.490036484331716,0.624108081849776,0.677412722369425,1.91392556595692
CDC37L1,1.10011470371609,0.256752947482417,0.797369495062509,0.531024693124742,2.27908866951325
RLN2,0.872551786610561,-0.544200578585774,0.586303453730973,0.534008262982375,1.42572067343162
PLGRKT,0.663109454018455,-1.42908361711481,0.152980201667975,0.377478629335285,1.16487163467495
TBC1D13,2.0105188006099,1.56801466316029,0.116877710354511,0.839814710123944,4.81318771733505
RIC1,0.881854464417448,-0.363000060195347,0.716604839362031,0.447276236682206,1.73867340277575
KDM4C,1.06335083491419,0.129043670112097,0.897323093932428,0.418314252436115,2.70302766766328
DOCK8,0.833236650015563,-0.858575268255422,0.390574887707735,0.54941133386574,1.26368582541623
