"gene","cancer","value","type"
"DNM3OS","KICH",0,"EA"
"BC070363","KICH",0,"EA"
"MIR4666A","UCEC",0,"EA"
"LOC284930","UCEC",0.603494623655914,"EA"
"LINC00898","UCEC",0.479717813051146,"EA"
"LINC00941","UCEC",0,"EA"
"RP11-539E17.5","UCEC",0,"EA"
"LINC00668","UCEC",0.242494226327945,"EA"
"RP11-608O21.1","UCEC",0,"EA"
"LINC00884","UCEC",0,"EA"
"BC005081","UCEC",0.234338747099768,"EA"
"LINC00944","UCEC",0.963531669865643,"EA"
"LINC00460","UCEC",0,"EA"
"AK023033","UCEC",0,"EA"
"CTD-3010D24.3","UCEC",0.471631205673759,"EA"
"LOC102724297","UCEC",0,"EA"
"MINCR","UCEC",0.767295597484277,"EA"
"RP11-3J1.1","UCEC",0,"EA"
"RP11-278L15.2","UCEC",0,"EA"
"SNHG12","UCEC",0,"EA"
"RP11-96L14.7","UCEC",0,"EA"
"AC098973.2","UCEC",0,"EA"
"AF186192.1","UCEC",0.109048723897912,"EA"
"RP11-259O2.1","UCEC",0,"EA"
"CTB-41I6.2","UCEC",0,"EA"
"ZNF667-AS1","UCEC",0,"EA"
"LINC00461","UCEC",0,"EA"
"SNHG18","UCEC",0,"EA"
"DNM3OS","UCEC",0,"EA"
"BC070363","UCEC",0,"EA"
"MIR4666A","KIRC",0.169278996865204,"EA"
"LOC284930","KIRC",0,"EA"
"LINC00898","KIRC",0,"EA"
"LINC00941","KIRC",0.803001876172608,"EA"
"RP11-539E17.5","KIRC",0,"EA"
"LINC00668","KIRC",0,"EA"
"RP11-608O21.1","KIRC",0,"EA"
"LINC00884","KIRC",0.838842975206612,"EA"
"BC005081","KIRC",0,"EA"
"LINC00944","KIRC",0.968503937007874,"EA"
"LINC00460","KIRC",0,"EA"
"AK023033","KIRC",0,"EA"
"CTD-3010D24.3","KIRC",0,"EA"
"LOC102724297","KIRC",0.23125,"EA"
"MINCR","KIRC",0,"EA"
"RP11-3J1.1","KIRC",0,"EA"
"RP11-278L15.2","KIRC",0,"EA"
"SNHG12","KIRC",0.523148148148148,"EA"
"RP11-96L14.7","KIRC",0,"EA"
"AC098973.2","KIRC",0,"EA"
"AF186192.1","KIRC",0,"EA"
"RP11-259O2.1","KIRC",0,"EA"
"CTB-41I6.2","KIRC",0,"EA"
"ZNF667-AS1","KIRC",0,"EA"
"LINC00461","KIRC",0,"EA"
"SNHG18","KIRC",0,"EA"
"DNM3OS","KIRC",0.00313479623824451,"EA"
"BC070363","KIRC",0,"EA"
"MIR4666A","GBM",0.654676258992806,"EA"
"LOC284930","GBM",0,"EA"
"LINC00898","GBM",0,"EA"
"LINC00941","GBM",0.838095238095238,"EA"
"RP11-539E17.5","GBM",0,"EA"
"LINC00668","GBM",0,"EA"
"RP11-608O21.1","GBM",0,"EA"
"LINC00884","GBM",0,"EA"
"BC005081","GBM",0.869918699186992,"EA"
"LINC00944","GBM",0,"EA"
"LINC00460","GBM",0,"EA"
"AK023033","GBM",0,"EA"
"CTD-3010D24.3","GBM",0,"EA"
"LOC102724297","GBM",0,"EA"
"MINCR","GBM",0,"EA"
"RP11-3J1.1","GBM",0,"EA"
"RP11-278L15.2","GBM",0,"EA"
"SNHG12","GBM",0,"EA"
"RP11-96L14.7","GBM",0,"EA"
"AC098973.2","GBM",0,"EA"
"AF186192.1","GBM",0,"EA"
"RP11-259O2.1","GBM",0.536842105263158,"EA"
"CTB-41I6.2","GBM",0,"EA"
"ZNF667-AS1","GBM",0,"EA"
"LINC00461","GBM",0.974169741697417,"EA"
"SNHG18","GBM",0.00719424460431655,"EA"
"DNM3OS","GBM",0,"EA"
"BC070363","GBM",0,"EA"
"MIR4666A","CESC",0.897666068222621,"EA"
"LOC284930","CESC",0.647377938517179,"EA"
"LINC00898","CESC",0.647377938517179,"EA"
"LINC00941","CESC",0.877984084880637,"EA"
"RP11-539E17.5","CESC",0.970731707317073,"EA"
"LINC00668","CESC",0,"EA"
"RP11-608O21.1","CESC",0.870588235294118,"EA"
"LINC00884","CESC",0.875808538163001,"EA"
"BC005081","CESC",0,"EA"
"LINC00944","CESC",0.984815618221258,"EA"
"LINC00460","CESC",0,"EA"
"AK023033","CESC",0,"EA"
"CTD-3010D24.3","CESC",0.784702549575071,"EA"
"LOC102724297","CESC",0.639925373134328,"EA"
"MINCR","CESC",0,"EA"
"RP11-3J1.1","CESC",0.817966903073286,"EA"
"RP11-278L15.2","CESC",0,"EA"
"SNHG12","CESC",0,"EA"
"RP11-96L14.7","CESC",0.635555555555556,"EA"
"AC098973.2","CESC",0.80078125,"EA"
"AF186192.1","CESC",0,"EA"
"RP11-259O2.1","CESC",0,"EA"
"CTB-41I6.2","CESC",0,"EA"
"ZNF667-AS1","CESC",0,"EA"
"LINC00461","CESC",0,"EA"
"SNHG18","CESC",0.0325732899022801,"EA"
"DNM3OS","CESC",0.00325732899022801,"EA"
"BC070363","CESC",0,"EA"
"MIR4666A","STAD",0.615189873417721,"EA"
"LOC284930","STAD",0.600301659125189,"EA"
"LINC00898","STAD",0.600301659125189,"EA"
"LINC00941","STAD",0.919137466307278,"EA"
"RP11-539E17.5","STAD",0.889168765743073,"EA"
"LINC00668","STAD",0.792114695340502,"EA"
"RP11-608O21.1","STAD",0.795501022494888,"EA"
"LINC00884","STAD",0.925630810092961,"EA"
"BC005081","STAD",0.892005610098177,"EA"
"LINC00944","STAD",0.978640776699029,"EA"
"LINC00460","STAD",0,"EA"
"AK023033","STAD",0.810240963855422,"EA"
"CTD-3010D24.3","STAD",0.808446455505279,"EA"
"LOC102724297","STAD",0.623693379790941,"EA"
"MINCR","STAD",0.726161369193154,"EA"
"RP11-3J1.1","STAD",0.795501022494888,"EA"
"RP11-278L15.2","STAD",0,"EA"
"SNHG12","STAD",0.803439803439803,"EA"
"RP11-96L14.7","STAD",0.767550702028081,"EA"
"AC098973.2","STAD",0,"EA"
"AF186192.1","STAD",0,"EA"
"RP11-259O2.1","STAD",0,"EA"
"CTB-41I6.2","STAD",0,"EA"
"ZNF667-AS1","STAD",0,"EA"
"LINC00461","STAD",0,"EA"
"SNHG18","STAD",0.020253164556962,"EA"
"DNM3OS","STAD",0,"EA"
"BC070363","STAD",0,"EA"
"MIR4666A","THCA",0.0335305719921105,"EA"
"LOC284930","THCA",0,"EA"
"LINC00898","THCA",0,"EA"
"LINC00941","THCA",0,"EA"
"RP11-539E17.5","THCA",0,"EA"
"LINC00668","THCA",0,"EA"
"RP11-608O21.1","THCA",0.157790927021696,"EA"
"LINC00884","THCA",0.0927021696252465,"EA"
"BC005081","THCA",0.00591715976331361,"EA"
"LINC00944","THCA",0,"EA"
"LINC00460","THCA",0,"EA"
"AK023033","THCA",0,"EA"
"CTD-3010D24.3","THCA",0,"EA"
"LOC102724297","THCA",0.0670611439842209,"EA"
"MINCR","THCA",0,"EA"
"RP11-3J1.1","THCA",0,"EA"
"RP11-278L15.2","THCA",0.862142099681866,"EA"
"SNHG12","THCA",0,"EA"
"RP11-96L14.7","THCA",0,"EA"
"AC098973.2","THCA",0,"EA"
"AF186192.1","THCA",0,"EA"
"RP11-259O2.1","THCA",0,"EA"
"CTB-41I6.2","THCA",0,"EA"
"ZNF667-AS1","THCA",0,"EA"
"LINC00461","THCA",0,"EA"
"SNHG18","THCA",0,"EA"
"DNM3OS","THCA",0,"EA"
"BC070363","THCA",0,"EA"
"MIR4666A","HNSC",0.5625,"EA"
"LOC284930","HNSC",0.895112016293279,"EA"
"LINC00898","HNSC",0.824232081911263,"EA"
"LINC00941","HNSC",0.94613124387855,"EA"
"RP11-539E17.5","HNSC",0.0113636363636364,"EA"
"LINC00668","HNSC",0.653846153846154,"EA"
"RP11-608O21.1","HNSC",0,"EA"
"LINC00884","HNSC",0.518934081346424,"EA"
"BC005081","HNSC",0,"EA"
"LINC00944","HNSC",0,"EA"
"LINC00460","HNSC",0.849300322927879,"EA"
"AK023033","HNSC",0.829946524064171,"EA"
"CTD-3010D24.3","HNSC",0.798764342453663,"EA"
"LOC102724297","HNSC",0.704294478527607,"EA"
"MINCR","HNSC",0,"EA"
"RP11-3J1.1","HNSC",0,"EA"
"RP11-278L15.2","HNSC",0,"EA"
"SNHG12","HNSC",0,"EA"
"RP11-96L14.7","HNSC",0,"EA"
"AC098973.2","HNSC",0.817469204927212,"EA"
"AF186192.1","HNSC",0,"EA"
"RP11-259O2.1","HNSC",0,"EA"
"CTB-41I6.2","HNSC",0,"EA"
"ZNF667-AS1","HNSC",0,"EA"
"LINC00461","HNSC",0,"EA"
"SNHG18","HNSC",0.0170454545454545,"EA"
"DNM3OS","HNSC",0.00189393939393939,"EA"
"BC070363","HNSC",0.357954545454545,"EA"
"MIR4666A","READ",0,"EA"
"LOC284930","READ",0,"EA"
"LINC00898","READ",0,"EA"
"LINC00941","READ",0.71,"EA"
"RP11-539E17.5","READ",0.860869565217391,"EA"
"LINC00668","READ",0.946236559139785,"EA"
"RP11-608O21.1","READ",0,"EA"
"LINC00884","READ",0,"EA"
"BC005081","READ",0,"EA"
"LINC00944","READ",0,"EA"
"LINC00460","READ",0.967136150234742,"EA"
"AK023033","READ",0.789719626168224,"EA"
"CTD-3010D24.3","READ",0,"EA"
"LOC102724297","READ",0.0102040816326531,"EA"
"MINCR","READ",0.86046511627907,"EA"
"RP11-3J1.1","READ",0,"EA"
"RP11-278L15.2","READ",0.8203125,"EA"
"SNHG12","READ",0,"EA"
"RP11-96L14.7","READ",0.923076923076923,"EA"
"AC098973.2","READ",0,"EA"
"AF186192.1","READ",0,"EA"
"RP11-259O2.1","READ",0,"EA"
"CTB-41I6.2","READ",0.0204081632653061,"EA"
"ZNF667-AS1","READ",0.0306122448979592,"EA"
"LINC00461","READ",0,"EA"
"SNHG18","READ",0,"EA"
"DNM3OS","READ",0,"EA"
"BC070363","READ",0,"EA"
"MIR4666A","KIRP",0.349090909090909,"EA"
"LOC284930","KIRP",0,"EA"
"LINC00898","KIRP",0,"EA"
"LINC00941","KIRP",0.480662983425414,"EA"
"RP11-539E17.5","KIRP",0,"EA"
"LINC00668","KIRP",0,"EA"
"RP11-608O21.1","KIRP",0.593350383631714,"EA"
"LINC00884","KIRP",0.631578947368421,"EA"
"BC005081","KIRP",0.934108527131783,"EA"
"LINC00944","KIRP",0.12,"EA"
"LINC00460","KIRP",0,"EA"
"AK023033","KIRP",0,"EA"
"CTD-3010D24.3","KIRP",0,"EA"
"LOC102724297","KIRP",0.0981818181818182,"EA"
"MINCR","KIRP",0,"EA"
"RP11-3J1.1","KIRP",0,"EA"
"RP11-278L15.2","KIRP",0,"EA"
"SNHG12","KIRP",0,"EA"
"RP11-96L14.7","KIRP",0,"EA"
"AC098973.2","KIRP",0,"EA"
"AF186192.1","KIRP",0,"EA"
"RP11-259O2.1","KIRP",0,"EA"
"CTB-41I6.2","KIRP",0,"EA"
"ZNF667-AS1","KIRP",0,"EA"
"LINC00461","KIRP",0,"EA"
"SNHG18","KIRP",0,"EA"
"DNM3OS","KIRP",0,"EA"
"BC070363","KIRP",0.407272727272727,"EA"
"MIR4666A","BLCA",0,"ES"
"LINC00941","BLCA",0,"ES"
"RP11-539E17.5","BLCA",0.029126213592233,"ES"
"RP11-608O21.1","BLCA",0,"ES"
"LINC00884","BLCA",0,"ES"
"BC005081","BLCA",0.00485436893203883,"ES"
"LINC00944","BLCA",0,"ES"
"LINC00460","BLCA",0,"ES"
"RP11-278L15.2","BLCA",0,"ES"
"SNHG12","BLCA",0,"ES"
"AF186192.1","BLCA",0,"ES"
"RP11-259O2.1","BLCA",0.736600306278714,"ES"
"CTB-41I6.2","BLCA",0.834733893557423,"ES"
"ZNF667-AS1","BLCA",0.834736842105263,"ES"
"AK125737","BLCA",0,"ES"
"HHIP-AS1","BLCA",0.729792147806005,"ES"
"CTD-2298J14.2","BLCA",0.745664739884393,"ES"
"LINC00461","BLCA",0.545774647887324,"ES"
"LINC01197","BLCA",0,"ES"
"LINC01158","BLCA",0.81994459833795,"ES"
"DPP10-AS1","BLCA",0.6797583081571,"ES"
"SNHG18","BLCA",0.150485436893204,"ES"
"DIO3OS","BLCA",0.72239263803681,"ES"
"RP11-74E22.3","BLCA",0,"ES"
"LINC01018","BLCA",0,"ES"
"CERS3-AS1","BLCA",0.800450958286358,"ES"
"RP3-412A9.16","BLCA",0.799323562570462,"ES"
"DNM3OS","BLCA",0.563106796116505,"ES"
"BC070363","BLCA",0.16504854368932,"ES"
"FGF14-IT1","BLCA",0.299043062200957,"ES"
"MIR4666A","PAAD",0.00543478260869565,"ES"
"LINC00941","PAAD",0.130434782608696,"ES"
"RP11-539E17.5","PAAD",0,"ES"
"RP11-608O21.1","PAAD",0,"ES"
"LINC00884","PAAD",0,"ES"
"BC005081","PAAD",0.00543478260869565,"ES"
"LINC00944","PAAD",0.103260869565217,"ES"
"LINC00460","PAAD",0,"ES"
"RP11-278L15.2","PAAD",0.0869565217391304,"ES"
"SNHG12","PAAD",0,"ES"
"AF186192.1","PAAD",0.912371134020619,"ES"
"RP11-259O2.1","PAAD",0.801948051948052,"ES"
"CTB-41I6.2","PAAD",0.794117647058823,"ES"
"ZNF667-AS1","PAAD",0.872727272727273,"ES"
"AK125737","PAAD",0,"ES"
"HHIP-AS1","PAAD",0.70979020979021,"ES"
