id,GSH1,GSH2,GSH3,GSH4,GSH5,GSL6,GSL7,GSL8,GSL9,GSL10
K19353,1.92E-06,8.75E-06,1.02E-05,1.64E-05,2.06E-05,5.34E-05,1.11E-06,4.09E-08,1.81E-05,2.60E-05
K19355,2.19E-05,3.02E-05,1.52E-05,3.49E-05,7.24E-07,7.51E-05,2.48E-05,2.46E-05,5.02E-05,7.73E-05
K19507,5.10E-07,5.30E-07,9.98E-07,2.27E-06,6.79E-08,2.87E-06,1.29E-06,1.46E-05,6.69E-06,3.08E-06
K19518,4.02E-07,3.89E-07,4.20E-07,5.31E-07,3.14E-07,4.61E-07,5.16E-07,6.69E-07,9.87E-07,6.42E-07
K19563,0,6.87E-08,2.47E-07,1.56E-07,0,1.79E-06,0,0,5.23E-07,2.01E-06
K19572,5.16E-07,1.63E-05,0,1.14E-06,2.23E-08,0,0,0,2.30E-07,1.66E-07
K19609,2.03E-07,8.75E-06,6.09E-05,4.52E-06,1.90E-05,3.39E-05,4.88E-06,1.54E-07,2.37E-05,2.69E-05
K19610,5.24E-07,6.32E-06,2.60E-05,3.80E-06,1.60E-05,2.81E-05,3.81E-06,0,2.19E-05,2.60E-05
K19611,2.63E-05,2.40E-05,2.03E-05,1.12E-05,7.83E-05,3.35E-05,2.18E-05,1.33E-06,1.21E-05,2.06E-06
K19613,0,1.18E-07,4.73E-08,0,1.77E-07,9.34E-08,0,0,3.30E-06,9.40E-07
K19615,5.06E-08,5.02E-06,4.40E-05,1.06E-05,1.26E-05,1.55E-05,6.37E-06,2.34E-07,7.10E-05,1.99E-05
K19620,2.27E-07,4.14E-05,1.27E-06,4.81E-06,2.44E-06,2.04E-06,1.86E-06,5.25E-06,3.63E-06,2.08E-06
K19621,2.28E-07,5.04E-05,1.06E-06,5.61E-06,8.27E-06,2.88E-06,1.39E-06,1.61E-05,3.85E-06,2.78E-06
K19622,0,6.92E-05,0,1.97E-06,1.21E-05,5.07E-07,1.12E-07,3.21E-07,8.53E-08,1.23E-07
K19624,0,0,0,1.22E-06,1.07E-05,1.81E-06,0,2.72E-07,7.24E-07,2.61E-07
K19641,0,0,0,0,0,6.16E-06,0,0,0,0
K19661,0,0,0,2.52E-07,0,1.56E-05,0,0,0,0
K19664,0,3.03E-06,8.86E-08,1.57E-06,6.63E-08,0,1.35E-06,3.12E-07,2.28E-06,1.02E-06
K19666,0,0,6.18E-08,0,0,0,5.97E-07,3.93E-06,2.61E-07,1.89E-07
K19668,1.05E-05,3.23E-05,5.59E-06,2.16E-05,3.03E-06,4.00E-06,8.51E-06,1.91E-05,1.04E-05,3.52E-06
K19669,0,0,0,0,6.15E-07,0,0,0,0,0
K19670,7.03E-05,2.20E-05,1.99E-05,1.24E-05,4.67E-05,9.53E-06,2.71E-05,1.40E-05,1.24E-05,2.91E-05
K19696,1.28E-05,2.80E-06,1.78E-05,3.95E-05,1.85E-05,3.72E-05,2.18E-05,6.42E-05,3.01E-05,3.95E-05
K19710,1.55E-05,1.00E-05,1.53E-05,4.56E-05,1.85E-05,5.26E-05,5.92E-05,7.29E-05,4.41E-05,5.50E-05
K19719,0,0,0,3.71E-07,0,0,0,0,0,9.28E-06
K19731,1.22E-05,6.60E-06,1.34E-05,1.58E-05,3.27E-05,1.03E-05,1.73E-05,6.03E-06,2.21E-05,1.49E-05
K19732,1.07E-05,7.76E-06,2.74E-05,5.02E-06,4.00E-05,1.07E-05,1.17E-05,4.22E-07,5.03E-06,6.85E-06
K19733,0,6.90E-07,0,0,0,5.48E-06,0,0,5.83E-07,4.21E-07
K19734,0,0,2.36E-07,0,1.77E-07,3.23E-06,0,0,0,0
K19743,2.73E-07,0,2.53E-07,1.17E-07,3.03E-06,2.72E-07,8.80E-07,3.29E-06,5.62E-06,4.78E-07
K19744,3.20E-07,2.70E-06,2.00E-07,7.57E-06,8.14E-06,5.05E-06,4.64E-06,4.60E-07,1.14E-05,1.91E-05
K19745,5.96E-05,2.20E-05,3.02E-05,2.85E-05,9.20E-05,3.18E-05,5.00E-05,2.56E-05,3.12E-05,3.85E-05
K19746,4.74E-05,2.62E-05,5.77E-05,3.42E-05,4.90E-05,4.45E-05,3.79E-05,6.05E-05,4.19E-05,4.98E-05
K19794,7.22E-07,2.91E-06,1.09E-06,5.39E-06,7.49E-06,9.71E-06,3.05E-06,1.60E-05,6.98E-06,4.57E-06
K19795,4.97E-08,8.85E-07,0,8.75E-08,1.04E-07,2.73E-07,6.38E-08,0,0,0
K19813,0,0,8.33E-08,2.30E-06,6.96E-06,0,0,1.35E-07,5.33E-07,8.63E-08
K19837,4.33E-06,1.33E-06,2.76E-06,3.67E-06,3.80E-07,1.80E-06,2.09E-06,7.95E-06,2.69E-06,1.88E-06
K19849,0,7.66E-08,0,0,0,1.49E-05,0,0,1.94E-07,0
K19956,0,0,0,0,0,1.64E-06,0,0,0,0
K19969,3.79E-06,1.93E-06,1.68E-06,1.90E-06,8.25E-07,1.01E-07,1.46E-06,3.29E-06,1.37E-06,0
