id,GS1,GS2,GS3,GS4,GS5,GS6,GS7,GS8,GS9,GS10,GSH_mean,GSL_mean,Mean_abundance,log2fc,Pvalue,FDR
K01681,0.000807234,0.000650045,0.000727585,0.000740316,0.000662868,0.000853648,0.000925589,0.000829898,0.000877744,0.000905636,0.0007176096,0.000878503,0.0007980563,0.291848022505349,0.00793650793650794,0.0907652866415753
K01710,0.000293045,0.000238444,0.000332183,0.000346769,0.000202596,0.000364661,0.000377615,0.000418563,0.000387724,0.000364516,0.0002826074,0.0003826158,0.0003326116,0.43709720780101,0.00793650793650794,0.0907652866415753
K01866,0.000255007,0.000260674,0.000266221,0.000314438,0.000292549,0.000388796,0.000332689,0.000338396,0.000341637,0.000324046,0.0002777778,0.0003451128,0.0003114453,0.31313667959964,0.00793650793650794,0.0907652866415753
K01867,0.000231447,0.000256483,0.000277795,0.000284914,0.000265699,0.000362256,0.000375978,0.000362615,0.000344766,0.000337268,0.0002632676,0.0003565766,0.0003099221,0.437682048867908,0.00793650793650794,0.0907652866415753
K01868,0.000296526,0.000362608,0.0003669,0.000497695,0.000422597,0.000558817,0.000510367,0.000448573,0.000499895,0.000538388,0.0003892652,0.000511208,0.0004502366,0.393157038837293,0.0158730158730159,0.0994828565450034
K01869,0.00062154,0.000489091,0.000608819,0.000665457,0.000621095,0.000663353,0.000644135,0.000708968,0.000715324,0.000666323,0.0006012004,0.0006796206,0.0006404105,0.176883613625819,0.0317460317460317,0.135276304290389
K01870,0.000458036,0.000547747,0.000504017,0.00069931,0.000525098,0.000799634,0.000715197,0.000701253,0.000770542,0.000714095,0.0005468416,0.0007401442,0.0006434929,0.436683376355676,0.00793650793650794,0.0907652866415753
K01872,0.000420261,0.000369359,0.000420149,0.000504826,0.000526432,0.000509015,0.000548859,0.000699343,0.000613332,0.000584071,0.0004482054,0.000590924,0.0005195647,0.398812563626049,0.0158730158730159,0.0994828565450034
K01874,0.000272166,0.000317823,0.000311064,0.000411823,0.000342531,0.000413426,0.000429291,0.000377728,0.000437936,0.000437669,0.0003310814,0.00041921,0.0003751457,0.340487168828984,0.0158730158730159,0.0994828565450034
K01875,0.0002721,0.00026662,0.000307672,0.000330587,0.00026175,0.000325254,0.00033391,0.000345835,0.000387002,0.000322439,0.0002877458,0.000342888,0.0003153169,0.252942544752672,0.0317460317460317,0.135276304290389
K01881,0.000225658,0.000233375,0.000270011,0.000379911,0.000272154,0.000429539,0.000379048,0.000374886,0.00048744,0.000380253,0.0002762218,0.0004102332,0.0003432275,0.570617068656326,0.0317460317460317,0.135276304290389
K01885,0.000376645,0.000342137,0.000319846,0.000381837,0.000414651,0.00041544,0.000454953,0.000455638,0.000441447,0.000388315,0.0003670232,0.0004311586,0.0003990909,0.232347396130459,0.0158730158730159,0.0994828565450034
K01895,0.000621858,0.000676019,0.000754119,0.000745282,0.000670369,0.000955732,0.000719034,0.000816905,0.000861313,0.000816923,0.0006935294,0.0008339814,0.0007637554,0.266058165729141,0.0317460317460317,0.135276304290389
K01903,0.000312561,0.000308369,0.000359884,0.000442599,0.000327559,0.000470418,0.000457953,0.000402358,0.000481117,0.000395389,0.0003501944,0.000441447,0.0003958207,0.334084225069323,0.0317460317460317,0.135276304290389
K01915,0.000601707,0.000791842,0.0007214,0.000892403,0.000676574,0.001159908,0.001003233,0.000819292,0.001047568,0.001083366,0.0007367852,0.0010226734,0.0008797293,0.473029493893515,0.0158730158730159,0.0994828565450034
K01937,0.000380797,0.000320077,0.000346613,0.000488399,0.000289953,0.000501001,0.00048301,0.000497609,0.000571511,0.000473891,0.0003651678,0.0005054044,0.0004352861,0.468878668251757,0.0317460317460317,0.135276304290389
K01939,0.000265772,0.000307063,0.000350098,0.000387886,0.000347609,0.000425789,0.000387999,0.000427119,0.000449379,0.000369289,0.0003316856,0.000411915,0.0003718003,0.312530283859239,0.0158730158730159,0.0994828565450034
K01953,0.000266156,0.000380728,0.000298149,0.000371363,0.000349254,0.000380029,0.00042031,0.00058238,0.000478874,0.000375486,0.00033313,0.0004474158,0.0003902729,0.425530922826638,0.0317460317460317,0.135276304290389
