,TCGA-K4-A54R-11,TCGA-BL-A13J-11,TCGA-GD-A3OP-11,TCGA-CU-A0YN-11,TCGA-BT-A20R-11,TCGA-BT-A20Q-11,TCGA-K4-A3WV-11,TCGA-GD-A3OQ-11,TCGA-BT-A2LA-11,TCGA-BT-A2LB-11,TCGA-CU-A0YR-11,TCGA-BT-A20W-11,TCGA-GD-A2C5-11,TCGA-BT-A20U-11,TCGA-GC-A3WC-11,TCGA-BT-A20N-11,TCGA-GC-A3BM-11
ENSG00000131023,1441,1278,1706,1379,2620,1172,1358,3492,1324,1485,1715,1592,1537,818,1457,1156,1573
ENSG00000131037,6175,12,7685,19,14,16,1802,956,2264,15338,82,525,4644,5746,1669,8,1425
ENSG00000131042,259,157,373,126,245,70,62,270,166,187,93,273,231,63,247,257,155
ENSG00000131043,1675,2156,2931,2144,3415,1990,2304,2899,2561,1732,2555,2142,3798,1051,2277,1660,2052
ENSG00000131044,17,3,18,0,5,0,14,23,6,5,2,5,11,3,9,4,11
ENSG00000131050,0,0,0,0,0,0,0,0,2,0,0,0,157,0,0,0,0
ENSG00000131051,12294,4470,15331,3367,11177,3918,9313,13885,10530,11688,6144,5808,12744,5408,8382,4782,11702
ENSG00000131055,60,44,183,70,146,43,123,184,215,181,169,336,149,32,205,47,203
ENSG00000131059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000131061,324,165,502,152,213,124,356,566,423,200,218,268,536,244,335,147,260
ENSG00000131067,1474,417,2058,380,789,336,1389,2046,1904,477,766,690,4888,130,874,329,1417
ENSG00000131068,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
ENSG00000131069,882,1323,3203,990,2122,932,1621,2111,1710,2161,1643,1259,3008,2226,1629,942,1320
ENSG00000131080,109,154,275,227,215,122,219,458,171,97,275,344,132,16,329,123,421
ENSG00000131089,582,3286,1538,3237,4732,3261,1433,2665,1048,1256,2935,1319,1136,850,3073,2306,1007
ENSG00000131094,207,12,112,680,125,15,120,817,473,81,128,660,316,23,44,25,259
ENSG00000131095,3,3,9,8,30,6,17,10,7,8,11,13,7,8,10,14,8
ENSG00000131096,0,0,3,0,0,0,0,1,4,1,3,0,2,5,1,0,8
ENSG00000131097,49,19,89,30,47,5,80,102,263,103,65,265,124,25,34,10,100
ENSG00000131100,3264,5003,8231,4157,8266,4430,5294,6817,8575,6191,5515,4300,6450,3625,5440,3557,4381
ENSG00000131115,193,339,536,299,679,261,509,720,357,311,429,373,705,167,485,233,299
ENSG00000131116,556,649,1426,864,1480,697,1021,1196,1787,797,922,996,1656,599,1025,670,933
ENSG00000131126,0,1,0,0,3,2,0,1,0,15,1,1,1,57,5,1,1
ENSG00000131127,205,161,254,98,367,77,273,548,104,152,265,258,269,59,192,127,164
ENSG00000131142,1,0,2,0,0,0,0,0,1,1,1,1,4,0,1,0,0
ENSG00000131143,12614,8286,25030,8170,16971,7046,19986,18592,37834,18772,12734,12446,16320,16189,14827,7072,13517
ENSG00000131148,1103,541,1622,641,968,559,892,1192,1577,1307,748,1083,1443,633,699,482,719
ENSG00000131149,1564,2109,2673,1531,4194,1718,1676,4585,2435,4150,2200,2411,1102,1614,2330,1210,3268
ENSG00000131152,4,1,9,0,2,3,2,2,14,9,3,2,1,1,4,2,2
ENSG00000131153,30,20,256,485,53,28,83,283,503,367,135,655,487,305,124,39,133
ENSG00000131165,4288,2407,9842,3006,3881,2466,5559,6917,7026,7712,3650,4157,9044,4275,3363,1875,4728
ENSG00000131171,4741,12386,8997,14049,30556,11252,5734,12337,4589,4721,13176,7580,7737,3548,14552,9970,5751
ENSG00000131174,2426,2591,7044,3250,7566,2642,4225,4979,8067,6825,3492,3664,4072,6524,3626,2472,2787
ENSG00000131183,1,0,40,0,1,0,2,22,7,11,0,1,3,23,0,1,7
ENSG00000131187,29,0,562,4,7,1,49,77,237,644,9,94,308,429,37,6,42
ENSG00000131188,59,10,122,15,60,14,44,53,222,146,34,88,195,49,41,13,82
ENSG00000131196,4222,815,667,719,3395,534,505,795,1237,1804,1486,736,918,217,1137,1186,2399
ENSG00000131203,333,16,3259,11,58,8,108,151,56,473,88,472,490,138,681,46,83
ENSG00000131233,0,0,5,1,4,1,1,3,0,1,1,1,2,0,4,0,0
ENSG00000131236,15681,11866,23135,13400,22288,12466,14593,21997,18349,20217,15047,14254,29273,9476,14797,9719,13983
ENSG00000131238,3500,3897,7215,4610,8358,3174,3872,8424,6377,3235,5276,7227,13134,2103,5000,3238,4906
ENSG00000131242,1487,27,2303,39,91,13,3786,2849,2068,1434,283,1648,5043,699,645,51,998
ENSG00000131263,2502,1689,2973,1781,11188,1308,2038,3409,2387,3440,2356,2318,2264,1339,1774,1577,3002
ENSG00000131264,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
ENSG00000131269,743,727,1208,760,1701,542,907,1243,1195,1138,1054,762,1235,469,1076,550,834
ENSG00000131323,1127,1286,1195,1475,2422,1674,1167,2435,780,1281,978,881,1493,551,1431,1237,913
ENSG00000131351,443,119,418,253,198,88,309,277,459,371,190,341,451,197,261,84,278
ENSG00000131355,2,15,17,1,2,3,4,10,7,18,3,25,23,1,14,20,8
ENSG00000131368,1698,1175,2436,966,2132,821,2273,2809,2656,1732,1303,1218,1562,1663,1645,912,1272
ENSG00000131370,695,518,838,321,828,222,780,1260,372,940,1031,837,570,178,481,283,571
ENSG00000131373,469,420,1410,355,844,348,1023,1128,1023,730,693,682,1049,368,669,326,732
ENSG00000131374,2481,1929,3694,2287,3630,1327,4002,6350,3055,2376,2944,2944,4668,937,1941,1301,3493
ENSG00000131375,1017,1444,2167,1027,2961,1065,1534,2764,1256,1328,1480,1213,1982,837,1708,1157,1514
ENSG00000131378,924,688,2266,1377,2602,586,550,1627,980,1602,3425,2166,2042,356,2057,840,1065
ENSG00000131379,6,3,4,4,3,1,10,10,6,9,4,10,8,1,4,2,0
ENSG00000131381,911,2550,1785,2314,3626,2130,1482,3219,1133,1321,2522,1554,1758,821,2210,1790,1346
ENSG00000131386,376,6815,881,849,708,634,139,243,91,1102,1481,484,276,75,1807,381,240
ENSG00000131389,1287,694,1462,400,1122,672,1027,2369,1382,1465,785,3301,6783,1450,1136,895,1373
ENSG00000131398,196,14,148,12,22,7,328,448,118,120,33,86,293,44,121,15,155
ENSG00000131400,8,5,71,7,4,4,115,43,15,11,11,13,28,7,26,3,11
ENSG00000131401,344,10,1051,50,48,14,526,659,295,1089,512,832,1060,204,1054,165,254
ENSG00000131408,3508,3443,6839,3195,7047,3647,4137,5298,5423,5277,4064,3359,5844,2810,4913,3285,4043
ENSG00000131409,202,24,255,270,155,465,139,795,259,75,528,516,207,183,531,384,360
ENSG00000131435,1542,1882,3532,2223,9279,2410,793,1383,797,3063,1586,1046,862,2474,1633,1997,787
ENSG00000131437,475,480,772,454,956,468,633,1419,597,654,415,836,965,400,703,558,711
ENSG00000131446,6010,4129,12955,4451,6297,3367,6690,13415,15221,8252,6065,11683,18420,4709,6500,3519,7038
ENSG00000131459,2521,1084,337,749,8181,707,181,608,145,805,1236,764,529,179,758,1030,375
ENSG00000131462,988,766,2327,2253,963,771,1452,1914,2174,1472,1067,1564,3721,1591,748,672,872
ENSG00000131467,5935,2481,7991,2511,5178,2314,5007,7012,5833,7346,3279,5185,10374,3462,3139,2244,4025
ENSG00000131469,19306,14429,37967,12615,39135,12902,36618,28581,54259,32287,27225,22488,36804,22947,23891,13407,24687
ENSG00000131470,42,104,116,525,244,108,90,153,65,87,110,112,141,83,120,101,70
ENSG00000131471,2459,28654,4007,35473,47243,21496,3783,14199,3738,3074,26095,8493,5032,3414,22965,18295,2961
ENSG00000131473,3726,2920,6241,3672,6308,2844,4140,8346,4537,4696,4714,6874,11604,2876,3225,2472,4202
ENSG00000131475,1127,630,3993,849,954,558,2060,2217,2830,3369,1163,1750,3664,2277,1166,501,1509
ENSG00000131477,465,636,934,400,1263,379,632,750,868,736,1942,1695,1524,259,1026,378,979
