"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"PRPF3",0.916,0.725107248766953,0.832,1.11312882784651,0.921,0.151,"OO","PRPF3"
"PPP1R7",0.916,0.797542839075374,0.832,1.19672959203898,0.931,0.136,"OO","PPP1R7"
"POP1",0.916,0.935005217214301,0.832,1.49496957409922,0.873,0.042,"OO","POP1"
"PHAX",0.916,0.478250498184106,0.832,0.697037653943106,0.986,0.302,"OO","PHAX"
"PELP1",0.916,1.08902366855481,0.832,1.77602021932934,0.888,0.051,"OO","PELP1"
"NDUFAF1",0.916,0.628303277884223,0.832,0.94481712313993,0.952,0.211,"OO","NDUFAF1"
"MSH3",0.916,0.924114892597478,0.832,1.42940087078989,0.926,0.118,"OO","MSH3"
"MFSD14B",0.916,0.964008244652626,0.832,1.46724136447136,0.928,0.131,"OO","MFSD14B"
"LOXL2",0.916,1.31893689216931,0.832,2.25548614676051,0.885,0.052,"OO","LOXL2"
"KPNA6",0.916,0.73018628707722,0.832,1.09350271702599,0.931,0.122,"OO","KPNA6"
"HEATR5B",0.916,0.969577553156733,0.832,1.53552529993883,0.902,0.083,"OO","HEATR5B"
"FH",0.916,0.948189137820267,0.832,1.41905892746519,0.957,0.215,"OO","FH"
"FANCL",0.916,1.29026754774192,0.832,2.15852600249465,0.885,0.075,"OO","FANCL"
"FAM216A",0.916,0.897587801188283,0.832,1.40944717308426,0.914,0.123,"OO","FAM216A"
"FAM184A",0.916,0.910259229185842,0.832,1.47851551249759,0.866,0.037,"OO","FAM184A"
"FAM13A",0.916,0.746996926479712,0.832,1.1004991081686,0.962,0.249,"OO","FAM13A"
"ELMO1",0.916,0.700572230793163,0.832,1.13467485119796,0.897,0.07,"OO","ELMO1"
"CRBN",0.916,0.841508050834414,0.832,1.22808057922057,0.969,0.359,"OO","CRBN"
"CHCHD4",0.916,0.324255671422906,0.832,0.516972843308619,0.888,0.067,"OO","CHCHD4"
"CDH3",0.916,0.9796590054927,0.832,1.45981152739376,0.964,0.258,"OO","CDH3"
"CCDC148",0.916,0.744187872915014,0.832,1.26844283010676,0.852,0.024,"OO","CCDC148"
"CACUL1",0.916,1.71124868763257,0.832,2.9697793045457,0.868,0.035,"OO","CACUL1"
"ATG14",0.916,0.716754045352989,0.832,1.0949239817991,0.926,0.13,"OO","ATG14"
"ARFIP1",0.916,0.753703295199804,0.832,1.13512871080028,0.935,0.142,"OO","ARFIP1"
"ANO10",0.916,1.76271337085509,0.832,3.26959306923466,0.856,0.026,"OO","ANO10"
"AARS",0.916,1.19399330626054,0.832,1.80448300613966,0.959,0.188,"OO","AARS"
"ENSMFAG00000042375",0.915,1.13201654572317,0.83,1.65625395078444,0.976,0.391,"OO","ENSMFAG00000042375"
"ZWINT",0.915,0.781704290468841,0.83,1.26389870342144,0.888,0.071,"OO","ZWINT"
"UBE3B",0.915,0.958353590134659,0.83,1.49462248873113,0.904,0.088,"OO","UBE3B"
"UBE2H",0.915,0.806427366091177,0.83,1.19121810385074,0.967,0.231,"OO","UBE2H"
"TRNT1",0.915,1.18747300541895,0.83,1.92160072733804,0.888,0.061,"OO","TRNT1"
"TRMT6",0.915,1.1630112558366,0.83,1.71734589872821,0.969,0.405,"OO","TRMT6"
"TMEM14A",0.915,1.04993908866232,0.83,1.52845970119463,0.983,0.452,"OO","TMEM14A"
"TMCC3",0.915,1.66861668597539,0.83,3.09662686420342,0.859,0.038,"OO","TMCC3"
"TM7SF3",0.915,1.39586243413271,0.83,2.54356575763667,0.856,0.028,"OO","TM7SF3"
"TBCA",0.915,1.44844318561055,0.83,2.10254152920372,0.998,0.621,"OO","TBCA"
"STN1",0.915,0.374636038904237,0.83,0.562637271935579,0.943,0.17,"OO","STN1"
"SNX16",0.915,1.08222774373402,0.83,1.74091774661473,0.897,0.074,"OO","SNX16"
"SCML1",0.915,0.693377332839471,0.83,1.04843167165995,0.947,0.156,"OO","SCML1"
"PSEN1",0.915,1.14688462624973,0.83,1.70495897087604,0.957,0.241,"OO","PSEN1"
"PARL",0.915,0.460003057795196,0.83,0.673130363138817,0.964,0.25,"OO","PARL"
"NUP50",0.915,0.688459869525982,0.83,1.05003817615227,0.943,0.167,"OO","NUP50"
"NPS",0.915,2.51558169345008,0.83,10.3207019222047,0.83,0.002,"OO","NPS"
"NEDD1",0.915,0.621520827528004,0.83,0.955169324987781,0.907,0.088,"OO","NEDD1"
"NDUFAF4",0.915,0.711799985571807,0.83,1.0584307772845,0.955,0.242,"OO","NDUFAF4"
"MTPAP",0.915,0.99437889130642,0.83,1.53992050364202,0.926,0.122,"OO","MTPAP"
"MRPL30",0.915,0.540901356064766,0.83,0.839656436136605,0.919,0.119,"OO","MRPL30"
"LINS1",0.915,1.51056245402613,0.83,2.57492855156588,0.864,0.044,"OO","LINS1"
"KIFAP3",0.915,0.650380102137933,0.83,0.977100507373025,0.94,0.129,"OO","KIFAP3"
"INTS8",0.915,1.33044819037805,0.83,2.0969272492869,0.914,0.099,"OO","INTS8"
"GTF2E2",0.915,1.01558891915955,0.83,1.54368515972602,0.945,0.223,"OO","GTF2E2"
"GABBR2",0.915,2.33680857413607,0.83,10.2753636036778,0.83,0.003,"OO","GABBR2"
"FMN1",0.915,2.21849782724362,0.83,4.39239082189276,0.84,0.013,"OO","FMN1"
"EPB41L5",0.915,0.532604560192989,0.83,0.833182734248548,0.902,0.097,"OO","EPB41L5"
"DENND1C",0.915,2.17739716389653,0.83,4.13512460263184,0.849,0.019,"OO","DENND1C"
"CENPM",0.915,1.35244136814224,0.83,2.11800866906506,0.888,0.086,"OO","CENPM"
"BRMS1",0.915,1.37616432980398,0.83,2.06537334503608,0.911,0.128,"OO","BRMS1"
"ALKBH2",0.915,0.517824485787672,0.83,0.773592805732086,0.933,0.148,"OO","ALKBH2"
"ALDH1A2",0.915,0.896759832818692,0.83,1.54438732810268,0.866,0.034,"OO","ALDH1A2"
"AFF1",0.915,1.07523917064394,0.83,1.56761078292855,0.995,0.364,"OO","AFF1"
"ADGRG6",0.915,1.64140942234968,0.83,2.90533082137214,0.861,0.039,"OO","ADGRG6"
"ZNF143",0.914,0.971948031717504,0.828,1.46420873953189,0.943,0.177,"OO","ZNF143"
"TMEM132D",0.914,2.30526571049253,0.828,8.79821116476351,0.83,0.003,"OO","TMEM132D"
"TMEM108",0.914,1.69952135168926,0.828,3.27962207688603,0.861,0.025,"OO","TMEM108"
"TEX9",0.914,0.420872922540001,0.828,0.645554016381335,0.883,0.074,"OO","TEX9"
"SRP9",0.914,0.912202852194418,0.828,1.32451187009499,1,0.616,"OO","SRP9"
"SC5D",0.914,1.16257573936472,0.828,1.81135755824164,0.94,0.173,"OO","SC5D"
"SBNO1",0.914,0.608165430940359,0.828,0.893122594451651,0.969,0.218,"OO","SBNO1"
"RNF113A",0.914,0.606552167805658,0.828,0.906080582932521,0.938,0.167,"OO","RNF113A"
"ODF2L",0.914,0.456718678136385,0.828,0.692177421357056,0.95,0.208,"OO","ODF2L"
"MRPL44",0.914,0.972059183690095,0.828,1.53857418132915,0.892,0.062,"OO","MRPL44"
"MRPL1",0.914,0.856082902687335,0.828,1.28177096691275,0.959,0.185,"OO","MRPL1"
"MPHOSPH6",0.914,0.700385723465843,0.828,1.03304788711969,0.981,0.3,"OO","MPHOSPH6"
"LMO4",0.914,1.1124218895725,0.828,1.72558682591137,0.921,0.116,"OO","LMO4"
"GRIN2B",0.914,2.2163684238236,0.828,8.08344342128871,0.83,0.004,"OO","GRIN2B"
"EMC2",0.914,0.539701403421067,0.828,0.802598051532978,0.959,0.223,"OO","EMC2"
"DNAJB6",0.914,1.14529405420395,0.828,1.67959432430253,0.969,0.35,"OO","DNAJB6"
"CUL5",0.914,0.611350937214118,0.828,0.89783523379179,0.964,0.231,"OO","CUL5"
"CFL2",0.914,1.25311136406152,0.828,1.86295042529249,0.964,0.258,"OO","CFL2"
"BACE2",0.914,0.650413040634896,0.828,1.02260629075391,0.9,0.078,"OO","BACE2"
"ATP6AP1L",0.914,1.19900439397234,0.828,1.95685885420101,0.861,0.036,"OO","ATP6AP1L"
"ENSMFAG00000024474",0.913,0.596725288215148,0.826,0.931431065669822,0.928,0.123,"OO","ENSMFAG00000024474"
"WDR20",0.913,0.370219307786646,0.826,0.570299898515726,0.866,0.054,"OO","WDR20"
"UBTD2",0.913,1.14824054693295,0.826,1.77886385014286,0.94,0.188,"OO","UBTD2"
"UBE2J2",0.913,1.3092743561417,0.826,2.0036092219487,0.911,0.156,"OO","UBE2J2"
"TWISTNB",0.913,0.902285504594209,0.826,1.31366787901592,0.986,0.3,"OO","TWISTNB"
"TSG101",0.913,1.11006232962128,0.826,1.62397629830692,0.986,0.404,"OO","TSG101"
"TMEM199",0.913,1.19098550929355,0.826,1.85961851792854,0.914,0.13,"OO","TMEM199"
"TMEM126B",0.913,0.488893359650754,0.826,0.723302749168997,0.971,0.337,"OO","TMEM126B"
"THUMPD3",0.913,0.544860595571945,0.826,0.808334545614267,0.967,0.216,"OO","THUMPD3"
"SLC9A3R1",0.913,0.950144819567953,0.826,1.4364315036033,0.933,0.142,"OO","SLC9A3R1"
"SLC25A33",0.913,1.64878443440401,0.826,3.13150781362228,0.859,0.033,"OO","SLC25A33"
"S100PBP",0.913,1.0142100849163,0.826,1.58671504720433,0.9,0.102,"OO","S100PBP"
"RBX1",0.913,1.12252511010351,0.826,1.62571401330606,1,0.63,"OO","RBX1"
"PTRHD1",0.913,0.380073274057218,0.826,0.570918084167229,0.935,0.179,"OO","PTRHD1"
"PPIF",0.913,0.887590763038927,0.826,1.36650882203698,0.921,0.151,"OO","PPIF"
"ORMDL1",0.913,0.939598016705465,0.826,1.47827404761804,0.911,0.118,"OO","ORMDL1"
"MRPS33",0.913,0.540754498746076,0.826,0.79097886457529,0.974,0.282,"OO","MRPS33"
"LARP4B",0.913,1.0951954652035,0.826,1.77987500080887,0.902,0.078,"OO","LARP4B"
"HOXA10",0.913,1.74573728765609,0.826,4.11192178167246,0.83,0.007,"OO","HOXA10"
"GOSR1",0.913,0.62758629189768,0.826,0.965550399035659,0.926,0.144,"OO","GOSR1"
"GFRA1",0.913,1.84908893222386,0.826,3.66982453201823,0.847,0.018,"OO","GFRA1"
"GALR1",0.913,2.46957815756243,0.826,9.33761644507242,0.828,0.002,"OO","GALR1"
"FLT1",0.913,0.505320130266134,0.826,0.795601735745645,0.909,0.111,"OO","FLT1"
"DDX56",0.913,1.27407102567716,0.826,1.88547863889521,0.957,0.367,"OO","DDX56"
"CHN2",0.913,1.72767012930798,0.826,3.19514971837169,0.844,0.016,"OO","CHN2"
"CDCA5",0.913,1.64717645356709,0.826,3.20503828220602,0.849,0.023,"OO","CDCA5"
"ACVR1B",0.913,1.22424833348603,0.826,2.04006009241234,0.861,0.044,"OO","ACVR1B"
"ABRAXAS1",0.913,0.540683960333658,0.826,0.856334386396526,0.897,0.075,"OO","ABRAXAS1"
"ENSMFAG00000037193",0.912,2.52689320914705,0.824,10.0512807583804,0.825,0.001,"OO","ENSMFAG00000037193"
"ENSMFAG00000037177",0.912,0.575353480641628,0.824,0.844237751606187,0.959,0.238,"OO","ENSMFAG00000037177"
"ENSMFAG00000019163",0.912,0.421595012911855,0.824,0.666061854221053,0.88,0.065,"OO","ENSMFAG00000019163"
"ENSMFAG00000031013",0.912,0.817924648852406,0.824,1.19170682752422,0.986,0.323,"OO","ENSMFAG00000031013"
"YIPF5",0.912,0.452867146435739,0.824,0.676893956201605,0.955,0.162,"OO","YIPF5"
"TMEM57",0.912,0.812869369541373,0.824,1.23463319432481,0.911,0.105,"OO","TMEM57"
"SPRTN",0.912,1.09715663959217,0.824,1.75347312451074,0.885,0.083,"OO","SPRTN"
"SPATA6L",0.912,0.973812343008979,0.824,1.64152148914754,0.852,0.026,"OO","SPATA6L"
"SIRPA",0.912,0.990847449050836,0.824,1.62920383074607,0.89,0.085,"OO","SIRPA"
"PTS",0.912,0.50119615337195,0.824,0.743161003437844,0.933,0.24,"OO","PTS"
"PSMG4",0.912,0.772313752737109,0.824,1.13802216236095,0.947,0.257,"OO","PSMG4"
"POLR3B",0.912,0.773187224125951,0.824,1.23554596057526,0.895,0.081,"OO","POLR3B"
"POLE4",0.912,0.593577215448065,0.824,0.86334750457157,0.986,0.4,"OO","POLE4"
"PDXK",0.912,1.14079504556153,0.824,1.91117667560418,0.88,0.073,"OO","PDXK"
"MRPS9",0.912,0.75760064233946,0.824,1.11212551992477,0.976,0.289,"OO","MRPS9"
"MED10",0.912,0.879217056999888,0.824,1.29314691597672,0.971,0.309,"OO","MED10"
"LIN7B",0.912,1.44806230919529,0.824,2.1936485828504,0.895,0.105,"OO","LIN7B"
"KIF26B",0.912,1.66279265621076,0.824,3.21711092668962,0.83,0.005,"OO","KIF26B"
"GTPBP10",0.912,1.27489445142312,0.824,2.17405613742688,0.89,0.089,"OO","GTPBP10"
"GTF2E1",0.912,1.52480768977975,0.824,2.58371478082082,0.868,0.05,"OO","GTF2E1"
"GAD1",0.912,2.05196025489928,0.824,6.03093767919544,0.828,0.005,"OO","GAD1"
"FYB2",0.912,0.473389520265779,0.824,0.76527391530932,0.876,0.048,"OO","FYB2"
"EMC8",0.912,0.764267213889064,0.824,1.15045478091178,0.943,0.17,"OO","EMC8"
"ELP2",0.912,0.559740617284267,0.824,0.88903843554398,0.89,0.078,"OO","ELP2"
"DNAL1",0.912,1.28827524472164,0.824,2.26479702802143,0.847,0.023,"OO","DNAL1"
"DNAAF4",0.912,1.05900828999049,0.824,1.79591667610981,0.849,0.034,"OO","DNAAF4"
"DLX6",0.912,1.88817017392611,0.824,4.26848355171071,0.828,0.004,"OO","DLX6"
"DHX32",0.912,1.44240237455002,0.824,2.50787442008039,0.868,0.051,"OO","DHX32"
"CUTC",0.912,0.934473359192714,0.824,1.44648913695815,0.923,0.179,"OO","CUTC"
"CSNK1G3",0.912,0.62922241074425,0.824,0.969770895349453,0.919,0.107,"OO","CSNK1G3"
"C1orf174",0.912,1.2557999582845,0.824,2.06007723770431,0.907,0.121,"OO","C1orf174"
"C15orf65",0.912,1.5024081793789,0.824,2.54704443906811,0.849,0.025,"OO","C15orf65"
"BNIP1",0.912,1.61998219014068,0.824,2.57274621347988,0.885,0.084,"OO","BNIP1"
"ABRAXAS2",0.912,1.02721778942241,0.824,1.63359286112109,0.895,0.083,"OO","ABRAXAS2"
"YBEY",0.911,1.43126888332763,0.822,2.47517925457274,0.868,0.059,"OO","YBEY"
"USP8",0.911,0.379496183898349,0.822,0.552232801497529,0.99,0.337,"OO","USP8"
"USP45",0.911,0.872685837332355,0.822,1.38898719038163,0.88,0.073,"OO","USP45"
"SYT14",0.911,1.40208062629783,0.822,2.52438819784771,0.852,0.038,"OO","SYT14"
"SMIM19",0.911,1.03386377136894,0.822,1.50774634996375,0.988,0.402,"OO","SMIM19"
"SECISBP2",0.911,0.442116768279817,0.822,0.654196319364124,0.943,0.201,"OO","SECISBP2"
"RYR3",0.911,1.7788124221705,0.822,4.30110152973688,0.83,0.007,"OO","RYR3"
"RNF170",0.911,0.632690977868564,0.822,0.986199338196525,0.907,0.121,"OO","RNF170"
"RBM26",0.911,0.665809663171173,0.822,0.974418682932955,0.99,0.339,"OO","RBM26"
"PTCD3",0.911,0.814345419106481,0.822,1.22085131702194,0.928,0.174,"OO","PTCD3"
"PSMD6",0.911,1.06493223152296,0.822,1.55570774698871,0.971,0.351,"OO","PSMD6"
"PARP12",0.911,0.944605833558255,0.822,1.47703204494944,0.895,0.113,"OO","PARP12"
"ODF2",0.911,1.02434276551257,0.822,1.65630099319365,0.9,0.103,"OO","ODF2"
"MCMBP",0.911,0.634110552079382,0.822,0.952545854977425,0.943,0.209,"OO","MCMBP"
"LSM8",0.911,0.663459120818881,0.822,0.97710666285826,0.974,0.305,"OO","LSM8"
"LINC00116",0.911,0.925389357087913,0.822,1.436987216629,0.911,0.096,"OO","LINC00116"
"ITIH2",0.911,2.06072557471016,0.822,6.83718303881454,0.825,0.003,"OO","ITIH2"
"GPR160",0.911,1.75698439805816,0.822,3.82409088166789,0.825,0.006,"OO","GPR160"
"GNA12",0.911,0.988382173684921,0.822,1.49159851278395,0.945,0.166,"OO","GNA12"
"GBF1",0.911,0.544710394132891,0.822,0.834142060742245,0.904,0.096,"OO","GBF1"
"DYNLT1",0.911,0.937261200742262,0.822,1.35840113773433,0.99,0.534,"OO","DYNLT1"
"DCAF17",0.911,0.875797167505344,0.822,1.50280213031863,0.864,0.04,"OO","DCAF17"
"CHST9",0.911,2.69718046437,0.822,8.66191297978294,0.823,0.002,"OO","CHST9"
"CHCHD6",0.911,0.855485833701923,0.822,1.2801558503251,0.933,0.186,"OO","CHCHD6"
"CCDC88C",0.911,1.25680397531422,0.822,1.98842507445005,0.892,0.09,"OO","CCDC88C"
"BBS5",0.911,0.466729414075423,0.822,0.708478632955964,0.938,0.192,"OO","BBS5"
"ATP5A1",0.911,1.17088611966901,0.822,1.69231065010098,1,0.828,"OO","ATP5A1"
"ACACA",0.911,0.661419326845639,0.822,1.09423595193916,0.873,0.057,"OO","ACACA"
"ZC3H18",0.91,0.525688709009467,0.82,0.802116492199373,0.914,0.107,"OO","ZC3H18"
"YTHDF1",0.91,1.12400340785023,0.82,1.81681565923926,0.902,0.111,"OO","YTHDF1"
"WDR75",0.91,0.829185624963807,0.82,1.28518695717015,0.928,0.164,"OO","WDR75"
"TRAPPC12",0.91,1.48974941542987,0.82,2.77884549787466,0.833,0.009,"OO","TRAPPC12"
"TMEM206",0.91,0.978489527662334,0.82,1.57556028398709,0.892,0.08,"OO","TMEM206"
"TECTA",0.91,2.55732257134674,0.82,5.31788993684595,0.823,0.006,"OO","TECTA"
"SCN9A",0.91,1.8004577073562,0.82,3.74150948560123,0.835,0.016,"OO","SCN9A"
"PKNOX1",0.91,0.527782745290936,0.82,0.827780100233785,0.883,0.059,"OO","PKNOX1"
"PAIP2B",0.91,0.595203979275591,0.82,0.98572124801696,0.849,0.035,"OO","PAIP2B"
"OVCH1",0.91,2.03770453497145,0.82,5.57286624103017,0.823,0.003,"OO","OVCH1"
"NEK1",0.91,0.564259229002201,0.82,0.829309443662695,0.974,0.208,"OO","NEK1"
"MTMR2",0.91,0.415843398073229,0.82,0.623377305242289,0.945,0.205,"OO","MTMR2"
"MRPL2",0.91,0.940232762294939,0.82,1.38605097827824,0.967,0.278,"OO","MRPL2"
"MED19",0.91,1.49523490366817,0.82,2.18498400638915,0.955,0.23,"OO","MED19"
"MCTS1",0.91,0.366173688625727,0.82,0.544620546569119,0.945,0.204,"OO","MCTS1"
"KIAA0586",0.91,0.665487063812762,0.82,1.04977974522055,0.883,0.062,"OO","KIAA0586"
"ING3",0.91,0.476725107579072,0.82,0.725556421313096,0.926,0.13,"OO","ING3"
"IDE",0.91,0.449643314877984,0.82,0.690022879428035,0.902,0.12,"OO","IDE"
"EEF1AKMT1",0.91,0.67641444028541,0.82,1.01997979999563,0.914,0.114,"OO","EEF1AKMT1"
"ECHDC1",0.91,0.524559199197167,0.82,0.775334185168161,0.967,0.276,"OO","ECHDC1"
"CWC22",0.91,0.647234743186565,0.82,0.949910939686388,0.976,0.226,"OO","CWC22"
"CD164",0.91,1.18936372150301,0.82,1.73037578922081,0.993,0.604,"OO","CD164"
"CACNA2D2",0.91,2.16418176131732,0.82,4.8091135862882,0.83,0.011,"OO","CACNA2D2"
"BCKDHB",0.91,0.418125088120601,0.82,0.625565992361077,0.94,0.219,"OO","BCKDHB"
"BCAS2",0.91,0.880076861576056,0.82,1.2751680761497,0.995,0.563,"OO","BCAS2"
"ACO1",0.91,0.49830467666402,0.82,0.746419069685499,0.931,0.169,"OO","ACO1"
"ENSMFAG00000003279",0.909,3.09590222707906,0.818,5.32634392850595,0.833,0.019,"OO","ENSMFAG00000003279"
"ENSMFAG00000002541",0.909,1.03385067582682,0.818,1.61810196262793,0.856,0.04,"OO","ENSMFAG00000002541"
"ENSMFAG00000037325",0.909,0.935233042687714,0.818,1.36059740541042,0.993,0.494,"OO","ENSMFAG00000037325"
"ZNF227",0.909,1.38287396593246,0.818,2.39696213413212,0.864,0.054,"OO","ZNF227"
"WDR70",0.909,0.39708721867576,0.818,0.594534466517204,0.931,0.166,"OO","WDR70"
"TEX10",0.909,0.854512930448559,0.818,1.3712921863359,0.907,0.1,"OO","TEX10"
"TDRD6",0.909,0.837340676352147,0.818,1.37298396142872,0.833,0.016,"OO","TDRD6"
"TDP2",0.909,0.654148930476104,0.818,0.982814192513699,0.938,0.205,"OO","TDP2"
"RAB6B",0.909,0.759415444810256,0.818,1.24300261743182,0.876,0.059,"OO","RAB6B"
"PTPRR",0.909,2.08772042900691,0.818,5.20150698862852,0.825,0.007,"OO","PTPRR"
"PPRC1",0.909,1.19767832608507,0.818,1.83026788237664,0.916,0.163,"OO","PPRC1"
"PPM1F",0.909,1.02197249143106,0.818,1.74792709215019,0.856,0.039,"OO","PPM1F"
"POLG2",0.909,1.31919720368637,0.818,2.2048114911941,0.88,0.068,"OO","POLG2"
"PAFAH1B2",0.909,0.967218094394676,0.818,1.43441027000475,0.967,0.247,"OO","PAFAH1B2"
"OLFM1",0.909,1.92464675632786,0.818,3.49165717748688,0.844,0.028,"OO","OLFM1"
"NUFIP1",0.909,0.746640168997972,0.818,1.12142324849718,0.914,0.128,"OO","NUFIP1"
"NSG1",0.909,0.469150991427065,0.818,0.701122800246216,0.933,0.169,"OO","NSG1"
"NSDHL",0.909,0.684319053193756,0.818,1.0224603573824,0.926,0.174,"OO","NSDHL"
"MRPL22",0.909,0.45035798064805,0.818,0.652445652967457,0.995,0.451,"OO","MRPL22"
"LRIG1",0.909,0.388238475074585,0.818,0.581601210452201,0.938,0.197,"OO","LRIG1"
"LRBA",0.909,1.26689101548872,0.818,1.97557919098694,0.873,0.064,"OO","LRBA"
"GEMIN8",0.909,1.03726859687298,0.818,1.59827432388568,0.902,0.131,"OO","GEMIN8"
"CDC45",0.909,1.72137880456817,0.818,3.4409772473185,0.835,0.019,"OO","CDC45"
"CCDC59",0.909,0.748635194669714,0.818,1.08514680531793,0.983,0.435,"OO","CCDC59"
"ATG16L1",0.909,0.569921740564495,0.818,0.871988289222055,0.926,0.151,"OO","ATG16L1"
"ALPL",0.909,2.27207957079497,0.818,3.86657505321387,0.837,0.025,"OO","ALPL"
"ENSMFAG00000035374",0.908,0.779482073849874,0.816,1.14255044345288,0.974,0.418,"OO","ENSMFAG00000035374"
"ZNF10",0.908,0.768080329191817,0.816,1.19179167017289,0.923,0.145,"OO","ZNF10"
"ZC3H14",0.908,0.692819720326907,0.816,1.05965860721372,0.933,0.169,"OO","ZC3H14"
"XAB2",0.908,1.10550130155434,0.816,1.67836492931379,0.921,0.142,"OO","XAB2"
"THAP8",0.908,1.20408482680921,0.816,1.92909930254198,0.868,0.062,"OO","THAP8"
"TAF5",0.908,0.669555363452026,0.816,1.09995042994377,0.854,0.038,"OO","TAF5"
"SRPK2",0.908,0.404312737678465,0.816,0.596082478663345,0.959,0.242,"OO","SRPK2"
"PTPRG",0.908,0.718779510196455,0.816,1.09806783146502,0.933,0.146,"OO","PTPRG"
"PIAS1",0.908,0.583461833710725,0.816,0.901614966652855,0.907,0.115,"OO","PIAS1"
"PGM3",0.908,0.564113384581857,0.816,0.846760841846503,0.943,0.204,"OO","PGM3"
"NTN1",0.908,2.76818604385102,0.816,9.3840982013747,0.818,0.002,"OO","NTN1"
"NDUFV3",0.908,0.855964983134224,0.816,1.25918538062026,0.967,0.278,"OO","NDUFV3"
"MROH2A",0.908,2.04881392006272,0.816,8.28124023004374,0.818,0.002,"OO","MROH2A"
"METTL21A",0.908,0.3869811352472,0.816,0.577597363913871,0.959,0.242,"OO","METTL21A"
"DNAJC28",0.908,0.80407600656687,0.816,1.43190254499522,0.847,0.037,"OO","DNAJC28"
"B3GLCT",0.908,1.22729846809696,0.816,2.14172435347793,0.873,0.052,"OO","B3GLCT"
"ACOT9",0.908,0.988365260081637,0.816,1.48192528466241,0.945,0.23,"OO","ACOT9"
"ENSMFAG00000012951",0.907,0.790971226647587,0.814,1.31232113556687,0.847,0.043,"OO","ENSMFAG00000012951"
"ENSMFAG00000003315",0.907,2.10667958136852,0.814,3.66808522475333,0.847,0.038,"OO","ENSMFAG00000003315"
"ENSMFAG00000030441",0.907,1.89566603407229,0.814,3.28841344884821,0.866,0.058,"OO","ENSMFAG00000030441"
"ENSMFAG00000041092",0.907,1.59139740721001,0.814,2.85488478665674,0.849,0.046,"OO","ENSMFAG00000041092"
"ENSMFAG00000003472",0.907,0.643267779571185,0.814,0.941684932733703,0.971,0.285,"OO","ENSMFAG00000003472"
"UMPS",0.907,1.77596162327584,0.814,2.7464396888454,0.883,0.091,"OO","UMPS"
"SKP2",0.907,1.71161481254065,0.814,2.9005303347779,0.849,0.042,"OO","SKP2"
"SH3GLB1",0.907,0.80167306368709,0.814,1.17048850635996,0.971,0.397,"OO","SH3GLB1"
"SH2D4B",0.907,2.71140187500748,0.814,5.42356969181311,0.823,0.012,"OO","SH2D4B"
"SETD3",0.907,0.879255897592221,0.814,1.37287816178365,0.926,0.138,"OO","SETD3"
"ROBO2",0.907,0.710434913610705,0.814,1.10558576965432,0.9,0.109,"OO","ROBO2"
"RCOR1",0.907,0.577137124919478,0.814,0.891085741202892,0.895,0.113,"OO","RCOR1"
"RCC2",0.907,0.719995161617299,0.814,1.11795626325473,0.931,0.136,"OO","RCC2"
"PTPRT",0.907,2.33910426442286,0.814,8.92625276778508,0.816,0.004,"OO","PTPRT"
"PPP1R13B",0.907,1.44212824081414,0.814,2.48797363676347,0.849,0.048,"OO","PPP1R13B"
"PDCD2",0.907,0.358802993214148,0.814,0.538087546164078,0.919,0.142,"OO","PDCD2"
"NXN",0.907,1.46465231506593,0.814,2.60016253645728,0.852,0.046,"OO","NXN"
"NADSYN1",0.907,0.981016972938947,0.814,1.55103996547465,0.888,0.096,"OO","NADSYN1"
"KLF5",0.907,0.600144689800524,0.814,0.912306239722547,0.931,0.172,"OO","KLF5"
"KDM1A",0.907,0.356281357869329,0.814,0.53839682987291,0.933,0.157,"OO","KDM1A"
"FAM98B",0.907,0.772007673703728,0.814,1.21560197709876,0.861,0.048,"OO","FAM98B"
"FAM168B",0.907,0.826646032692824,0.814,1.23891777778572,0.95,0.192,"OO","FAM168B"
"CXorf58",0.907,1.92020968835146,0.814,5.41033866821011,0.821,0.008,"OO","CXorf58"
"CNOT7",0.907,0.488023705373891,0.814,0.719507409602266,0.978,0.279,"OO","CNOT7"
"BOLA3",0.907,0.769945893238554,0.814,1.13494823975395,0.947,0.24,"OO","BOLA3"
"ATP6V1H",0.907,0.414958301362388,0.814,0.622968447112876,0.94,0.17,"OO","ATP6V1H"
"RARRES2",0.906,0.429649769502492,0.812,0.620194978866818,1,0.813,"OO","RARRES2"
"ENSMFAG00000044343",0.906,0.728748628356862,0.812,1.10429012117027,0.926,0.16,"OO","ENSMFAG00000044343"
"ENSMFAG00000009707",0.906,2.48574980056785,0.812,6.68123592027525,0.818,0.006,"OO","ENSMFAG00000009707"
"ENSMFAG00000031459",0.906,0.711547673668142,0.812,1.0405632777679,0.986,0.375,"OO","ENSMFAG00000031459"
"ENSMFAG00000034462-YPEL",0.906,1.11309524776689,0.812,1.61321301854657,0.998,0.708,"OO","ENSMFAG00000034462-YPEL"
"TPRG1",0.906,1.26541148882738,0.812,2.25536992723046,0.83,0.021,"OO","TPRG1"
"THRB",0.906,1.058766868034,0.812,1.76356861873518,0.868,0.062,"OO","THRB"
"SETD6",0.906,0.353844115806994,0.812,0.567647426099688,0.88,0.067,"OO","SETD6"
"SDCCAG8",0.906,0.906839100076387,0.812,1.31957788656785,0.969,0.33,"OO","SDCCAG8"
