Protein	Count	Glycan
Q9EPR5	1	HexNAc(2)Hex(3)Fuc(1)
Q9EPK6	3	HexNAc(2)Hex(6);HexNAc(2)Hex(7);HexNAc(2)Hex(5)
Q9DCF1	2	HexNAc(2)Hex(5);HexNAc(8)Hex(5)
Q9DBY4	1	HexNAc(8)Hex(5)Fuc(1)
Q9DBV4	1	HexNAc(2)Hex(5)
Q9DBH5	5	HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(8);HexNAc(4)Hex(4)
Q9DBG6	3	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(5)Fuc(1)
Q9DB72	22	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2)Hex(1);HexNAc(4)Hex(4)Fuc(1)NeuAc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(4)Hex(5)Fuc(1);HexNAc(5)Hex(3)Fuc(1);HexNAc(3)Hex(5)Fuc(1);HexNAc(4)Hex(3)Fuc(1);HexNAc(4)Hex(4)Fuc(1);HexNAc(2)Hex(6)Fuc(1);HexNAc(2)Hex(5)Fuc(1);HexNAc(6)Hex(3);HexNAc(4)Hex(4)Fuc(2);HexNAc(4)Hex(5)
Q9DAU1	3	HexNAc(2)Hex(5);HexNAc(6)Hex(3);HexNAc(2)Hex(6)
Q9D906	2	HexNAc(2)Hex(9);HexNAc(2)Hex(8)
Q9D8N1	1	HexNAc(2)Hex(8)
Q9D8C2	1	HexNAc(2)Hex(5)
Q9D8B7	4	HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(2)Hex(5);HexNAc(3)Hex(6)
Q9D7N9	6	HexNAc(2)Hex(8);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2)
Q9D7G0	2	HexNAc(3)Hex(6)NeuAc(1);HexNAc(3)Hex(5)
Q9D666	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q9D5T0	2	HexNAc(2)Hex(9);HexNAc(6)Hex(3)
Q9D387	6	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(3)Hex(6)Fuc(1)NeuAc(1);HexNAc(2)Hex(5)
Q9D1T0	2	HexNAc(2)Hex(10);HexNAc(2)Hex(9)
Q9D1H9	1	HexNAc(2)Hex(6)
Q9D136	1	HexNAc(2)Hex(6)
Q9CZT5	1	HexNAc(2)Hex(5)
Q9CZ42	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q9CYD3	1	HexNAc(2)Hex(8)
Q9CYA0	2	HexNAc(2)Hex(6);HexNAc(2)Hex(5)
Q9CY50	5	HexNAc(6)Hex(4);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(9);HexNAc(2)Hex(6)
Q9CW73	3	HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(9)
Q9CS84	4	HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(4)Hex(4)Fuc(1)NeuAc(1)
Q9CR89	1	HexNAc(4)Hex(3)
Q9CR23	1	HexNAc(2)Hex(6)
Q9CQU0	1	HexNAc(2)Hex(8)
Q9CQF9	13	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(6);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(3);HexNAc(2)Hex(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(3)Hex(3)Fuc(1);HexNAc(4)Hex(3);HexNAc(4)Hex(3)Fuc(1);HexNAc(2)Hex(2);HexNAc(2)Hex(9)
Q9CQE7	2	HexNAc(6)Hex(3);HexNAc(2)Hex(8)
Q9CPW5	7	HexNAc(2)Hex(9);HexNAc(2)Hex(8);HexNAc(2)Hex(7);HexNAc(2)Hex(6);HexNAc(2)Hex(10);HexNAc(2)Hex(5);HexNAc(6)Hex(3)
Q99PI8	1	HexNAc(2)Hex(5)
Q99PH1	4	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(1)
Q99P47	6	HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(3);HexNAc(2)Hex(2);HexNAc(2);HexNAc(2)Hex(8)
Q99MR3	5	HexNAc(2)Hex(8);HexNAc(2)Hex(5);HexNAc(3)Hex(6)NeuAc(1);HexNAc(3)Hex(6)Fuc(1);HexNAc(3)Hex(6)
Q99MB3-2	2	HexNAc(2)Hex(8);HexNAc(2)Hex(7)
Q99M71	8	HexNAc(2)Hex(6)Phospho(1);HexNAc(2)Hex(3)Fuc(1);HexNAc(2)Hex(6);HexNAc(2)Hex(5);HexNAc(2)Hex(4);HexNAc(2)Hex(2)Fuc(1);HexNAc(2)Hex(3);HexNAc(2)Hex(5)Fuc(1)
