,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_025394,67.223,49.923,63.97,43.194,68.609,52.461,54.206,43.832,44.233,62.484,44.898,53.446,44.324,37.348,34.237,35.917,32.441,30.312,32.53,27.953
NM_080638,58.92,57.559,53.765,52.282,60.107,60.861,63.096,55.61,73.322,64.15,72.957,65.551,87.823,101.544,82.326,90.657,96.084,85.85,89.195,72.035
NM_018820,54.811,56.488,43.174,54.49,63.679,56.769,48.197,59.004,47.669,61.044,37.246,59.89,37.243,28.791,21.875,35.699,31.605,27.403,19.525,19.394
NM_133744,48.854,58.96,38.762,41.665,57.976,61.718,46.232,50.151,48.446,43.6,38.814,44.155,46.322,43.722,30.844,29.209,38.852,40.669,35.426,33.707
NM_025548,39.58,46.879,38.043,38.709,59.493,60.09,48.148,48.746,57.909,59.54,49.531,50.972,44.553,45.546,32.773,41.067,41.19,42.128,35.346,37.043
NM_144538,29.689,26.237,16.883,21.355,63.398,54.701,40.194,44.326,55.933,62.206,37.307,49.33,10.316,6.082,6.8,5.17,5.236,4.087,3.603,3.271
NM_001289517,42.978,43.136,37.124,35.69,59.633,57.72,51.139,48.13,57.513,63.12,49.773,59.411,30.49,24.743,25.148,21.608,38.725,38.903,34.259,33.291
NM_009395,53.591,62.85,49.239,54.337,55.776,60.536,52.732,47.921,55.142,54.275,53.497,52.894,43.768,49.165,39.069,41.172,37.49,39.662,34.542,33.622
NM_008898,60.87,63.87,46.841,54.653,58.437,57.751,49.032,48.307,67.636,60.836,55.987,55.245,43.308,53.09,35.095,44.221,55.498,35.081,43.003,27.845
NM_053071,55.286,56.881,55.332,53.121,53.486,61.374,45.117,59.269,43.898,55.652,47.034,49.429,31.055,38.299,25.926,32.282,31.511,38.51,27.065,35.834
NM_007891,51.365,50.002,43.317,44.872,59.024,55.261,52.232,52.436,68.912,69.655,59.427,68.975,37.117,28.303,29.412,23.755,40.149,33.018,34.572,31.149
NR_027380,64.864,69.64,60.712,58.313,62.801,50.691,55.691,42.436,59.044,74.507,39.923,45.038,35.751,24.052,31.066,21.839,40.244,23.393,51.014,22.416
NM_026519,58.486,53.5,40.528,56.756,51.992,61.228,44.065,52.141,54.14,56.519,47.35,51.996,70.263,85.74,59.85,73.336,77.988,72.736,65.161,70.776
NM_007502,71.083,76.774,70.634,69.294,52.07,58.889,49.611,54.489,58.111,57.017,57.893,60.62,110.412,124.344,107.091,119.343,100.431,108.979,89.79,94.082
NM_001252588,53.857,53.188,44.342,47.901,55.459,53.792,43.01,45.032,59.524,56.752,48.156,43.202,40.284,43.724,27.685,33.304,39.591,33.853,32.661,29.373
NM_001038010,40.603,45.119,33.24,38.205,57.636,50.716,49.251,41.578,56.577,59.741,51.134,48.416,39.36,42.033,32.559,37.713,39.199,31.327,29.881,27.544
NM_134154,41.461,46.007,31.406,34.244,57.099,50.629,35.697,42.291,81.014,80.807,54.563,63.884,28.856,22.695,16.938,14.561,26.524,35.283,16.816,27.314
NM_178893,20.321,21.17,18.561,18.887,53.271,54.453,49.676,52.394,38.153,38.781,36.066,39.149,12.516,10.492,11.422,9.754,17.25,14.793,14.684,12.727
NM_010512,59.366,67.71,63.573,66.78,50.343,55.613,53.492,53.045,53.935,45.891,47.271,40.473,0.78,0.5,0.87,0.55,6.901,7.787,5.955,7.317
NM_001313923,68.476,49.92,67.281,54.264,65.015,38.73,62.017,46.599,92.656,67.733,73.301,87.045,229.203,172.644,296.264,224.762,272.798,277.026,260.544,240.259
NM_008583,40.285,48.084,29.935,38.203,54.832,47.7,41.35,37.347,58.002,59.597,46.256,52.387,37.413,35.735,24.495,29.406,35.738,40.106,22.46,27.96
NM_001080974,43.785,54.551,44.971,45.541,49.963,52.299,45.374,46.991,45.245,47.02,43.07,43.028,67.897,71.986,61.082,67.173,62.253,65.291,57.142,58.467
NM_007801,17.96,18.75,16.372,17.273,48.24,52.83,41.868,39.218,43.914,46.928,43.068,39.228,42.946,32.187,34.07,29.07,14.62,32.881,13.999,25.073
NM_144898,49.119,43.533,39.521,39.327,56.686,43.727,40.292,37.035,55.925,59.779,48.881,56.028,34.337,38.401,31.744,32.073,41.202,42.311,35.607,34.861
NR_030718,26.434,24.67,11.128,29.439,55.466,44.938,14.029,37.091,43.852,72.139,19.111,28.374,6.831,2.239,15.882,12.6,13.492,19.091,21.661,38.558
NM_016972,29.782,38.458,32.596,34.072,49.646,47.553,50.401,47.269,51.474,44.523,55.292,45.219,19.334,15.862,21.388,15.833,9.572,12.668,10.675,11.543
NR_002896,29.868,38.541,34.342,27.696,52.626,43.747,51.201,50.802,40.517,36.398,41.126,50.081,22.903,35.592,24.123,35.906,35.159,27.473,40.813,26.345
NM_145133,59.214,72.012,66.577,64.302,44.256,52.006,61.712,48.715,59.13,54.419,46.722,62.763,72.569,78.373,77.402,71.181,66.228,71.267,71.224,66.943
NM_007510,47.58,49.013,48.56,50.633,46.165,49.223,47.506,49.55,44.113,39.731,41.277,38.132,49.899,55.807,60.045,66.208,63.731,58.419,67.503,60.719
NM_013650,17.982,15.969,21.076,10.65,46.172,48.781,44.503,33.819,42.659,40.433,27.499,31.519,161.396,164.924,152.485,137.762,158.567,191.282,138.421,200.563
NM_026485,51.52,46.517,32.938,37.079,49.74,44.621,35.509,34.806,54.471,55.084,42.415,48.604,42.536,37.247,28.099,30.254,33.807,31.838,26.866,24.961
NM_007649,43.418,39.767,37.558,39.361,45.481,46.72,38.637,39.402,55.242,55.768,49.388,44.824,33.344,26.356,26.852,21.337,32.907,36.12,25.146,31.278
NM_001013377,43.987,26.41,39.545,23.474,54.12,36.879,44.162,35.066,31.157,30.241,18.829,27.716,13.944,5.274,9.224,3.052,15.041,10.62,14.071,12.986
NM_026579,38.751,46.827,33.185,34.414,42.912,46.429,40.303,33.757,32.907,36.162,29.205,29.859,27.206,30.582,18.123,18.289,26.285,23.503,19.403,15.622
NM_001347493,33.039,29.103,24.194,25.139,48.66,40.383,35.844,32.177,32.914,36.676,25.247,31.697,16.439,7.79,12.744,6.47,11.577,10.066,10.201,9.638
