,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_008823,202.163,242.358,169.973,207.886,392.186,473.586,334.239,428.855,718.462,781.075,605.493,687.089,169.664,110.363,128.201,92.815,33.171,91.801,26.513,77.051
NM_008945,392.88,351.413,362.445,307.598,424.73,381.976,364.567,342.887,485.048,531.037,444.185,508.251,334.241,372.521,268.422,326.084,437.011,349.824,415.465,351.01
NM_010442,180.555,287.289,148.838,248.214,343.205,422.686,269.66,340.348,528.899,390.984,481.13,338.517,254.536,339.881,216.939,315.788,229.756,266.947,194.565,218.123
NM_001288627,591.258,523.404,580.315,516.5,374.836,383.991,320.415,341.63,111.086,141.736,92.81,111.766,503.708,323.655,472.425,287.915,633.938,526.187,487.005,437.999
NM_175103,367.505,306.394,287.948,265.682,384.147,333.826,301.132,223.225,531.543,589.96,442.915,491.017,332.152,360.923,263.343,299.118,560.28,371.172,459.423,341.988
NM_011631,401.373,390.44,358.728,342.695,382.677,329.884,342.513,305.535,578.953,564.968,520.364,462.205,273.06,261.934,257.779,236.07,436.785,360.355,408.961,325.307
NM_009266,316.102,317.702,244.327,244.188,362.979,326.477,298.331,241.428,364.326,378.52,363.315,419.17,342.921,352.163,233.955,253.937,249.623,243.786,203.547,202.548
NM_001243968,307.146,290.653,285.548,244.869,353.811,324.064,312.616,278.834,361.049,384.703,335.611,356.211,347.151,350.613,279.689,307,364.178,281.493,319.945,253.529
NM_008202,308.424,329.582,252.284,279.56,319.196,304.745,280.499,254.433,400.331,400.203,356.114,332.664,368.117,393.854,298.558,292.158,372.421,303.401,303.735,247.478
NM_001173550,23.543,19.022,52.719,38.51,305.817,293.189,468.865,429.994,454.534,426.456,545.688,528.621,70.242,7.344,98.084,14.756,41.758,47.902,80.753,91.308
NM_008410,251.14,272.66,208.39,225.078,275.846,307.663,238.247,250.38,385.448,401.325,344.299,348.99,278.116,242.308,227.538,213.162,166.661,196.552,137.424,159.282
NM_010724,285.653,215.964,239.914,185.819,316.684,265.282,266.438,245.901,543.292,611.628,470.542,480.878,263.313,280.653,196.857,238.855,294.125,246.582,248.164,206.826
NM_026369,254.139,242.195,230.568,218.25,275.247,284.196,250.218,248.891,393.325,384.92,360.52,370.13,206.13,172.464,177.762,164.81,273.314,277.348,241.312,238.361
NM_022324,308.013,278.206,240.548,243.426,303.208,233.755,232.566,205.942,431.243,462.286,390.327,442.613,205.061,143.078,147.955,118.187,310.108,265.557,286.489,247.393
NM_013895,278.719,248.807,222.901,216.055,272.249,236.391,221.392,210.572,326.34,335.208,282.894,317.614,255.457,238.539,169.738,193.297,292.235,225.873,249.763,189.441
NM_012021,252.824,244.031,267.679,240.558,258.271,243.08,322.766,288.928,426.412,468.991,556.695,542.122,242.139,370.517,270.784,400.753,232.905,291.851,242.466,235.646
NM_023142,258.233,227.919,213.351,194.333,279.44,217.906,234.587,197.931,305.625,332.846,278.239,297.144,299.232,223.01,226.172,190.929,244.072,220.601,214.314,200.366
NM_001326614,245.713,178.716,217.853,156.132,274.024,222.761,225.822,209.714,292.796,325.362,256.13,310.83,285.671,281.238,240,253.845,295.751,211.93,257.931,195.674
NM_011571,245.685,210.344,213.076,195.165,268.178,217.592,216.259,207.027,461.021,415.596,429.532,421.013,218.171,174.278,170.337,143.596,82.564,68.335,63.976,50.667
NM_010885,283.08,211.664,246.547,171.527,266.773,203.04,228.273,193.166,299.985,337.373,239.136,313.131,221.73,202.436,155.428,190.553,186.905,138.905,183.136,121.35
NM_001301303,190.911,215.466,167.627,187.027,207.64,256.697,178.175,206.658,310.623,284.68,278.048,249.105,231.599,275.639,197.609,238.182,224.809,219.649,179.147,199.582
NM_010028,248.467,226.295,257.254,233.204,235.195,213.915,240.269,219.145,190.069,185.914,191.126,167.26,249.25,262.136,275.843,267.332,314.726,235.334,320.762,234.327
NM_153150,193.555,220.221,167.55,202.786,217.278,217.783,180.166,174.971,269.958,230.016,200.481,254.926,202.636,208.353,170.359,175.767,165.308,215.437,133.967,178.249
NM_153074,101.66,107.188,71.309,68.514,218.268,212.843,161.508,139.801,484.029,460.567,411.044,443.848,159.531,73.357,100.414,53.814,106.181,159.384,78.068,102.05
NM_009008,237.471,289.817,209.316,244.08,193.469,232.086,164.833,188.514,396.104,349.702,353.573,343.586,161.977,160.53,136.033,140.869,269.899,314.706,232.318,253.646
NM_145429,158.082,144.062,138.929,117.416,214.124,208.742,204.678,180.645,321.588,345.165,297.273,304.67,115.382,81.895,83.62,70.665,104.642,131.333,88.515,111.804
NM_025983,193.094,192.134,167.306,180.921,198.054,214.148,153.464,171.624,274.235,320.7,239.464,280.334,200.626,187.628,132.268,174.56,211.232,240.068,182.728,199.424
NM_001081957,122.909,191.894,124.456,181.182,187.552,210.674,178.338,204.978,503.07,585.367,519.984,532.03,54.206,81.759,54.522,78.02,0,0,0.232,0
NM_001291865,216.179,194.362,214.686,319.656,211.139,174.868,169.248,229.439,319.367,334.401,297.028,258.644,172.336,103.531,179.548,164.243,183.465,165.176,163.851,213.238
NM_011512,151.458,193.77,153.381,190.347,158.569,200.887,168.602,179.735,205.557,190.117,196.325,196.282,122.226,156.333,131.326,157.075,143.004,166.905,141.703,158.172
NM_198095,139.364,152.194,109.688,114.595,165.676,172.176,141.679,157.525,943.676,1021.664,779.837,942.42,149.377,197.169,125.236,186.492,285.538,315.697,252.308,279.942
