,TPM_BALB_notx_rep1,TPM_BALB_notx_rep2,TPM_BALB_KLA_rep1,TPM_BALB_KLA_rep2,TPM_C57_notx_rep1,TPM_C57_notx_rep2,TPM_C57_KLA_rep1,TPM_C57_KLA_rep2,TPM_NOD_notx_rep1,TPM_NOD_notx_rep2,TPM_NOD_KLA_rep1,TPM_NOD_KLA_rep2,TPM_PWK_notx_rep1,TPM_PWK_notx_rep2,TPM_PWK_KLA_rep1,TPM_PWK_KLA_rep2,TPM_SPRET_notx_rep1,TPM_SPRET_notx_rep2,TPM_SPRET_KLA_rep1,TPM_SPRET_KLA_rep2
NM_001002267,176.177,113.714,124.521,96.152,121.07,97.715,97.775,72.527,26.091,29.398,23.629,40.584,16.863,6.589,10.234,7.885,15.068,4.551,12.136,1.908
NM_026591,93.663,95.812,79.21,70.826,108.76,106.231,82.896,86.285,70.422,76.247,70.259,78.049,90.749,92.193,72.772,77.632,76.057,69.875,62.488,59.936
NM_019880,103.73,97.305,89.006,84.666,110.95,103.755,94.292,91.121,94.042,103.038,75.364,86.296,69.923,74.325,51.872,62.061,94.204,99.21,80.379,86.822
NM_009846,176.236,120.356,165.639,114.906,127.808,86.816,114.034,82.053,6.449,6.465,8.976,5.016,24.086,8.818,21.938,9.38,9.973,2.605,10.715,2.063
NM_001163165,114.452,113.294,90.555,92.546,111.235,102.55,94.122,83.516,68.781,80.008,55.513,76.594,94.865,63.13,72.386,54.898,67.06,58.632,58.116,43.891
NM_001145804,90.646,95.156,88.076,85.05,103.566,108.06,101.414,101.368,72.59,81.414,65.855,73.135,59.84,55.222,62.323,51.804,77.781,79.5,72.523,72.577
NM_019403,108.296,98.976,92.146,87.479,112.185,98.277,93.856,87.872,65.075,77.252,57.691,78.514,95.753,89.811,88.852,78.648,82.387,75.999,61.119,61.125
NM_008795,89.464,95.445,74.181,81.483,105.699,104.35,90.21,94.183,70.255,55.92,66.59,51.951,54.022,31.709,45.121,25.788,66.899,61.379,54.921,47.025
NM_018745,113.882,106.452,116.887,102.673,100.581,109.242,97.22,108.508,73.251,70.138,63.595,61.019,77.403,73.629,75.053,70.535,91.578,79.258,80.448,75.538
NM_001251881,107.435,111.667,92.236,96.732,108.387,101.287,91.56,86.781,80.481,85.077,73.237,76.123,93.647,98.151,72.25,77.008,105.481,95.836,82.611,75.152
NM_027159,111.591,86.294,66.472,61.332,105.498,101.607,67.598,58.892,63.861,59.864,42.903,51.087,65.788,49.104,41.534,40.943,57.196,48.646,38.597,34.921
NM_001284397,125.385,132.755,99.344,105.887,102.462,104.059,85.166,87.725,80.972,52.41,63.428,46.911,125.879,70.007,94.071,52.776,80.21,64.584,64.241,52.077
NM_023326,128.314,95.055,80.842,68.605,105.641,96.909,84.144,81.003,32.604,41.005,30.092,36.135,16.971,17.832,14.388,13.935,43.879,39.512,37.231,25.389
NM_001168578,131.51,138.313,115.773,127.961,101.208,100.948,90.406,91.319,116.105,89.846,99.478,83.129,113.348,92.279,113.324,80.319,109.037,85.464,79.485,69.233
NM_010545,87.845,236.769,90.285,224.299,83.768,118.131,95.805,132.722,15.556,17.012,14.221,16.333,19.947,36.056,17.734,39.117,27.463,51.889,30.984,50.296
NM_172790,91.046,117.541,80.606,106.863,100.831,100.632,86.482,95.733,75.355,68.218,77.503,73.432,78.698,106.471,75.325,92.798,80.091,77.952,69.742,67.079
NM_001276284,92.256,81.467,74.501,72.141,106.454,92.588,88.044,83.749,88.792,86.764,67.735,77.639,101.168,83.773,81.149,69.989,76.712,68.076,67.569,60.045
NR_002844,74.632,121.887,76.942,121.006,76.987,121.001,66.622,123.963,83.279,70.648,75.501,75.542,66.854,89.341,68.903,86.103,64.761,73.434,65.698,97.712
