TCGA-2V-A95S-01A-11R-A37K-07	TCGA-2Y-A9GS-01A-12R-A38B-07	TCGA-2Y-A9GT-01A-11R-A38B-07	TCGA-2Y-A9GU-01A-11R-A38B-07
ENSG00000037474.15	1792	3703	1295	1232
ENSG00000037637.11	804	1195	488	573
ENSG00000037749.12	176	575	345	275
ENSG00000037757.14	305	232	219	555
ENSG00000037897.17	606	609	886	115
ENSG00000037965.6	76	0	0	5
ENSG00000038002.9	2492	1039	594	392
ENSG00000038210.14	1170	2232	2094	2308
ENSG00000038219.13	689	925	749	1588
ENSG00000038274.17	4044	3922	2352	990
ENSG00000038295.8	11	21	13	5
ENSG00000038358.15	920	2094	958	782
ENSG00000038382.20	1229	3005	1779	792
ENSG00000038427.16	407	1313	497	63
ENSG00000038532.16	845	1706	917	1196
ENSG00000038945.15	975	673	148	188
ENSG00000039068.19	3861	17766	6525	16466
ENSG00000039123.16	1810	2740	977	1656
ENSG00000039139.9	155	129	12	6
ENSG00000039319.17	489	1139	649	911
ENSG00000039523.20	1200	1976	1080	785
ENSG00000039537.14	172	9020	21781	26754
ENSG00000039560.14	629	3044	3138	1297
ENSG00000039600.11	4	0	0	3
ENSG00000039650.12	1358	1067	614	821
ENSG00000039987.7	3	0	0	1
ENSG00000040199.18	645	906	440	493
ENSG00000040275.17	439	633	139	243
ENSG00000040341.18	1282	1395	747	850
ENSG00000040487.13	1921	1684	474	909
ENSG00000040531.16	624	1106	325	633
ENSG00000040608.14	125	477	273	866
ENSG00000040633.13	1929	1358	361	1053
ENSG00000040731.10	0	0	0	1
ENSG00000040933.16	856	951	451	245
ENSG00000041353.10	1992	198	13	8
ENSG00000041357.16	7679	7655	2909	3388
ENSG00000041515.16	1240	86	210	40
ENSG00000041802.11	1353	2321	1061	727
ENSG00000041880.14	1274	1709	1416	322
ENSG00000041982.16	339	291	389	101
ENSG00000041988.15	770	668	230	340
ENSG00000042062.13	8	65	62	1345
ENSG00000042088.14	429	817	238	210
ENSG00000042286.15	1923	2476	571	886
ENSG00000042304.12	0	0	0	0
ENSG00000042317.17	82	222	108	33
ENSG00000042429.12	149	137	58	69
ENSG00000042445.14	3234	7511	5227	11044
ENSG00000042493.16	2538	2404	208	226
ENSG00000042753.12	3059	3434	1822	2627
ENSG00000042781.14	19	329	689	990
ENSG00000042813.8	0	0	0	0
ENSG00000042832.12	167	12	10	78
ENSG00000042980.13	195	94	95	11
ENSG00000043039.7	3	8	7	4
ENSG00000043093.15	892	2725	1272	1847
ENSG00000043143.20	979	908	723	461
ENSG00000043355.12	404	270	208	94
ENSG00000043462.13	1391	681	789	195
ENSG00000043514.17	390	819	200	387
ENSG00000043591.6	14	2	8	2
ENSG00000044012.4	4	10	3	18
ENSG00000044090.10	1466	2359	1117	1422
ENSG00000044115.21	11580	15420	6510	5478
ENSG00000044446.12	790	3264	1569	2018
ENSG00000044459.15	303	566	695	792
ENSG00000044524.11	83	428	135	69
ENSG00000044574.8	42397	49541	50449	60550
ENSG00000046604.13	960	3851	668	9
ENSG00000046647.13	369	473	214	96
ENSG00000046651.15	991	953	490	489
ENSG00000046653.15	15	25	24	13
ENSG00000046774.10	83	526	308	0
ENSG00000046889.19	61	142	149	433
ENSG00000047056.16	687	916	598	1078
ENSG00000047188.16	812	1903	1056	1133
ENSG00000047230.15	440	1431	246	500
ENSG00000047249.18	3793	1432	734	559
ENSG00000047315.17	1630	1850	976	1527
ENSG00000047346.12	1294	1527	1523	1215
ENSG00000047365.12	2717	353	493	300
ENSG00000047410.14	2552	5306	1790	3689
ENSG00000047457.14	14240	56035	51389	12017
ENSG00000047578.13	3237	791	681	300
ENSG00000047579.20	251	647	261	166
ENSG00000047597.7	37	1108	15	8
ENSG00000047617.15	7	181	36	43
ENSG00000047621.12	297	384	252	324
ENSG00000047634.15	1555	1297	1330	1271
ENSG00000047644.19	855	2020	669	419
ENSG00000047648.23	209	119	70	48
ENSG00000047662.5	8	8	13	27
ENSG00000047849.21	4512	12111	4309	2214
ENSG00000047932.14	794	1214	982	775
ENSG00000047936.11	0	19	15	6
ENSG00000048028.11	686	1309	542	567
ENSG00000048052.22	919	123	71	32
ENSG00000048140.18	3144	2797	1480	1124
ENSG00000048162.21	1155	654	77	207
ENSG00000048342.17	47	219	74	117
ENSG00000048392.12	2595	1310	815	520
ENSG00000048405.10	616	761	380	535
ENSG00000048462.11	73	2	19	1
ENSG00000048471.14	268	642	351	342
ENSG00000048540.15	5	23	12	4
ENSG00000048544.6	1293	2106	786	896
ENSG00000048545.16	0	0	0	1
ENSG00000048649.13	1331	1322	783	718
ENSG00000048707.15	1364	4223	1951	2156
ENSG00000048740.18	783	376	577	101
ENSG00000048828.17	6084	7600	4260	3112
ENSG00000048991.16	739	1447	686	684
ENSG00000049089.15	215	108	52	19
ENSG00000049130.16	129	243	116	308
ENSG00000049167.15	167	410	138	255
ENSG00000049192.15	48	17	26	6
ENSG00000049239.13	3303	20500	25202	6161
ENSG00000049245.13	2214	3464	1862	1187
ENSG00000049246.14	643	755	610	1542
ENSG00000049247.14	16	2	18	1
ENSG00000049249.9	332	36	218	20
ENSG00000049283.18	5	14	11	5
ENSG00000049323.16	281	1482	551	1925
