"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","subtype"
"HIST1H2AH",3.09525840602092e-08,1.64610049329059,0.931,0.746,0.000654213816696581,"O","HIST1H2AH","C1"
"PTPRG",3.67505195230398e-08,1.17002420980853,0.957,0.712,0.000776758980638968,"O","PTPRG","C1"
"CRYZL1",4.55906351248717e-08,1.01015765995093,0.931,0.746,0.000963603663999289,"O","CRYZL1","C1"
"RSL1D1",5.29721264052766e-08,1.43075788113177,1,0.915,0.00111961886370193,"O","RSL1D1","C1"
"NMNAT3",5.57706144060985e-08,1.47075945499841,0.724,0.492,0.0011787677060873,"O","NMNAT3","C1"
"FNDC3B",5.76193197699918e-08,1.23743737530985,0.974,0.847,0.00121784194265855,"O","FNDC3B","C1"
"ESR2",5.78011077895161e-08,1.14134371779403,0.784,0.356,0.00122168421423921,"O","ESR2","C1"
"CPSF2",6.13795716475273e-08,1.60798799532541,0.966,0.763,0.00129731862634214,"O","CPSF2","C1"
"ENSMFAG00000006204",6.20166881839475e-08,1.77080977816959,1,0.881,0.00131078472145592,"O","ENSMFAG00000006204","C1"
"DIAPH2",7.34944721741546e-08,1.21349390072716,0.948,0.78,0.00155337916387293,"O","DIAPH2","C1"
"NRAS",9.3371401785157e-08,1.65769451624873,0.905,0.78,0.00197349794813108,"O","NRAS","C1"
"HSD17B5",9.92653963029423e-08,1.69326647630443,0.767,0.458,0.00209807341625899,"O","HSD17B5","C1"
"UBXN8",1.2894846882747e-07,1.50744158256246,0.914,0.729,0.00272545483713742,"O","UBXN8","C1"
"SDE2",1.54285020334891e-07,1.49258130039495,0.94,0.729,0.00326096818979825,"O","SDE2","C1"
"EMILIN2",1.66246051146909e-07,1.15654281163106,0.991,0.932,0.00351377653704107,"O","EMILIN2","C1"
"AREG",1.67557377665895e-07,1.41245591732154,0.81,0.441,0.00354149273434635,"O","AREG","C1"
"ENSMFAG00000030509",1.75389899404227e-07,1.34979509376029,0.793,0.492,0.00370704091380775,"O","ENSMFAG00000030509","C1"
"GCN1",1.80422055658207e-07,2.09353580774249,0.905,0.729,0.00381340056839187,"O","GCN1","C1"
"SRBD1",1.83884143990739e-07,1.17878662953917,0.948,0.678,0.00388657526738825,"O","SRBD1","C1"
"NEK2",1.87507636791836e-07,1.2845823350194,0.983,0.814,0.00396316141123225,"O","NEK2","C1"
"C5orf42",1.89786586607331e-07,1.20766688902227,0.845,0.508,0.00401132929453256,"O","C5orf42","C1"
"KRBOX1",2.06843997671393e-07,1.73473913165495,0.819,0.458,0.00437185473478256,"O","KRBOX1","C1"
"GPR158",2.30499594576487e-07,1.36951489213073,0.862,0.61,0.00487183943096863,"O","GPR158","C1"
"ATP8A2",2.89540344281184e-07,1.12368673886133,0.957,0.831,0.00611972471672711,"O","ATP8A2","C1"
"QTRT2",3.16473259085949e-07,1.27609379574692,0.81,0.475,0.00668897880404062,"O","QTRT2","C1"
"VEGFB",3.28750080860568e-07,1.36907680433814,0.716,0.322,0.00694846170906898,"O","VEGFB","C1"
"TDG",3.38760099977158e-07,1.3187966599727,0.922,0.61,0.0071600334731172,"O","TDG","C1"
"PLCE1",3.3957702359476e-07,1.16968419688427,0.957,0.847,0.00717729997069884,"O","PLCE1","C1"
"ATL2",3.51717073231996e-07,0.808597856045904,0.914,0.678,0.00743389205983147,"O","ATL2","C1"
"ENSMFAG00000030465",3.59987418683748e-07,1.25784049053693,0.707,0.356,0.0076086940812997,"O","ENSMFAG00000030465","C1"
"SCFD1",4.12794119300714e-07,0.99465741096866,1,0.949,0.0087248165055399,"O","SCFD1","C1"
"SLC30A8",4.23954231563498e-07,1.29875783385596,0.793,0.492,0.00896069663832609,"O","SLC30A8","C1"
"TNPO3",4.38709127723484e-07,1.16593750011567,0.957,0.797,0.00927255612356355,"O","TNPO3","C1"
"HBQ1",4.41660889826749e-07,2.09754607739528,0.862,0.61,0.00933494456737817,"O","HBQ1","C1"
"ENSMFAG00000038812",4.41664590551572e-07,1.13435776636144,0.94,0.78,0.00933502278589802,"O","ENSMFAG00000038812","C1"
"EIF5",4.91991484672314e-07,0.981468556709877,1,0.966,0.010398732020034,"O","EIF5","C1"
"YAE1D1",5.28470405644462e-07,0.647070324817094,0.897,0.559,0.0111697504937013,"O","YAE1D1","C1"
"SRFBP1",5.58813128915076e-07,1.12340632698238,0.914,0.746,0.011811074292749,"O","SRFBP1","C1"
"GRK6",5.64814577832007e-07,1.69320368295045,0.983,0.881,0.0119379209170573,"O","GRK6","C1"
"OXR1",5.68054768180059e-07,1.14053015917682,0.922,0.661,0.0120064055802537,"O","OXR1","C1"
"ENSMFAG00000041970",5.82396854800709e-07,1.10632373773776,0.957,0.814,0.0123095399230678,"O","ENSMFAG00000041970","C1"
"NEB",6.5117583652882e-07,1.14080869964618,1,0.983,0.0137632524808731,"O","NEB","C1"
"FAM184B",6.55827572592544e-07,1.30201554192717,0.897,0.695,0.013861571574316,"O","FAM184B","C1"
"TACR3",6.93202384270318e-07,1.5212858876393,0.905,0.678,0.0146515255939374,"O","TACR3","C1"
"SPATS2",7.07494595886418e-07,0.831165740625578,0.983,0.814,0.0149536057786553,"O","SPATS2","C1"
"TBC1D8",7.60197453369061e-07,0.558041180125199,0.948,0.678,0.0160675333744085,"O","TBC1D8","C1"
"LCOR",8.01847852568325e-07,1.30382472927594,0.879,0.678,0.0169478562118841,"O","LCOR","C1"
"USP45",8.0401688359411e-07,0.650767999271964,0.905,0.627,0.0169937008516451,"O","USP45","C1"
"DLG1",8.33219023096687e-07,1.11328545036357,0.948,0.746,0.0176109172721716,"O","DLG1","C1"
"ABI3BP",8.81223816796328e-07,1.53249018488398,0.957,0.797,0.0186255465918072,"O","ABI3BP","C1"
"FANK1",8.82240932252912e-07,1.06071041011351,0.966,0.831,0.0186470443440976,"O","FANK1","C1"
"ARHGAP10",8.82533760379141e-07,1.0094659429381,0.983,0.915,0.0186532335593735,"O","ARHGAP10","C1"
"TRMT6",8.96693408578175e-07,1.04912378089464,1,0.847,0.0189525118837083,"O","TRMT6","C1"
"LMAN1",9.43469732825107e-07,0.945367349253885,0.991,0.78,0.0199411762729915,"O","LMAN1","C1"
"RASA2",1.05437921132217e-06,0.63404381491049,0.845,0.492,0.0222853590105054,"O","RASA2","C1"
"RNF17",1.08222342284309e-06,0.815557007591465,0.991,0.898,0.0228738742652115,"O","RNF17","C1"
"PMM2",1.11613124916286e-06,1.11134414394925,0.974,0.881,0.0235905500823061,"O","PMM2","C1"
"GLT1D1",1.14605402443124e-06,1.28157983460791,0.733,0.407,0.0242229978603786,"O","GLT1D1","C1"
"ENSMFAG00000033294",1.14763208732618e-06,1.0956383781905,0.871,0.542,0.0242563517977262,"O","ENSMFAG00000033294","C1"
"CCNT2",1.20054487906283e-06,1.08126187553777,0.948,0.729,0.025374716563872,"O","CCNT2","C1"
"DHX8",1.22244041667802e-06,0.958384231708196,0.862,0.627,0.0258375006469067,"O","DHX8","C1"
"NSD2",1.30109650984506e-06,0.983602819834501,0.94,0.712,0.0274999758320851,"O","NSD2","C1"
"SYT2",1.30196957289003e-06,1.30616483621432,0.793,0.525,0.0275184288926037,"O","SYT2","C1"
"PRUNE2",1.34841065347797e-06,1.2915112673477,0.767,0.492,0.0285000075719104,"O","PRUNE2","C1"
"ENSMFAG00000030540",1.36069937638567e-06,1.53335207429243,0.879,0.644,0.0287597420192875,"O","ENSMFAG00000030540","C1"
"NIPSNAP2",1.44985043445457e-06,1.38567448201548,0.948,0.78,0.0306440387826318,"O","NIPSNAP2","C1"
"CEP63",1.747871471736e-06,0.796421941110465,0.914,0.576,0.036943011426612,"O","CEP63","C1"
"CEP128",1.75195474627474e-06,1.02197510273654,0.897,0.627,0.037029315517263,"O","CEP128","C1"
"MMGT1",1.76030726412928e-06,1.08623269754469,0.802,0.525,0.0372058543346365,"O","MMGT1","C1"
"ENSMFAG00000035452",1.80964160288804e-06,1.12387551310101,0.784,0.508,0.0382485849186417,"O","ENSMFAG00000035452","C1"
"SENP7",1.89628480331351e-06,0.925898420244883,0.845,0.475,0.0400798756028343,"O","SENP7","C1"
"ITGA4",1.91613031260465e-06,1.13316899124617,0.922,0.729,0.0404993302872119,"O","ITGA4","C1"
"USPL1",1.98128577275834e-06,1.01244501857094,0.931,0.763,0.0418764560930203,"O","USPL1","C1"
"CSNK2A2",2.04835739441037e-06,1.44999987620925,1,0.949,0.0432940818882575,"O","CSNK2A2","C1"
"ELP4",2.0728013738783e-06,0.875738233274102,0.879,0.559,0.0438107298382917,"O","ELP4","C1"
"CAPRIN2",2.11967611445161e-06,0.942425887330709,0.966,0.763,0.0448014743550493,"O","CAPRIN2","C1"
"ENSMFAG00000044459",2.12238479688327e-06,0.866959090231007,0.888,0.559,0.0448587250669247,"O","ENSMFAG00000044459","C1"
"GZF1",2.17031874000039e-06,0.91042135833422,0.914,0.61,0.0458718568886482,"O","GZF1","C1"
"PHKA2",2.24560920638971e-06,1.02061339005368,0.853,0.542,0.0474631961862529,"O","PHKA2","C1"
"SINHCAF",2.31836096018773e-06,0.986789200356574,0.991,0.814,0.0490008772545278,"O","SINHCAF","C1"
"CDK12",2.32179460126053e-06,1.02141994531865,0.914,0.644,0.0490734506922426,"O","CDK12","C1"
"SAMD4A",2.35599230157837e-06,0.865767380542126,0.931,0.78,0.0497962532861605,"O","SAMD4A","C1"
"METTL14",2.44126802456696e-06,1.03042324302473,0.871,0.593,0.0515986409672474,"O","METTL14","C1"
"PRDM15",2.56361643022531e-06,0.794618737451962,0.957,0.864,0.0541845968692421,"O","PRDM15","C1"
"ARHGAP20",2.68385052928467e-06,0.948266846003325,0.905,0.644,0.0567258647869609,"O","ARHGAP20","C1"
"CRCP",2.72162823510169e-06,0.723707453186239,0.957,0.729,0.0575243343771094,"O","CRCP","C1"
"TNKS",2.75822153727167e-06,1.09393332417882,0.784,0.458,0.058297770411774,"O","TNKS","C1"
"AHI1",2.78397641826932e-06,1.20149860862636,0.897,0.678,0.0588421255765403,"O","AHI1","C1"
"CASC3",2.84304455493775e-06,0.865146456543558,1,0.881,0.0600905897131644,"O","CASC3","C1"
"NALCN",2.92776584100102e-06,1.09079389582261,0.905,0.644,0.0618812588153975,"O","NALCN","C1"
"TPX2",2.97437733485157e-06,0.907079216053531,0.983,0.814,0.0628664393494227,"O","TPX2","C1"
"MAP6",3.01607529272781e-06,2.57446603630938,0.966,0.847,0.063747767387095,"O","MAP6","C1"
"EHBP1",3.03784165949648e-06,1.13371331616649,0.862,0.559,0.0642078213151176,"O","EHBP1","C1"
"KIF20A",3.11740453046225e-06,0.964584582741675,0.75,0.373,0.06588946215585,"O","KIF20A","C1"
"CCDC172",3.13520531543772e-06,0.891086194253041,0.862,0.559,0.0662656995470916,"O","CCDC172","C1"
"PTEN",3.18924301963566e-06,0.919140825151304,0.974,0.797,0.0674078404630192,"O","PTEN","C1"
"CEP350",3.25778464672126e-06,1.07120976721723,0.948,0.797,0.0688565362931006,"O","CEP350","C1"
"MITD1",3.35330228112746e-06,0.741684979506234,0.983,0.831,0.07087539701391,"O","MITD1","C1"
"ENSMFAG00000003189",3.4352592143622e-06,0.993800344659623,0.991,0.881,0.0726076387547595,"O","ENSMFAG00000003189","C1"
"ENSMFAG00000045668",3.56807984072353e-06,1.72944700986661,1,0.881,0.0754149355135325,"O","ENSMFAG00000045668","C1"
"MAP1B",3.80986206108385e-06,0.739354534534223,1,0.932,0.0805252445230683,"O","MAP1B","C1"
"RBFOX2",3.92985035004211e-06,1.22792954707527,0.759,0.458,0.08306131699849,"O","RBFOX2","C1"
"KLF11",3.99433005328559e-06,0.825763031426574,0.931,0.729,0.0844241600062441,"O","KLF11","C1"
"HEATR1",4.08287888447047e-06,1.17595148473557,0.853,0.542,0.0862957281021678,"O","HEATR1","C1"
"ENSMFAG00000029327",4.11245500628645e-06,1.10794697999637,0.948,0.746,0.0869208490128704,"O","ENSMFAG00000029327","C1"
"CTCFL",4.14516074993826e-06,0.845973173761716,0.759,0.39,0.0876121176106951,"O","CTCFL","C1"
"VPS37B",4.16288135767965e-06,0.960588535755519,0.957,0.729,0.0879866603759171,"O","VPS37B","C1"
"DTNBP1",4.19844329541488e-06,1.24594847425296,0.862,0.644,0.0887382974918888,"O","DTNBP1","C1"
"DCTD",4.31324296381738e-06,0.901576258941584,0.845,0.508,0.0911647032832441,"O","DCTD","C1"
"CIART",4.36170167676177e-06,1.15693959387951,0.948,0.797,0.0921889266400367,"O","CIART","C1"
"DGKE",4.57014899716851e-06,0.8853771359747,0.871,0.576,0.0965946692041536,"O","DGKE","C1"
"DNAH7",4.58763663068375e-06,0.995543348381164,0.966,0.797,0.0969642878261317,"O","DNAH7","C1"
"IBSP",4.61917089325349e-06,2.00311807634159,0.75,0.593,0.0976307959998057,"O","IBSP","C1"
"EVI5",4.70802087357433e-06,1.07970507776023,0.879,0.661,0.0995087291838671,"O","EVI5","C1"
"ANKRD35",4.72275564413669e-06,1.40675588162989,0.983,0.881,0.099820163294473,"O","ANKRD35","C1"
"NGDN",4.75731954598213e-06,0.868762037707151,0.983,0.898,0.100550705923878,"O","NGDN","C1"
"Tmem97",4.98237439140652e-06,0.88882518630382,1,0.932,0.105307465136768,"O","Tmem97","C1"
"BTBD11",5.15250704974365e-06,1.10661450504495,0.888,0.593,0.108903389003382,"O","BTBD11","C1"
"RNF111",5.23877768899752e-06,0.883770361974462,0.966,0.847,0.110726805234652,"O","RNF111","C1"
"C1orf50",5.30298141309997e-06,0.873200118554259,1,0.898,0.112083815147281,"O","C1orf50","C1"
"SPON1",5.30298243030082e-06,1.28895747792724,0.871,0.61,0.112083836646838,"O","SPON1","C1"
"C7orf55-LUC7L2",5.42468923720777e-06,1.07653743878965,0.957,0.797,0.114656231717623,"O","C7orf55-LUC7L2","C1"
"KIAA0930",5.48458422092126e-06,0.932974365474091,0.836,0.542,0.115922172093392,"O","KIAA0930","C1"
"ETFA",5.57280918106141e-06,0.818799668201776,1,0.966,0.117786894850914,"O","ETFA","C1"
"ENSMFAG00000040566",5.61367994543808e-06,1.05564643184469,0.802,0.458,0.118650739326779,"O","ENSMFAG00000040566","C1"
"CCNI",5.6337121852229e-06,0.891005891588196,1,0.898,0.119074140746871,"O","CCNI","C1"
"SEC31A",5.63910753321351e-06,0.964547069546803,0.948,0.712,0.119188176822001,"O","SEC31A","C1"
"MYO9A",5.70626342914921e-06,0.666130372467974,0.845,0.542,0.120607583838498,"O","MYO9A","C1"
"NKRF",5.80059865395012e-06,1.34937789234666,0.853,0.542,0.12260145314989,"O","NKRF","C1"
"SOX5",5.94348565834958e-06,1.11126003353314,0.724,0.39,0.125621512874877,"O","SOX5","C1"
"PNPO",6.19508565281184e-06,1.13223831221154,0.767,0.424,0.130939330357831,"O","PNPO","C1"
"DHCR7",6.23261004250385e-06,0.664079958677512,0.793,0.525,0.131732445858361,"O","DHCR7","C1"
"SLC16A14",6.26732766461758e-06,1.92482576873134,0.707,0.407,0.132466237519357,"O","SLC16A14","C1"
"CCDC191",6.84861889401619e-06,1.06042402407378,0.94,0.627,0.144752408943926,"O","CCDC191","C1"
"ENSMFAG00000016983",6.95776368178975e-06,1.33652163073903,0.991,0.864,0.147059293178308,"O","ENSMFAG00000016983","C1"
