tumor	event	beta	hr	lower	upper	p
SKCM	OS	0.0609742304757461	1.06287152414076	0.776575230914082	1.45471530877901	0.703355083392121
SKCM	DSS	0.0167005303647565	1.01684076379187	0.725215639398252	1.42573475079324	0.922849229100045
SKCM	PFI	-0.0206920509314298	0.979520560573246	0.749115639724441	1.28079094562578	0.879793268076049
STAD	OS	0.106143329940059	1.11198124529033	0.753972317504098	1.63998367204074	0.592353352314169
STAD	DSS	0.31895394263794	1.37568796288832	0.843538805479081	2.24354512079734	0.201203145894944
STAD	PFI	0.285346414135099	1.3302227562811	0.879256090360188	2.01248828495827	0.176757142913112
TGCT	OS	0	1	1	1	1
TGCT	DSS	0	1	1	1	1
TGCT	PFI	0.0624773655448074	1.0644703649384	0.492483741336312	2.30078084356153	0.873770309299037
THCA	OS	-0.638761447581369	0.527945907953674	0.164631926758308	1.69303055132327	0.282654636147476
THCA	DSS	0.178964276353459	1.19597801870872	0.240015594430899	5.95946036184013	0.827112751995573
THCA	PFI	0.357641771117179	1.42995327815215	0.757998874332522	2.69758497926353	0.269429511985186
THYM	OS	0.934927423624794	2.54702859692771	0.492658247405345	13.1680626635891	0.264686806164979
THYM	DSS	0.0197187400114936	1.01991443855843	0.142575984999395	7.29593740477662	0.98432877993304
THYM	PFI	0.228375617719708	1.25655722195884	0.483502951641741	3.26561822775978	0.639310250040583
UCEC	OS	-0.57228562461351	0.564234335887531	0.240605615429168	1.32316274176139	0.188166726169126
UCEC	DSS	-0.671197666571666	0.511096088380749	0.193648056239084	1.3489379476941	0.175261641805646
UCEC	PFI	-0.551579159774238	0.576039433452679	0.275301143304474	1.20530349024195	0.143124151667292
UCS	OS	0.285065836084173	1.3298495773282	0.579609478742775	3.05119216158445	0.501089189644263
UCS	DSS	0.0572941860248134	1.0589672979554	0.450619628666654	2.48859940135571	0.895437612999569
UCS	PFI	0.516011299064097	1.67533190697325	0.767178164030943	3.65852044559679	0.195361296106737
UVM	OS	-1.40013463643305	0.246563765240908	0.0887157250672848	0.685263974156392	0.0072603974349397
UVM	DSS	-1.51015831607837	0.220875007126291	0.0722268888558548	0.675451615677401	0.00809775857203277
UVM	PFI	-1.20536182467574	0.299583583167737	0.116540508910689	0.770121257771413	0.0123423325836712
