id	GO_0000122	GO_0001525	GO_0007155	GO_0007165	GO_0043547	GO_0045944
Ctrl1_140	5.607	1.388	3.095	8.012	2.190	6.695
Ctrl1_141	6.005	1.325	2.926	8.456	2.458	7.516
Ctrl1_142	5.203	1.746	3.256	8.063	2.582	7.145
Ctrl1_143	6.064	1.551	3.076	9.389	2.642	7.610
Ctrl1_144	4.789	1.280	2.213	7.244	1.991	6.449
Ctrl1_145	5.365	1.148	2.491	8.589	2.219	6.986
Ctrl1_146	5.524	1.676	2.760	8.651	2.214	6.791
Ctrl1_147	5.091	1.098	2.289	7.199	2.630	6.324
Ctrl1_148	5.586	1.289	2.499	7.078	2.035	6.533
Ctrl1_149	5.207	1.255	2.387	7.578	2.098	7.393
Ctrl1_150	5.602	1.149	2.612	8.277	2.366	6.758
Ctrl1_151	5.176	1.399	2.872	7.782	2.367	7.709
Ctrl1_152	5.350	1.371	3.210	8.904	2.324	6.807
Ctrl1_153	5.922	1.692	4.255	6.105	2.817	8.114
Ctrl1_154	6.674	1.391	3.082	8.792	2.259	8.098
Ctrl1_155	5.394	1.390	2.859	7.699	2.521	6.806
Ctrl1_156	5.844	1.565	2.867	8.244	2.461	6.623
Ctrl1_157	5.834	1.284	3.020	8.181	2.402	6.980
Ctrl1_158	5.656	1.922	2.750	9.364	2.662	7.174
Ctrl1_159	5.442	1.238	3.122	8.829	2.608	6.808
Ctrl1_160	6.183	1.682	2.551	8.280	2.256	8.403
Ctrl1_161	5.784	2.348	4.024	9.602	2.240	7.775
Ctrl1_162	5.187	1.481	2.924	8.268	2.488	6.173
Ctrl1_163	5.517	1.395	2.562	7.745	2.262	7.161
Ctrl1_164	5.919	1.193	2.880	8.860	2.442	7.550
Ctrl1_165	5.632	1.330	2.711	8.444	2.432	6.635
Ctrl1_166	7.456	1.403	3.213	8.797	1.929	7.744
Ctrl1_167	5.826	1.626	2.851	8.549	2.948	6.500
Ctrl1_168	5.915	1.638	3.035	8.373	2.486	6.353
Ctrl1_169	5.048	1.028	2.663	7.097	2.330	6.670
Ctrl1_170	5.879	1.607	2.724	7.977	2.466	7.331
Ctrl1_171	6.780	1.267	2.148	7.369	2.630	7.968
Ctrl1_172	5.063	1.355	2.787	7.942	2.046	6.223
Ctrl1_173	5.511	1.504	2.455	7.946	1.655	7.172
Ctrl1_174	6.052	1.523	3.346	8.766	2.372	6.606
Ctrl1_175	6.254	1.331	2.823	8.459	2.408	7.718
Ctrl1_176	4.948	1.434	2.645	7.795	2.285	7.594
Ctrl1_177	5.964	1.463	3.555	8.787	1.935	7.524
Ctrl1_178	6.012	1.383	3.491	8.620	2.146	8.495
Ctrl1_179	5.412	1.304	2.891	8.616	2.030	7.429
Ctrl1_180	6.084	1.130	2.653	8.399	1.961	7.890
Ctrl1_181	6.654	1.719	3.319	8.207	2.861	7.937
Ctrl1_182	6.068	1.252	2.787	8.474	2.547	7.139
Ctrl1_183	6.080	1.699	3.135	8.780	2.507	7.510
Ctrl1_184	5.932	1.285	2.723	7.882	2.214	6.512
Ctrl1_185	4.728	1.472	3.126	8.296	2.615	7.084
Ctrl1_186	6.147	1.306	2.280	7.196	2.323	7.981
Ctrl1_187	5.832	1.363	3.155	8.597	2.552	7.223
Ctrl1_188	6.423	1.878	3.256	8.873	2.608	6.357
Ctrl1_189	5.746	1.385	2.434	7.272	2.498	7.285
Ctrl1_190	5.952	1.676	3.276	8.101	1.935	7.338
Ctrl1_191	5.751	1.599	2.763	8.785	2.693	7.176
Ctrl1_192	5.476	1.449	3.077	8.204	2.241	7.014
Ctrl1_193	6.965	1.789	3.418	8.986	2.476	7.126
Ctrl1_194	5.439	1.777	2.795	7.813	2.650	7.518
Ctrl1_195	5.846	1.396	3.180	8.969	2.283	7.868
Ctrl1_196	5.239	1.178	1.950	7.225	2.043	7.596
Ctrl1_197	5.918	1.587	3.269	7.807	2.271	7.265
Ctrl1_198	6.516	1.998	3.474	8.552	2.245	8.084
Ctrl1_199	6.185	1.285	3.081	8.285	2.492	7.332
Ctrl1_1100	6.551	1.930	3.105	7.183	2.494	7.754
Ctrl1_1101	6.490	1.741	3.031	7.915	2.708	7.808
Ctrl1_1102	4.723	1.238	2.783	7.068	2.007	6.291
Ctrl1_1103	5.642	1.467	3.067	7.694	2.536	7.614
Ctrl1_1104	6.794	1.432	3.289	8.001	2.446	7.587
Ctrl1_1105	5.952	1.532	3.813	8.670	2.215	7.299
Ctrl1_1106	5.790	1.321	2.845	8.136	2.780	7.394
Ctrl1_1107	5.142	1.187	2.575	7.601	1.940	5.721
Ctrl1_1108	6.400	1.173	2.824	8.543	2.311	8.099
Ctrl1_1109	6.364	1.283	2.671	8.822	3.224	7.786
Ctrl1_1110	5.451	1.594	2.292	8.439	2.190	7.554
Ctrl1_1111	5.777	1.391	2.789	9.524	2.933	6.780
Ctrl1_1112	6.481	1.498	2.492	8.427	2.405	7.395
Ctrl1_1113	5.269	1.599	3.102	8.694	2.843	6.157
Ctrl1_1114	5.062	1.219	2.889	8.223	2.086	7.043
Ctrl1_1115	6.006	1.162	3.154	9.836	2.532	7.172
Ctrl1_1116	5.442	1.325	2.665	7.392	2.132	6.500
Ctrl1_1117	5.999	1.888	3.289	7.835	2.383	7.930
Ctrl1_1118	5.329	1.311	3.143	8.102	2.322	7.265
Ctrl1_1119	5.451	1.231	2.432	6.707	2.226	6.918
Ctrl1_1120	4.653	1.417	2.791	7.158	2.123	6.566
Ctrl1_1121	5.913	1.255	3.273	7.395	2.191	7.108
Ctrl1_1122	5.208	1.133	3.368	7.535	1.905	6.305
Ctrl1_1123	5.491	1.763	2.434	7.876	2.505	7.127
