"","status","family","pval","qval","gene_short_name","num_cells_expressed","use_for_ordering"
"NUFIP2","OK","negbinomial.size",0.239297562144761,0.595834248058715,"NUFIP2",70,FALSE
"KANSL1-AS1","OK","negbinomial.size",0.239350754230721,0.595834248058715,"KANSL1-AS1",78,FALSE
"RNF126","OK","negbinomial.size",0.239273039848301,0.595834248058715,"RNF126",425,FALSE
"ZNF700","OK","negbinomial.size",0.239250093896874,0.595834248058715,"ZNF700",15,FALSE
"AC026806.2","OK","negbinomial.size",0.239278013045846,0.595834248058715,"AC026806.2",14,FALSE
"C9orf85","OK","negbinomial.size",0.239496454396349,0.596054660249434,"C9orf85",98,FALSE
"RPS12","OK","negbinomial.size",0.239717289894432,0.596177414504921,"RPS12",2621,TRUE
"TARSL2","OK","negbinomial.size",0.239674453851079,0.596177414504921,"TARSL2",99,FALSE
"SRCAP","OK","negbinomial.size",0.239716335491992,0.596177414504921,"SRCAP",77,FALSE
"REEP5","OK","negbinomial.size",0.240073048578688,0.596287219509086,"REEP5",693,TRUE
"POLD2","OK","negbinomial.size",0.24006397153548,0.596287219509086,"POLD2",163,FALSE
"PPP2R4","OK","negbinomial.size",0.24010452960478,0.596287219509086,"PPP2R4",111,FALSE
"ATAD5","OK","negbinomial.size",0.239946763800816,0.596287219509086,"ATAD5",18,FALSE
"SRSF2","OK","negbinomial.size",0.239958110989725,0.596287219509086,"SRSF2",1041,FALSE
"CBR1","OK","negbinomial.size",0.239913362750124,0.596287219509086,"CBR1",316,FALSE
"FOXN2","OK","negbinomial.size",0.240319340877679,0.596678592064865,"FOXN2",52,FALSE
"C4orf32","OK","negbinomial.size",0.240555105843002,0.596979686751743,"C4orf32",84,FALSE
"SLC43A3","OK","negbinomial.size",0.240533112298899,0.596979686751743,"SLC43A3",77,FALSE
"PSMB2","OK","negbinomial.size",0.241659894726194,0.59721621104453,"PSMB2",574,FALSE
"RPL5","OK","negbinomial.size",0.241180644481654,0.59721621104453,"RPL5",2569,FALSE
"SOS1","OK","negbinomial.size",0.241480415577212,0.59721621104453,"SOS1",41,FALSE
"CAB39","OK","negbinomial.size",0.240966816879128,0.59721621104453,"CAB39",80,FALSE
"ANO10","OK","negbinomial.size",0.241653018400872,0.59721621104453,"ANO10",35,FALSE
"GPR160","OK","negbinomial.size",0.241724191038631,0.59721621104453,"GPR160",33,FALSE
"LPP","OK","negbinomial.size",0.241178296247127,0.59721621104453,"LPP",104,FALSE
"ATXN1","OK","negbinomial.size",0.241084323399091,0.59721621104453,"ATXN1",84,FALSE
"TRAF3IP2","OK","negbinomial.size",0.241352574562589,0.59721621104453,"TRAF3IP2",29,FALSE
"ENHO","OK","negbinomial.size",0.240764553449328,0.59721621104453,"ENHO",26,TRUE
"URM1","OK","negbinomial.size",0.241453682078684,0.59721621104453,"URM1",335,FALSE
"LACC1","OK","negbinomial.size",0.241795823075374,0.59721621104453,"LACC1",15,FALSE
"TNFSF13B","OK","negbinomial.size",0.241212466068383,0.59721621104453,"TNFSF13B",428,TRUE
"LRRC28","OK","negbinomial.size",0.241767097548928,0.59721621104453,"LRRC28",84,FALSE
"AXIN1","OK","negbinomial.size",0.241394881068855,0.59721621104453,"AXIN1",52,FALSE
"MED1","OK","negbinomial.size",0.241477023774625,0.59721621104453,"MED1",61,FALSE
"C17orf80","OK","negbinomial.size",0.241649833855138,0.59721621104453,"C17orf80",14,FALSE
"TTI1","OK","negbinomial.size",0.241605386530233,0.59721621104453,"TTI1",35,FALSE
"DDX27","OK","negbinomial.size",0.240867861254837,0.59721621104453,"DDX27",236,FALSE
"ZNF430","OK","negbinomial.size",0.240838081409542,0.59721621104453,"ZNF430",157,FALSE
"EVI5","OK","negbinomial.size",0.242107976656567,0.59764572499644,"EVI5",32,FALSE
"RUNDC1","OK","negbinomial.size",0.242111731926108,0.59764572499644,"RUNDC1",57,FALSE
"RUVBL2","OK","negbinomial.size",0.242141655936897,0.59764572499644,"RUVBL2",149,FALSE
"RAB3GAP2","OK","negbinomial.size",0.242355541859326,0.598032084834134,"RAB3GAP2",83,FALSE
"TFRC","OK","negbinomial.size",0.242543606498509,0.598108829166835,"TFRC",82,FALSE
"YAE1D1","OK","negbinomial.size",0.242546034338025,0.598108829166835,"YAE1D1",34,FALSE
"PFAS","OK","negbinomial.size",0.242558711022876,0.598108829166835,"PFAS",15,FALSE
"MTA3","OK","negbinomial.size",0.242721477066537,0.598368690981051,"MTA3",36,FALSE
"SMCR5","OK","negbinomial.size",0.242816982030603,0.598462653891544,"SMCR5",25,FALSE
"GIN1","OK","negbinomial.size",0.242968393413919,0.598552895469016,"GIN1",20,FALSE
"CEP41","OK","negbinomial.size",0.242940981368254,0.598552895469016,"CEP41",22,FALSE
"PPP1R10","OK","negbinomial.size",0.243092946257196,0.598718290876248,"PPP1R10",149,FALSE
"SREK1","OK","negbinomial.size",0.2433132860221,0.598978032728625,"SREK1",187,FALSE
"ZMAT1","OK","negbinomial.size",0.243261475420252,0.598978032728625,"ZMAT1",39,FALSE
"C4orf48","OK","negbinomial.size",0.243429284073258,0.599122155845157,"C4orf48",420,TRUE
"CTDSPL","OK","negbinomial.size",0.243519968481739,0.599146900431591,"CTDSPL",25,TRUE
"GPR82","OK","negbinomial.size",0.243611704816834,0.599146900431591,"GPR82",61,FALSE
"PYCRL","OK","negbinomial.size",0.243596356015273,0.599146900431591,"PYCRL",22,TRUE
"ZKSCAN3","OK","negbinomial.size",0.243698642127314,0.599219391677347,"ZKSCAN3",15,FALSE
"FIGNL1","OK","negbinomial.size",0.243845630049061,0.599439469625555,"FIGNL1",20,FALSE
"MGMT","OK","negbinomial.size",0.244071528203198,0.599853381122543,"MGMT",402,FALSE
"CAT","OK","negbinomial.size",0.244253733136936,0.600159738254469,"CAT",370,TRUE
"PHF11","OK","negbinomial.size",0.244414470769313,0.600413215826241,"PHF11",355,FALSE
"RP11-109G23.3","OK","negbinomial.size",0.244641971234277,0.600822005250766,"RP11-109G23.3",33,FALSE
"LST1","OK","negbinomial.size",0.244753728260957,0.600822005250766,"LST1",941,TRUE
"USP11","OK","negbinomial.size",0.24473900381556,0.600822005250766,"USP11",110,FALSE
"METAP1","OK","negbinomial.size",0.24507003283879,0.601456884547634,"METAP1",111,FALSE
"IL6ST","OK","negbinomial.size",0.245153907953991,0.601521165210404,"IL6ST",78,FALSE
"FAM188A","OK","negbinomial.size",0.245387067962021,0.60181005284759,"FAM188A",46,FALSE
"RAB11B","OK","negbinomial.size",0.245377950658226,0.60181005284759,"RAB11B",376,FALSE
"ST3GAL3","OK","negbinomial.size",0.245659767214844,0.601912606324341,"ST3GAL3",26,FALSE
"DCAF7","OK","negbinomial.size",0.24555246837185,0.601912606324341,"DCAF7",209,FALSE
"SNRPB","OK","negbinomial.size",0.245630600309604,0.601912606324341,"SNRPB",916,FALSE
"ZNF274","OK","negbinomial.size",0.245548146485426,0.601912606324341,"ZNF274",149,FALSE
"ATG3","OK","negbinomial.size",0.24609433019712,0.602021476287025,"ATG3",561,TRUE
"OFD1","OK","negbinomial.size",0.245767333131813,0.602021476287025,"OFD1",252,TRUE
"MORF4L2","OK","negbinomial.size",0.246063306965,0.602021476287025,"MORF4L2",258,FALSE
"IL7","OK","negbinomial.size",0.24628151302651,0.602021476287025,"IL7",18,FALSE
"MRPS16","OK","negbinomial.size",0.246093973643321,0.602021476287025,"MRPS16",315,FALSE
"CACNA1C-AS2","OK","negbinomial.size",0.24605643965663,0.602021476287025,"CACNA1C-AS2",21,FALSE
"PLD2","OK","negbinomial.size",0.246152825039442,0.602021476287025,"PLD2",21,FALSE
"CBX4","OK","negbinomial.size",0.245986125077899,0.602021476287025,"CBX4",45,FALSE
"ZNF211","OK","negbinomial.size",0.246201395905092,0.602021476287025,"ZNF211",42,FALSE
"KCTD17","OK","negbinomial.size",0.246237830623936,0.602021476287025,"KCTD17",47,FALSE
"UQCC2","OK","negbinomial.size",0.246418384383469,0.602214884544366,"UQCC2",234,FALSE
"PNPLA4","OK","negbinomial.size",0.246711077820141,0.602742216896729,"PNPLA4",59,FALSE
"SOGA1","OK","negbinomial.size",0.246749762555824,0.602742216896729,"SOGA1",17,FALSE
"MFSD7","OK","negbinomial.size",0.246874105377523,0.602904723858737,"MFSD7",21,FALSE
"ARMC2","OK","negbinomial.size",0.246936280038433,0.602915366012825,"ARMC2",24,FALSE
"PIGG","OK","negbinomial.size",0.247197685399004,0.603129963346002,"PIGG",63,FALSE
"COMMD8","OK","negbinomial.size",0.247161838479412,0.603129963346002,"COMMD8",323,FALSE
"RP11-467D6.1","OK","negbinomial.size",0.247158894340973,0.603129963346002,"RP11-467D6.1",22,FALSE
"ESD","OK","negbinomial.size",0.247375953691506,0.603423729846789,"ESD",259,FALSE
"MOGS","OK","negbinomial.size",0.247477801068171,0.603530989134445,"MOGS",66,FALSE
"PIGX","OK","negbinomial.size",0.248169000024844,0.604804654016787,"PIGX",141,FALSE
"MED30","OK","negbinomial.size",0.248174061616593,0.604804654016787,"MED30",333,FALSE
"BTBD11","OK","negbinomial.size",0.248117625891744,0.604804654016787,"BTBD11",27,FALSE
"SMIM4","OK","negbinomial.size",0.248272212571971,0.604863836603922,"SMIM4",79,FALSE
"DIRC2","OK","negbinomial.size",0.248314354094878,0.604863836603922,"DIRC2",24,FALSE
"LRIF1","OK","negbinomial.size",0.248528299881495,0.605017418707809,"LRIF1",109,FALSE
"ACSL6","OK","negbinomial.size",0.248530035493538,0.605017418707809,"ACSL6",54,FALSE
"GCLC","OK","negbinomial.size",0.248569606320179,0.605017418707809,"GCLC",23,FALSE
"C1GALT1C1","OK","negbinomial.size",0.248609478247311,0.605017418707809,"C1GALT1C1",67,FALSE
"ZNF638","OK","negbinomial.size",0.248891204826763,0.605561708803892,"ZNF638",104,FALSE
"TLK1","OK","negbinomial.size",0.249115753268517,0.605966660854699,"TLK1",61,FALSE
"KCNN4","OK","negbinomial.size",0.249202751359913,0.606036914920982,"KCNN4",57,FALSE
"CYP20A1","OK","negbinomial.size",0.249437129355725,0.60646546629086,"CYP20A1",126,FALSE
"RP11-611L7.1","OK","negbinomial.size",0.249776597256758,0.606583687981712,"RP11-611L7.1",30,FALSE
"ZXDA","OK","negbinomial.size",0.249730222968752,0.606583687981712,"ZXDA",17,FALSE
"TNFSF8","OK","negbinomial.size",0.249655368677498,0.606583687981712,"TNFSF8",36,FALSE
"FKBP2","OK","negbinomial.size",0.249773728454232,0.606583687981712,"FKBP2",364,FALSE
"SPHK2","OK","negbinomial.size",0.249716157062078,0.606583687981712,"SPHK2",68,FALSE
"MZF1","OK","negbinomial.size",0.249934462313755,0.606825744588553,"MZF1",73,FALSE
"COPS7B","OK","negbinomial.size",0.250148476316487,0.607203983014042,"COPS7B",106,FALSE
"EXT1","OK","negbinomial.size",0.250217307075286,0.607229713330483,"EXT1",16,FALSE
"NOP9","OK","negbinomial.size",0.250371426280002,0.60739016047923,"NOP9",30,FALSE
"DUS1L","OK","negbinomial.size",0.250399913684332,0.60739016047923,"DUS1L",81,FALSE
"VMAC","OK","negbinomial.size",0.250465432037706,0.607407796578884,"VMAC",66,FALSE
"SNX27","OK","negbinomial.size",0.25102764046623,0.607922952805818,"SNX27",110,FALSE
"COG2","OK","negbinomial.size",0.251019413102426,0.607922952805818,"COG2",104,FALSE
"CCDC104","OK","negbinomial.size",0.250904093003147,0.607922952805818,"CCDC104",201,TRUE
"CRCP","OK","negbinomial.size",0.250899533557297,0.607922952805818,"CRCP",47,FALSE
"LMO2","OK","negbinomial.size",0.250948463152887,0.607922952805818,"LMO2",67,TRUE
"PHKG2","OK","negbinomial.size",0.250756213600654,0.607922952805818,"PHKG2",167,FALSE
"ZNF322","OK","negbinomial.size",0.251255442957451,0.608156537549998,"ZNF322",18,FALSE
"USP9X","OK","negbinomial.size",0.251398571152974,0.608156537549998,"USP9X",82,FALSE
"AP4E1","OK","negbinomial.size",0.251302100736129,0.608156537549998,"AP4E1",15,FALSE
"ACSM3","OK","negbinomial.size",0.251415691731688,0.608156537549998,"ACSM3",31,FALSE
"UBTF","OK","negbinomial.size",0.251314641095802,0.608156537549998,"UBTF",145,FALSE
"JMJD4","OK","negbinomial.size",0.251623183296055,0.608376201115526,"JMJD4",67,FALSE
"TXNDC17","OK","negbinomial.size",0.251593369280718,0.608376201115526,"TXNDC17",293,FALSE
"PLEKHO2","OK","negbinomial.size",0.25181365732503,0.60869560004298,"PLEKHO2",78,FALSE
"ARIH2","OK","negbinomial.size",0.25211155309446,0.608992188016915,"ARIH2",146,FALSE
"SLC35A5","OK","negbinomial.size",0.25207052438633,0.608992188016915,"SLC35A5",53,FALSE
"PJA2","OK","negbinomial.size",0.252065984051577,0.608992188016915,"PJA2",184,FALSE
"NRF1","OK","negbinomial.size",0.25246890097394,0.609567482153956,"NRF1",48,FALSE
"RPS2","OK","negbinomial.size",0.252525078913031,0.609567482153956,"RPS2",2629,FALSE
"HSPBP1","OK","negbinomial.size",0.252479749993711,0.609567482153956,"HSPBP1",117,FALSE
"YTHDF1","OK","negbinomial.size",0.252769914526898,0.610017280418073,"YTHDF1",55,FALSE
"HDDC2","OK","negbinomial.size",0.253094616019652,0.610377117449799,"HDDC2",378,FALSE
"MSRB2","OK","negbinomial.size",0.253074154252999,0.610377117449799,"MSRB2",158,TRUE
"TPT1-AS1","OK","negbinomial.size",0.253083075365619,0.610377117449799,"TPT1-AS1",69,FALSE
"ZNF615","OK","negbinomial.size",0.253312456287959,0.610761224085743,"ZNF615",14,FALSE
"CCDC23","OK","negbinomial.size",0.253460609135857,0.6108359676609,"CCDC23",320,FALSE
"ZNF101","OK","negbinomial.size",0.253445781026496,0.6108359676609,"ZNF101",158,TRUE
"SLC35B4","OK","negbinomial.size",0.253710620878331,0.611102937501554,"SLC35B4",36,FALSE
"SLC25A16","OK","negbinomial.size",0.253747192115624,0.611102937501554,"SLC25A16",23,FALSE
"MOB3A","OK","negbinomial.size",0.253635193867739,0.611102937501554,"MOB3A",257,FALSE
"CTC-228N24.3","OK","negbinomial.size",0.254269428706696,0.611936672640994,"CTC-228N24.3",88,FALSE
"ZNF830","OK","negbinomial.size",0.254227568516413,0.611936672640994,"ZNF830",116,FALSE
"POLD1","OK","negbinomial.size",0.254200905723561,0.611936672640994,"POLD1",35,FALSE
"CEACAM3","OK","negbinomial.size",0.254450481532714,0.612231107850287,"CEACAM3",32,FALSE
"C7orf13","OK","negbinomial.size",0.254525320345057,0.612269905549771,"C7orf13",15,FALSE
"SAP30","OK","negbinomial.size",0.254736868473571,0.612496210385612,"SAP30",20,FALSE
"RP11-1094M14.11","OK","negbinomial.size",0.254679865504695,0.612496210385612,"RP11-1094M14.11",161,FALSE
"TBL1XR1","OK","negbinomial.size",0.2548793205839,0.612574960304575,"TBL1XR1",113,FALSE
"LONP2","OK","negbinomial.size",0.254887107092592,0.612574960304575,"LONP2",128,FALSE
"RPL21","OK","negbinomial.size",0.255210549507969,0.613210970108089,"RPL21",2619,TRUE
"POMC","OK","negbinomial.size",0.25529281134835,0.613267320142961,"POMC",165,FALSE
"SLC1A4","OK","negbinomial.size",0.255659067979917,0.613346077433577,"SLC1A4",24,FALSE
"PGM2","OK","negbinomial.size",0.255783038310901,0.613346077433577,"PGM2",74,FALSE
"UBE2K","OK","negbinomial.size",0.255494816458059,0.613346077433577,"UBE2K",187,FALSE
"ZNF248","OK","negbinomial.size",0.255690861364756,0.613346077433577,"ZNF248",19,FALSE
"DNAAF2","OK","negbinomial.size",0.255725148969197,0.613346077433577,"DNAAF2",141,FALSE
"ATXN3","OK","negbinomial.size",0.255831547714792,0.613346077433577,"ATXN3",142,FALSE
"RTFDC1","OK","negbinomial.size",0.255854951748759,0.613346077433577,"RTFDC1",557,FALSE
"ZNF831","OK","negbinomial.size",0.255540606564162,0.613346077433577,"ZNF831",14,FALSE
"SLC35E1","OK","negbinomial.size",0.255445256092667,0.613346077433577,"SLC35E1",68,FALSE
"NUDT8","OK","negbinomial.size",0.256085832427165,0.613758460250627,"NUDT8",27,FALSE
"DENND6A","OK","negbinomial.size",0.256185605601337,0.61385650165688,"DENND6A",39,FALSE
"TPR","OK","negbinomial.size",0.256885497055611,0.614187373804943,"TPR",418,FALSE
"GMDS","OK","negbinomial.size",0.256971568077385,0.614187373804943,"GMDS",76,FALSE
"NDUFA5","OK","negbinomial.size",0.256925835538251,0.614187373804943,"NDUFA5",446,FALSE
"RELA","OK","negbinomial.size",0.25650434412491,0.614187373804943,"RELA",161,FALSE
"AMN1","OK","negbinomial.size",0.256823486891208,0.614187373804943,"AMN1",44,FALSE
"MAN2C1","OK","negbinomial.size",0.256795633986049,0.614187373804943,"MAN2C1",85,FALSE
"FOPNL","OK","negbinomial.size",0.256743058002959,0.614187373804943,"FOPNL",145,FALSE
"UTP6","OK","negbinomial.size",0.256531112297162,0.614187373804943,"UTP6",148,FALSE
"TMUB2","OK","negbinomial.size",0.256874600049885,0.614187373804943,"TMUB2",144,FALSE
"R3HDM4","OK","negbinomial.size",0.256570680619506,0.614187373804943,"R3HDM4",293,FALSE
"ZNF429","OK","negbinomial.size",0.256800336548753,0.614187373804943,"ZNF429",47,FALSE
"STOML2","OK","negbinomial.size",0.257478772111578,0.614976783229394,"STOML2",340,FALSE
"REXO4","OK","negbinomial.size",0.257421077165319,0.614976783229394,"REXO4",151,FALSE
"PPP6R1","OK","negbinomial.size",0.257391567024398,0.614976783229394,"PPP6R1",15,FALSE
"PPME1","OK","negbinomial.size",0.257610509064277,0.615084482384494,"PPME1",36,FALSE
"ZNF641","OK","negbinomial.size",0.257641831516635,0.615084482384494,"ZNF641",37,FALSE
"SRP19","OK","negbinomial.size",0.257974272621857,0.615737174387898,"SRP19",389,FALSE
"GDI2","OK","negbinomial.size",0.258092632485509,0.615878712027207,"GDI2",804,FALSE
"HSD17B7","OK","negbinomial.size",0.258636838846993,0.616236935401703,"HSD17B7",95,FALSE
"GUCY1B3","OK","negbinomial.size",0.258497389351405,0.616236935401703,"GUCY1B3",14,FALSE
"TRIM52","OK","negbinomial.size",0.258742489470022,0.616236935401703,"TRIM52",68,FALSE
"ZSCAN16","OK","negbinomial.size",0.258406174325535,0.616236935401703,"ZSCAN16",69,FALSE
"ZFAND3","OK","negbinomial.size",0.258809708170348,0.616236935401703,"ZFAND3",132,FALSE
"RAB32","OK","negbinomial.size",0.258504399740797,0.616236935401703,"RAB32",227,TRUE
"SLC25A43","OK","negbinomial.size",0.258547448177774,0.616236935401703,"SLC25A43",24,FALSE
"NCBP1","OK","negbinomial.size",0.258583464279562,0.616236935401703,"NCBP1",48,FALSE
"SFXN4","OK","negbinomial.size",0.258825391520721,0.616236935401703,"SFXN4",68,FALSE
"TRABD","OK","negbinomial.size",0.258833695536964,0.616236935401703,"TRABD",347,FALSE
"SH3GLB2","OK","negbinomial.size",0.258895728770406,0.616243930522209,"SH3GLB2",41,FALSE
"S100Z","OK","negbinomial.size",0.25906224697097,0.616244908479867,"S100Z",54,TRUE
"ENDOG","OK","negbinomial.size",0.25913252049139,0.616244908479867,"ENDOG",40,FALSE
"CPSF6","OK","negbinomial.size",0.25907730858224,0.616244908479867,"CPSF6",214,FALSE
"NPIPA1","OK","negbinomial.size",0.259049333640968,0.616244908479867,"NPIPA1",16,FALSE
"ARL2","OK","negbinomial.size",0.259197160077971,0.616246645377355,"ARL2",305,FALSE
"RP5-1028K7.2","OK","negbinomial.size",0.259310537007656,0.616246645377355,"RP5-1028K7.2",47,TRUE
"ANAPC11","OK","negbinomial.size",0.259290295634122,0.616246645377355,"ANAPC11",652,FALSE
"FAM69A","OK","negbinomial.size",0.259577710839689,0.616600539552682,"FAM69A",51,FALSE
"RGS1","OK","negbinomial.size",0.259529938474053,0.616600539552682,"RGS1",277,TRUE
"AGMAT","OK","negbinomial.size",0.259911079107058,0.616947088021731,"AGMAT",43,FALSE
"USP24","OK","negbinomial.size",0.259862551022375,0.616947088021731,"USP24",75,FALSE
"WDR54","OK","negbinomial.size",0.260019414255419,0.616947088021731,"WDR54",197,TRUE
"PNN","OK","negbinomial.size",0.259916151346682,0.616947088021731,"PNN",361,FALSE
"FAM101B","OK","negbinomial.size",0.259967866675084,0.616947088021731,"FAM101B",48,FALSE
"LAX1","OK","negbinomial.size",0.260163274991603,0.617148005371347,"LAX1",30,FALSE
"MOB3B","OK","negbinomial.size",0.260295647860144,0.617321586510254,"MOB3B",15,FALSE
"SETD7","OK","negbinomial.size",0.26036761920581,0.617351872005044,"SETD7",29,FALSE
"GLT8D1","OK","negbinomial.size",0.260712652108059,0.617608254471341,"GLT8D1",138,FALSE
"ZNF33B","OK","negbinomial.size",0.260699029953586,0.617608254471341,"ZNF33B",57,FALSE
"TAOK1","OK","negbinomial.size",0.260571526671658,0.617608254471341,"TAOK1",57,FALSE
"TSPO","OK","negbinomial.size",0.260687875683635,0.617608254471341,"TSPO",1261,TRUE
"DNHD1","OK","negbinomial.size",0.260944237652755,0.618016468372231,"DNHD1",20,FALSE
"EFCAB2","OK","negbinomial.size",0.261339730433263,0.618493520788601,"EFCAB2",122,FALSE
"CIZ1","OK","negbinomial.size",0.261294751463551,0.618493520788601,"CIZ1",94,FALSE
"NIPA1","OK","negbinomial.size",0.261306822718034,0.618493520788601,"NIPA1",14,FALSE
"CTB-55O6.12","OK","negbinomial.size",0.261382906225102,0.618493520788601,"CTB-55O6.12",29,FALSE
"DCTD","OK","negbinomial.size",0.261471264658207,0.618562238624271,"DCTD",201,FALSE
"PAM16","OK","negbinomial.size",0.261907085614289,0.619312265030795,"PAM16",29,FALSE
"MFNG","OK","negbinomial.size",0.2619006005996,0.619312265030795,"MFNG",450,FALSE
"BCL7C","OK","negbinomial.size",0.262038451748218,0.619482424581822,"BCL7C",183,FALSE
"HMG20B","OK","negbinomial.size",0.262201612517348,0.619727655333388,"HMG20B",193,FALSE
"ZNF687","OK","negbinomial.size",0.262261071610893,0.619727725981959,"ZNF687",26,FALSE
"ABTB1","OK","negbinomial.size",0.262819189633988,0.620076733842596,"ABTB1",260,FALSE
"GMDS-AS1","OK","negbinomial.size",0.262682292020498,0.620076733842596,"GMDS-AS1",43,FALSE
"ZBTB22","OK","negbinomial.size",0.262782170423897,0.620076733842596,"ZBTB22",37,FALSE
"HINT3","OK","negbinomial.size",0.262658608950791,0.620076733842596,"HINT3",74,FALSE
"BTBD10","OK","negbinomial.size",0.262568695087758,0.620076733842596,"BTBD10",64,FALSE
"RPL19","OK","negbinomial.size",0.262792768022057,0.620076733842596,"RPL19",2624,FALSE
"TSHZ2","OK","negbinomial.size",0.262825006097456,0.620076733842596,"TSHZ2",107,TRUE
"ZNF589","OK","negbinomial.size",0.263036949884239,0.620436397510256,"ZNF589",21,FALSE
"RABGEF1","OK","negbinomial.size",0.263334006397824,0.62099661210233,"RABGEF1",19,FALSE
"KLF3","OK","negbinomial.size",0.263606032497606,0.621171705830555,"KLF3",283,FALSE
"SLC10A3","OK","negbinomial.size",0.263515872195898,0.621171705830555,"SLC10A3",56,FALSE
"STIM1","OK","negbinomial.size",0.263552470417936,0.621171705830555,"STIM1",93,FALSE
"FRG1B","OK","negbinomial.size",0.263646525700617,0.621171705830555,"FRG1B",274,FALSE
"SPRYD3","OK","negbinomial.size",0.263867389511187,0.621551646221518,"SPRYD3",63,FALSE
"HMGB3","OK","negbinomial.size",0.26420899778722,0.621965290275663,"HMGB3",32,FALSE
"EIF3D","OK","negbinomial.size",0.264139335897851,0.621965290275663,"EIF3D",1064,FALSE
"UBASH3A","OK","negbinomial.size",0.264221925193823,0.621965290275663,"UBASH3A",106,TRUE
"ZNF738","OK","negbinomial.size",0.264306785473638,0.622024635278514,"ZNF738",23,FALSE
"SLC15A4","OK","negbinomial.size",0.264598176017277,0.622569896098413,"SLC15A4",61,FALSE
"SRSF9","OK","negbinomial.size",0.264744393663713,0.622632958305187,"SRSF9",810,FALSE
"PXMP2","OK","negbinomial.size",0.264735709856929,0.622632958305187,"PXMP2",50,FALSE
"NCLN","OK","negbinomial.size",0.264924370089333,0.622775322653645,"NCLN",61,FALSE
"HAUS8","OK","negbinomial.size",0.264919193766672,0.622775322653645,"HAUS8",43,FALSE
"UBR7","OK","negbinomial.size",0.265030711407921,0.62288489036777,"UBR7",45,FALSE
"NQO1","OK","negbinomial.size",0.265092938941799,0.622890754232781,"NQO1",22,FALSE
"OMA1","OK","negbinomial.size",0.265323116839279,0.623291160711872,"OMA1",68,FALSE
"TRIT1","OK","negbinomial.size",0.265602260235357,0.623385183374816,"TRIT1",33,FALSE
"LTA","OK","negbinomial.size",0.265488434132897,0.623385183374816,"LTA",55,FALSE
"KPNB1","OK","negbinomial.size",0.265584433152844,0.623385183374816,"KPNB1",312,FALSE
"ID1","OK","negbinomial.size",0.265515394095453,0.623385183374816,"ID1",163,TRUE
"DDX28","OK","negbinomial.size",0.265758740446075,0.623612093918018,"DDX28",72,FALSE
"CCR5","OK","negbinomial.size",0.265893055888357,0.623620564746738,"CCR5",27,FALSE
"PPIP5K2","OK","negbinomial.size",0.265941757904559,0.623620564746738,"PPIP5K2",63,FALSE
"AGAP2","OK","negbinomial.size",0.265861806213075,0.623620564746738,"AGAP2",33,FALSE
"ZFAND6","OK","negbinomial.size",0.266150845091425,0.623970551396892,"ZFAND6",434,FALSE
"YKT6","OK","negbinomial.size",0.266263766404498,0.624094977762666,"YKT6",101,FALSE
"MCMBP","OK","negbinomial.size",0.266553307795796,0.624633234538104,"MCMBP",164,FALSE
"ELP3","OK","negbinomial.size",0.266754375308571,0.624865512548544,"ELP3",80,FALSE
"GPALPP1","OK","negbinomial.size",0.266772272906225,0.624865512548544,"GPALPP1",59,FALSE
"EEPD1","OK","negbinomial.size",0.267126332222403,0.625198418672769,"EEPD1",65,FALSE
"PPP2R5B","OK","negbinomial.size",0.267214168778724,0.625198418672769,"PPP2R5B",36,FALSE
"ACTR10","OK","negbinomial.size",0.267081113348019,0.625198418672769,"ACTR10",274,FALSE
"HIF1A","OK","negbinomial.size",0.26718246603193,0.625198418672769,"HIF1A",135,FALSE
"NPEPL1","OK","negbinomial.size",0.26703094369867,0.625198418672769,"NPEPL1",62,FALSE
"COPE","OK","negbinomial.size",0.267314724990777,0.625293394392962,"COPE",1155,FALSE
"HAGHL","OK","negbinomial.size",0.267494961650408,0.625574671471285,"HAGHL",71,FALSE
"MED18","OK","negbinomial.size",0.267976340086221,0.625998493373456,"MED18",17,FALSE
"CHMP3","OK","negbinomial.size",0.267951093208662,0.625998493373456,"CHMP3",459,FALSE
"CNPY4","OK","negbinomial.size",0.267848266038502,0.625998493373456,"CNPY4",60,FALSE
"ZNF674-AS1","OK","negbinomial.size",0.267894399598064,0.625998493373456,"ZNF674-AS1",16,FALSE
"GPCPD1","OK","negbinomial.size",0.267884261733896,0.625998493373456,"GPCPD1",138,FALSE
"NSUN4","OK","negbinomial.size",0.268597844362322,0.626626682300325,"NSUN4",39,FALSE
"GTF3C6","OK","negbinomial.size",0.268605798799621,0.626626682300325,"GTF3C6",394,FALSE
"PRKAB1","OK","negbinomial.size",0.26850532513725,0.626626682300325,"PRKAB1",52,FALSE
"PSMA3","OK","negbinomial.size",0.268392190469092,0.626626682300325,"PSMA3",401,FALSE
"LINC00665","OK","negbinomial.size",0.268506921467202,0.626626682300325,"LINC00665",52,FALSE
"LDOC1L","OK","negbinomial.size",0.268473175878164,0.626626682300325,"LDOC1L",22,FALSE
"FMO5","OK","negbinomial.size",0.268766380198034,0.626818928754818,"FMO5",23,FALSE
"TMEM63A","OK","negbinomial.size",0.268808424375867,0.626818928754818,"TMEM63A",136,FALSE
"THAP1","OK","negbinomial.size",0.268925898606838,0.626952665028417,"THAP1",116,FALSE
"ATP5J2","OK","negbinomial.size",0.269019961695158,0.627031774822777,"ATP5J2",857,FALSE
