nodeName	altName	nodeAttr[nodesPresent, ]
Rps23	NA	1
Rps24	NA	1
Rps25	NA	1
Rps26	NA	1
Rps27	NA	1
Rps27l	NA	1
Rps28	NA	1
Rps29	NA	3
Rps3a	NA	1
Rps5	NA	1
Rps6	NA	1
Rps7	NA	2
Rps8	NA	1
Rpsa	NA	1
Rrm1	NA	24
Rrm2	NA	24
Rrn3	NA	10
Rrp1	NA	5
Rrp12	NA	2
Rrp1b	NA	5
Rrp7a	NA	2
Rrp8	NA	2
Rrp9	NA	2
Rrs1	NA	5
Rsl1d1	NA	2
Rsl24d1	NA	5
Rtn3	NA	29
Rwdd1	NA	63
Rwdd4	NA	63
Sap30	NA	195
Sart1	NA	16
Scap	NA	60
Sco2	NA	183
Sdcbp	NA	76
Sema4b	NA	35
Sema7a	NA	35
Senp6	NA	140
Serbp1	NA	167
Sfr1	NA	80
Sh3rf3	NA	4
Shmt1	NA	26
Shmt2	NA	26
Shq1	NA	108
Sil1	NA	3
Slbp	NA	65
Slc16a1	NA	112
Slc16a10	NA	112
Slc2a1	NA	75
Slc35f2	NA	153
Slc38a1	NA	173
Slc38a2	NA	173
Slc39a10	NA	190
Slc39a6	NA	190
Slc3a2	NA	90
Slc7a5	NA	90
Slc7a6os	NA	25
Slmo2	NA	102
Smarcad1	NA	142
Smcr8	NA	84
Smn1	NA	17
Smyd2	NA	36
Smyd3	NA	36
Smyd5	NA	36
Snapc2	NA	18
Snapc5	NA	18
Snd1	NA	167
Snrpd1	NA	16
Snupn	NA	17
Snx3	NA	85
Snx9	NA	12
Spata5	NA	87
Spry1	NA	115
Sptlc1	NA	194
Sqle	NA	61
Sqstm1	NA	141
Srebf2	NA	60
Srfbp1	NA	2
Srm	NA	201
Srp14	NA	1
Srp19	NA	1
Srpr	NA	1
Ssb	NA	25
Ssna1	NA	27
Ssr4	NA	1
Stau1	NA	100
Strap	NA	17
Stub1	NA	4
Surf6	NA	1
Swap70	NA	44
Syncrip	NA	29
