fromNode	toNode	weight	direction	fromAltName	toAltName
Alyref	Syncrip	1	undirected	NA	NA
Alyref	Upf3b	1	undirected	NA	NA
Alyref	Zc3h8	1	undirected	NA	NA
Ambra1	Batf	1	undirected	NA	NA
Ambra1	Cdc27	1	undirected	NA	NA
Ambra1	Fosl1	1	undirected	NA	NA
Ambra1	Hdac7	1	undirected	NA	NA
Ambra1	Hsp90aa1	1	undirected	NA	NA
Ambra1	Hsp90ab1	1	undirected	NA	NA
Ambra1	Hsp90b1	1	undirected	NA	NA
Ambra1	Hspa5	1	undirected	NA	NA
Ambra1	Hspa9	1	undirected	NA	NA
Ambra1	Hsph1	1	undirected	NA	NA
Ambra1	Phf6	1	undirected	NA	NA
Ambra1	Trap1	1	undirected	NA	NA
Amd2	Mat2a	1	undirected	NA	NA
Amd2	Srm	1	undirected	NA	NA
Anapc10	Appbp2	1	undirected	NA	NA
Anapc10	Asb6	1	undirected	NA	NA
Anapc10	Aurkaip1	1	undirected	NA	NA
Anapc10	Btbd1	1	undirected	NA	NA
Anapc10	Btrc	1	undirected	NA	NA
Anapc10	Cblb	1	undirected	NA	NA
Anapc10	Cdc27	1	undirected	NA	NA
Anapc10	Cdk4	1	undirected	NA	NA
Anapc10	Cdk6	1	undirected	NA	NA
Anapc10	Fau	1	undirected	NA	NA
Anapc10	Fbxo11	1	undirected	NA	NA
Anapc10	Fbxo30	1	undirected	NA	NA
Anapc10	Fbxw11	1	undirected	NA	NA
Anapc10	Fzr1	1	undirected	NA	NA
Anapc10	Glmn	1	undirected	NA	NA
Anapc10	Ift27	1	undirected	NA	NA
Anapc10	Kbtbd8	1	undirected	NA	NA
Anapc10	Klhl11	1	undirected	NA	NA
Anapc10	Klhl9	1	undirected	NA	NA
Anapc10	Lrrc41	1	undirected	NA	NA
Anapc10	Mad2l2	1	undirected	NA	NA
Anapc10	Mcph1	1	undirected	NA	NA
Anapc10	Psmb5	1	undirected	NA	NA
Anapc10	Psmb6	1	undirected	NA	NA
Anapc10	Psmb7	1	undirected	NA	NA
Anapc10	Psmc2	1	undirected	NA	NA
Anapc10	Psmc5	1	undirected	NA	NA
Anapc10	Psmd4	1	undirected	NA	NA
Anapc10	Psme3	1	undirected	NA	NA
Anapc10	Rfwd2	1	undirected	NA	NA
Anapc10	Rlim	1	undirected	NA	NA
Anapc10	Rnf115	1	undirected	NA	NA
Anapc10	Rnf126	1	undirected	NA	NA
Anapc10	Rnf25	1	undirected	NA	NA
Anapc10	Rpap3	1	undirected	NA	NA
Anapc10	Stub1	1	undirected	NA	NA
Anapc10	Tbl2	1	undirected	NA	NA
Anapc10	Tceb1	1	undirected	NA	NA
Anapc10	Tpst1	1	undirected	NA	NA
Anapc10	Trim32	1	undirected	NA	NA
Anapc10	Ttc4	1	undirected	NA	NA
Anapc10	Ube2a	1	undirected	NA	NA
Anapc10	Ube2j1	1	undirected	NA	NA
Anapc10	Ube2o	1	undirected	NA	NA
Anapc10	Ube2s	1	undirected	NA	NA
Anapc10	Ubox5	1	undirected	NA	NA
Anapc10	Vhl	1	undirected	NA	NA
Anapc10	Wdr77	1	undirected	NA	NA
Ankhd1	Ksr1	1	undirected	NA	NA
Ankhd1	Ltv1	1	undirected	NA	NA
Ankhd1	Mcph1	1	undirected	NA	NA
Ankhd1	Psmc2	1	undirected	NA	NA
Ankhd1	Psmc5	1	undirected	NA	NA
Ankhd1	Psmd4	1	undirected	NA	NA
Ankhd1	Relb	1	undirected	NA	NA
Ankhd1	Tceb1	1	undirected	NA	NA
Ankle2	Csnk1d	1	undirected	NA	NA
Ankle2	Csnk1e	1	undirected	NA	NA
Ankrd17	Ksr1	1	undirected	NA	NA
Ankrd17	Ltv1	1	undirected	NA	NA
Ankrd17	Mcph1	1	undirected	NA	NA
Ankrd17	Psmc2	1	undirected	NA	NA
Ankrd17	Psmc5	1	undirected	NA	NA
Ankrd17	Psmd4	1	undirected	NA	NA
Ankrd17	Relb	1	undirected	NA	NA
Ankrd17	Tceb1	1	undirected	NA	NA
Ankrd17	Ube2j1	1	undirected	NA	NA
Ankrd17	Ube2o	1	undirected	NA	NA
Ankrd52	Hdac7	1	undirected	NA	NA
Ankrd52	Ltv1	1	undirected	NA	NA
Ankrd52	Mcph1	1	undirected	NA	NA
Ankrd52	Psmc2	1	undirected	NA	NA
Ankrd52	Psmc5	1	undirected	NA	NA
Ankrd52	Psmd4	1	undirected	NA	NA
Ankrd52	Relb	1	undirected	NA	NA
Ankrd52	Tceb1	1	undirected	NA	NA
Apob	Hdlbp	1	undirected	NA	NA
Apob	Hsp90aa1	1	undirected	NA	NA
Apob	Hsp90ab1	1	undirected	NA	NA
Apob	Hsp90b1	1	undirected	NA	NA
Apob	Hspa1l	1	undirected	NA	NA
Apob	Hspa5	1	undirected	NA	NA
Apob	Hspa8	1	undirected	NA	NA
Apob	Ktn1	1	undirected	NA	NA
Apob	Ldlr	1	undirected	NA	NA
Apob	Lrp10	1	undirected	NA	NA
Apob	M6pr	1	undirected	NA	NA
Apob	Pdia6	1	undirected	NA	NA
Apob	Snx9	1	undirected	NA	NA
Apob	Tfrc	1	undirected	NA	NA
Apob	Trip10	1	undirected	NA	NA
Apob	Vimp	1	undirected	NA	NA
Apob	Wasl	1	undirected	NA	NA
Apopt1	Appbp2	1	undirected	NA	NA
Arhgap44	Bst2	1	undirected	NA	NA
Arl6	Rab11fip3	1	undirected	NA	NA
Arl6	Rab11fip4	1	undirected	NA	NA
Asb6	Btbd1	1	undirected	NA	NA
Asb6	Btrc	1	undirected	NA	NA
Asb6	Cblb	1	undirected	NA	NA
Asb6	Cdc27	1	undirected	NA	NA
Asb6	Fbxo11	1	undirected	NA	NA
Asb6	Fbxo30	1	undirected	NA	NA
Asb6	Fbxw11	1	undirected	NA	NA
Asb6	Fem1aa	1	undirected	NA	NA
Asb6	Fem1b	1	undirected	NA	NA
Asb6	Fem1c	1	undirected	NA	NA
Asb6	Fzr1	1	undirected	NA	NA
Asb6	Glmn	1	undirected	NA	NA
Asb6	Gm28048	1	undirected	NA	NA
Asb6	Kbtbd8	1	undirected	NA	NA
Asb6	Klhl11	1	undirected	NA	NA
Asb6	Klhl9	1	undirected	NA	NA
Asb6	Lrrc41	1	undirected	NA	NA
Asb6	Ltv1	1	undirected	NA	NA
Asb6	Mcph1	1	undirected	NA	NA
Asb6	Psmc2	1	undirected	NA	NA
Asb6	Psmc5	1	undirected	NA	NA
Asb6	Psmd4	1	undirected	NA	NA
Asb6	Relb	1	undirected	NA	NA
Asb6	Rlim	1	undirected	NA	NA
Asb6	Rnf115	1	undirected	NA	NA
Asb6	Rnf126	1	undirected	NA	NA
