probe_id gsym biotype
ASHG19A3A000331 MAMDC2-AS1 antisense
ASHG19A3A037553 MAMDC2-AS1 antisense
ASHG19A3A037554 MAMDC2-AS1 antisense
ASHG19A3A037555 MAMDC2-AS1 antisense
ASHG19A3A007104 MEG3 lincRNA
ASHG19A3A007145 MEG3 lincRNA
ASHG19A3A007146 MEG3 lincRNA
ASHG19A3A007147 MEG3 lincRNA
ASHG19A3A007764 MEG3 lincRNA
ASHG19A3A051142 MEG3 lincRNA
ASHG19A3A051784 MEG3 lincRNA
ASHG19A3A051785 MEG3 lincRNA
ASHG19A3A051786 MEG3 lincRNA
ASHG19A3A007677 MIR22HG lincRNA
ASHG19A3A007678 MIR22HG lincRNA
ASHG19A3A054987 MIR22HG lincRNA
ASHG19A3A054988 MIR22HG lincRNA
ASHG19A3A010540 MIR29B2CHG lincRNA
ASHG19A3A010543 MIR29B2CHG lincRNA
ASHG19A3A010544 MIR29B2CHG lincRNA
ASHG19A3A039292 MIR29B2CHG lincRNA
ASHG19A3A007582 MIR99AHG lincRNA
ASHG19A3A019068 MIR99AHG lincRNA
ASHG19A3A019069 MIR99AHG lincRNA
ASHG19A3A019070 MIR99AHG lincRNA
ASHG19A3A019071 MIR99AHG lincRNA
ASHG19A3A046591 NEAT1 lincRNA
ASHG19A3A046592 NEAT1 lincRNA
ASHG19A3A046593 NEAT1 lincRNA
CUST_20_PI426265844 NEAT1 lincRNA
ASHG19A3A025185 NOP14-AS1 antisense
ASHG19A3A025186 NOP14-AS1 antisense
ASHG19A3A025188 NOP14-AS1 antisense
ASHG19A3A055195 NOP14-AS1 antisense
ASHG19A3A027118 NR2F1-AS1 antisense
ASHG19A3A027119 NR2F1-AS1 antisense
ASHG19A3A027120 NR2F1-AS1 antisense
ASHG19A3A027121 NR2F1-AS1 antisense
ASHG19A3A027122 NR2F1-AS1 antisense
CUST_167_PI426073487 NR2F1-AS1 antisense
ASHG19A3A050830 PSMA3-AS1 antisense
ASHG19A3A050831 PSMA3-AS1 antisense
ASHG19A3A050832 PSMA3-AS1 antisense
ASHG19A3A051469 PSMA3-AS1 antisense
ASHG19A3A000402 SAMMSON lincRNA
ASHG19A3A022792 SAMMSON lincRNA
CUST_114_PI426073487 SAMMSON lincRNA
CUST_595_PI426073487 SAMMSON lincRNA
ASHG19A3A052653 SNHG14 antisense
ASHG19A3A052656 SNHG14 antisense
ASHG19A3A052659 SNHG14 antisense
ASHG19A3A052660 SNHG14 antisense
ASHG19A3A052661 SNHG14 antisense
ASHG19A3A052664 SNHG14 antisense
ASHG19A3A052665 SNHG14 antisense
ASHG19A3A052667 SNHG14 antisense
ASHG19A3A052668 SNHG14 antisense
ASHG19A3A052669 SNHG14 antisense
ASHG19A3A052670 SNHG14 antisense
ASHG19A3A000338 TTC28-AS1 antisense
ASHG19A3A020283 TTC28-AS1 antisense
ASHG19A3A020284 TTC28-AS1 antisense
ASHG19A3A020285 TTC28-AS1 antisense
ASHG19A3A000321 TUG1 bidirectional_promoter_lncRNA
ASHG19A3A007100 TUG1 bidirectional_promoter_lncRNA
ASHG19A3A019687 TUG1 bidirectional_promoter_lncRNA
ASHG19A3A020324 TUG1 bidirectional_promoter_lncRNA
ASHG19A3A020326 TUG1 bidirectional_promoter_lncRNA
ASHG19A3A000299 VLDLR-AS1 antisense
ASHG19A3A007180 VLDLR-AS1 antisense
ASHG19A3A037061 VLDLR-AS1 antisense
ASHG19A3A037062 VLDLR-AS1 antisense
ASHG19A3A007152 ZFAS1 antisense
ASHG19A3A007153 ZFAS1 antisense
ASHG19A3A007154 ZFAS1 antisense
ASHG19A3A017773 ZFAS1 antisense
ASHG19A3A018426 ZFAS1 antisense
ASHG19A3A018427 ZFAS1 antisense
