samID	pca1.A	pca1.B	ICI.score	subtype
HNSC-6436-01	-8.72197432290445	1.24632552139769	-9.96829984430214	A
HNSC-5624-01	-1.98803328504155	2.33778277094446	-4.32581605598601	A
HNSC-A6JT-01	-7.55235084538081	1.23537565960792	-8.78772650498874	A
HNSC-6953-01	-8.79013896340652	3.1485165480667	-11.9386555114732	A
HNSC-6220-01	-11.8367152567298	3.65159617169073	-15.4883114284205	A
HNSC-5436-01	-8.72874276936624	1.9912146309187	-10.7199574002849	A
HNSC-A61G-01	-17.0055017290242	2.17005215437983	-19.175553883404	A
HNSC-7086-01	-10.1166539347965	4.17462473283335	-14.2912786676299	A
HNSC-A465-01	-17.0983271341634	4.13053516846064	-21.2288623026241	A
HNSC-A6T8-01	-5.28129912492201	0.414342204238355	-5.69564132916036	A
HNSC-4725-01	-10.0544131894219	4.45250203224371	-14.5069152216656	A
HNSC-7183-01	-22.1070113834271	3.10536472531211	-25.2123761087392	A
HNSC-4730-01	-16.8650179642637	4.05128312643537	-20.9163010906991	A
HNSC-5631-01	-6.92106024167432	-1.16928951846386	-5.75177072321046	A
HNSC-A6I0-01	-14.0701774198686	1.07474874086712	-15.1449261607358	A
HNSC-A634-01	-11.6598961598657	-10.2788963643929	-1.38099979547283	A
HNSC-8634-01	-11.1113332287276	3.05886688268714	-14.1702001114148	A
HNSC-5442-01	-20.5951041242397	1.2657868988901	-21.8608910231298	A
HNSC-A5QA-01	-8.84249936805926	-3.14386696093579	-5.69863240712346	A
HNSC-4731-01	-9.75334312659292	2.50246171219437	-12.2558048387873	A
HNSC-7774-01	-9.55928397607198	1.43443072154718	-10.9937146976192	A
HNSC-5970-01	-3.59474701734627	2.36017625765912	-5.95492327500539	A
HNSC-A5Q6-01	-9.88208095286264	-0.619397644602309	-9.26268330826033	A
HNSC-4224-01	-8.56106315233172	0.590246939373618	-9.15131009170534	A
HNSC-A5HY-01	-13.4263459300444	-2.15379052121915	-11.2725554088252	A
HNSC-A6SX-01	-15.6043539753171	-0.0561506772368145	-15.5482032980802	A
HNSC-A6UO-01	-12.0601707495518	3.15527389795112	-15.2154446475029	A
HNSC-A61W-01	-16.0043684630435	1.73858831614356	-17.742956779187	A
HNSC-A6T6-01	-14.2177798106322	-2.9443216210925	-11.2734581895397	A
HNSC-7245-01	-11.9334956730002	4.39674885850417	-16.3302445315043	A
HNSC-A719-01	-11.3937703483548	2.54994265481096	-13.9437130031657	A
HNSC-A8ZB-01	-6.27001015751443	3.16420459714562	-9.43421475466005	A
HNSC-A47Z-01	-13.5102027156691	4.11492870169973	-17.6251314173688	A
HNSC-7253-01	-21.2966977546961	1.33790210721265	-22.6345998619088	A
HNSC-7095-01	-8.50248684512271	2.68831345064984	-11.1908002957725	A
HNSC-A50J-01	-11.2089066422385	3.36020733901687	-14.5691139812554	A
HNSC-A6T4-01	-11.6843883002684	3.00952253815329	-14.6939108384217	A
HNSC-7247-01	-7.58248842085855	0.133921649728272	-7.71641007058682	A
HNSC-5976-01	-6.39510478920557	1.07184031084899	-7.46694510005456	A
HNSC-A67A-01	-13.545583491919	1.35274109448109	-14.8983245864001	A
HNSC-4729-01	-5.5371909780882	3.0127803532868	-8.549971331375	A
HNSC-7065-01	-22.1984988410986	2.57419255343268	-24.7726913945312	A
HNSC-6493-01	-15.8704846532112	2.87444719680813	-18.7449318500194	A
HNSC-4075-01	-8.65856701194905	0.299275334554204	-8.95784234650326	A
HNSC-A7HJ-01	-10.5247164745837	2.1130499675124	-12.6377664420961	A
HNSC-7180-01	-17.2104947157025	3.38693064235046	-20.597425358053	A
HNSC-A8Z8-01	-10.1601292346591	1.24071054142832	-11.4008397760874	A
HNSC-A6T2-01	-12.9622616980875	0.909665689720138	-13.8719273878076	A
HNSC-5629-01	-13.2480414195867	1.43040007880372	-14.6784414983905	A
HNSC-A6T3-01	-21.4878843637792	3.288260077913	-24.7761444416922	A
HNSC-5247-01	-14.5393626076001	2.77560216508804	-17.3149647726882	A
HNSC-4722-01	-5.2252060772995	1.49898103733497	-6.72418711463447	A
HNSC-7269-01	-11.735991326056	-0.874006081781578	-10.8619852442745	A
HNSC-6024-01	-11.5984763011062	1.69181263378547	-13.2902889348917	A
HNSC-4076-01	-15.7804469547475	2.67266180971828	-18.4531087644658	A
HNSC-A4II-01	-3.19733791893124	2.64509156452757	-5.84242948345882	B
HNSC-6936-01	-3.32414237259991	-1.06856934820137	-2.25557302439854	B
HNSC-5327-01	4.74126657302347	1.59177415788842	3.14949241513504	B
HNSC-5331-01	7.23037888673945	1.97477626202041	5.25560262471904	B
HNSC-5356-01	0.575414611517125	1.94848488528526	-1.37307027376813	B
HNSC-A6WW-01	2.71463653885605	-4.48644746564189	7.20108400449794	B
HNSC-6492-01	-1.41383753206498	2.13681383209612	-3.55065136416111	B
HNSC-6010-01	2.862053547379	-2.12798439873165	4.99003794611065	B
HNSC-5373-01	6.24526461152746	2.44927531980687	3.79598929172059	B
HNSC-7395-01	7.77120293896317	2.85179211336777	4.9194108255954	B
HNSC-6471-01	5.50332383227075	1.16913286826584	4.33419096400491	B
HNSC-5555-01	-1.20412850437372	0.039866367737074	-1.24399487211079	B
HNSC-7369-01	-0.120485736551036	2.69637392747069	-2.81685966402172	B
HNSC-A4CD-01	-3.07849875290134	-0.578895917000012	-2.49960283590132	B
HNSC-A4CB-01	4.79608961406876	0.0497844785655118	4.74630513550324	B
HNSC-7421-01	-3.58858103287543	-2.35228477606444	-1.23629625681099	B
HNSC-A7JT-01	9.25392800757786	-0.244191427660386	9.49811943523824	B
HNSC-7367-01	5.48946904397145	1.88244504274631	3.60702400122514	B
HNSC-7753-01	-2.87504766781247	1.98030718092061	-4.85535484873308	B
HNSC-A45Z-01	3.49268229582565	0.334154028787841	3.15852826703781	B
HNSC-A6DI-01	-11.6120870102968	3.34594788141962	-14.9580348917164	B
HNSC-7754-01	4.88214236213629	-2.20224352664547	7.08438588878176	B
HNSC-A6V3-01	-2.95597192241605	1.33153162131036	-4.28750354372641	B
HNSC-A4C7-01	-1.2726148256142	0.116200573441399	-1.38881539905559	B
HNSC-5366-01	0.418098078616817	1.3627684707447	-0.944670392127885	B
HNSC-8298-01	-1.77338670360132	-1.13517509819364	-0.638211605407683	B
HNSC-A61E-01	-5.66384091613225	1.70428284674111	-7.36812376287336	B
HNSC-6472-01	-5.235041077858	-5.48374539308192	0.248704315223923	B
HNSC-A6SW-01	2.68951652807986	-5.44473118401114	8.134247712091	B
HNSC-A50G-01	0.603531181611506	3.24451467989616	-2.64098349828465	B
