"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RTN4",0,1.20590649181238,0.604,0.14,0,"High.ISGs","RTN4"
"HSBP1",0,1.20352912183607,0.605,0.136,0,"High.ISGs","HSBP1"
"FNDC3B",0,1.20244623222234,0.296,0.012,0,"High.ISGs","FNDC3B"
"LACTB",0,1.20119497046394,0.522,0.092,0,"High.ISGs","LACTB"
"GABARAP",0,1.19954072617866,0.486,0.08,0,"High.ISGs","GABARAP"
"PVRL2",0,1.19082303679816,0.276,0.005,0,"High.ISGs","PVRL2"
"PDLIM7",0,1.18804615321127,0.262,0.011,0,"High.ISGs","PDLIM7"
"FPR3",0,1.18199539014751,0.256,0.002,0,"High.ISGs","FPR3"
"RAB31",0,1.18023209753784,0.305,0.014,0,"High.ISGs","RAB31"
"RNF130",0,1.16107509984379,0.341,0.039,0,"High.ISGs","RNF130"
"TPM4",0,1.15498159708922,0.505,0.113,0,"High.ISGs","TPM4"
"SCARB2",0,1.14663943942492,0.331,0.037,0,"High.ISGs","SCARB2"
"RAB10",0,1.14591320078202,0.546,0.122,0,"High.ISGs","RAB10"
"ZEB2",0,1.14335436611319,0.325,0.022,0,"High.ISGs","ZEB2"
"PTGER2",0,1.14218505212336,0.301,0.021,0,"High.ISGs","PTGER2"
"LAP3",0,1.14205587875208,0.609,0.234,0,"High.ISGs","LAP3"
"ACOT9",0,1.1408061963443,0.354,0.04,0,"High.ISGs","ACOT9"
"ATP1B3",0,1.13911035884796,0.536,0.154,0,"High.ISGs","ATP1B3"
"CASP4",0,1.13870014352475,0.677,0.23,0,"High.ISGs","CASP4"
"VIM",0,1.12027395733304,0.946,0.651,0,"High.ISGs","VIM"
"PTPRE",0,1.0992528290826,0.309,0.026,0,"High.ISGs","PTPRE"
"TSPO",0,1.09434426148709,0.523,0.134,0,"High.ISGs","TSPO"
"HLA-DMA",0,1.08750344284497,0.372,0.072,0,"High.ISGs","HLA-DMA"
"FLOT1",0,1.08620473506567,0.367,0.047,0,"High.ISGs","FLOT1"
"ATOX1",0,1.08034932407711,0.38,0.066,0,"High.ISGs","ATOX1"
"DYNLL1",0,1.07237949127925,0.753,0.312,0,"High.ISGs","DYNLL1"
"ARPC5",0,1.06747766892646,0.874,0.422,0,"High.ISGs","ARPC5"
"PFN1",0,1.06704081217586,0.974,0.811,0,"High.ISGs","PFN1"
"LMNA",0,1.0612006067224,0.502,0.101,0,"High.ISGs","LMNA"
"C20orf24",0,1.05975598637342,0.634,0.201,0,"High.ISGs","C20orf24"
"APLP2",0,1.05925109893285,0.351,0.056,0,"High.ISGs","APLP2"
"MYL6",0,1.05780311890569,0.993,0.822,0,"High.ISGs","MYL6"
"ATG3",0,1.04751275523846,0.537,0.141,0,"High.ISGs","ATG3"
"PKM",0,1.04660006278468,0.797,0.375,0,"High.ISGs","PKM"
"HAVCR2",0,1.04523221541025,0.324,0.029,0,"High.ISGs","HAVCR2"
"PRDX1",0,1.0437833234972,0.717,0.271,0,"High.ISGs","PRDX1"
"SRGN",0,1.03883053694499,0.99,0.712,0,"High.ISGs","SRGN"
"VRK2",0,1.03116475972217,0.309,0.034,0,"High.ISGs","VRK2"
"NEAT1",0,1.02649462748342,0.71,0.263,0,"High.ISGs","NEAT1"
"SAT2",0,1.02545658994607,0.39,0.072,0,"High.ISGs","SAT2"
"MPP1",0,1.01785092049652,0.253,0.011,0,"High.ISGs","MPP1"
"SQSTM1",0,1.00218923922351,0.628,0.207,0,"High.ISGs","SQSTM1"
"MBOAT7",0,0.998595073631876,0.28,0.022,0,"High.ISGs","MBOAT7"
"SPHK1",0,0.996263590364814,0.256,0.024,0,"High.ISGs","SPHK1"
"GRINA",0,0.987675829821496,0.271,0.018,0,"High.ISGs","GRINA"
"AP1S2",0,0.983177200643938,0.477,0.131,0,"High.ISGs","AP1S2"
"OAZ1",0,0.980768619955026,0.996,0.821,0,"High.ISGs","OAZ1"
"VASP",0,0.975989215361911,0.39,0.089,0,"High.ISGs","VASP"
"MOB1A",0,0.960093796214109,0.61,0.197,0,"High.ISGs","MOB1A"
"PLSCR1",0,0.951938787125052,0.711,0.355,0,"High.ISGs","PLSCR1"
"SPPL2A",0,0.948057215393649,0.415,0.085,0,"High.ISGs","SPPL2A"
"PPP1R15A",0,0.923613217690264,0.411,0.086,0,"High.ISGs","PPP1R15A"
"NAMPT",0,0.917946308337705,0.345,0.063,0,"High.ISGs","NAMPT"
