,Gene1,Gene2,mutex_q,log_odds
296,SF3B1,PHF6,0.758399636488372,0.472435734214348
297,SF3B1,PML.RARA,0.758399636488372,0.472435734214348
298,SF3B1,PTPN11,0.24140908529957,0
299,SF3B1,RAD21,0.453166034500986,0
300,SF3B1,RUNX1,0.968295823122367,1.30243457829261
301,SRSF2,ASXL1,0.923954126886671,1.03721348753521
302,SRSF2,BCOR,0.985519496200309,1.42042736748935
303,SRSF2,BCORL1,0.185512915417815,0
304,SRSF2,CBFB.MYH11,0.0171339164045614,-3.09742226797974
305,SRSF2,CEBPA,0.366683283191058,0.0442447017977574
306,SRSF2,DNMT3A,0.000894765224451628,-1.05540834433011
307,SRSF2,EZH2,0.0559468511618253,-3.09742226797974
308,SRSF2,FLT3,0.0447689004839877,-0.749079030377185
309,SRSF2,FLT3_ITD,0.000759002073609751,-1.09142812533114
310,SRSF2,GATA2,0.423996445903721,-0.0951085872222491
311,SRSF2,IDH1,0.969250071330695,1.17731797007046
312,SRSF2,IDH2,0.99999730881483,1.54650486715788
313,SRSF2,JAK2,0.733248810984856,0.630828416160687
314,SRSF2,KIT,0.221562107705761,0
315,SRSF2,KRAS,0.426668191125452,0.0435349387914396
316,SRSF2,MLLT3.KMT2A,0.153263701373776,0
317,SRSF2,NPM1,0.00598813187068171,-0.624565916405415
318,SRSF2,NRAS,0.205738461725215,-0.031441525834819
319,SRSF2,PDS5B,0.469950788078844,-0.321036428491374
320,SRSF2,PHF6,0.548939960923946,0.119160636094665
321,SRSF2,PML.RARA,0.0932128374725049,-3.09742226797974
322,SRSF2,PTPN11,0.0189033937085095,-3.09742226797974
323,SRSF2,RAD21,0.582149888484911,0.201403564677804
324,SRSF2,RUNX1,0.990946428332128,1.35026370094547
325,SRSF2,SF3B1,0.114175110980981,-1.13610289758361
326,STAG2,ASXL1,0.979497571490921,1.32422193247751
327,STAG2,BCOR,0.556662665334978,0.150625825983823
328,STAG2,BCORL1,0.766843678609957,0.490622916448471
329,STAG2,CBFB.MYH11,0.131442171757331,0
330,STAG2,CEBPA,0.717618361351757,0.55397004252285
331,STAG2,DNMT3A,0.0559468511618253,-0.632182827128216
332,STAG2,EZH2,0.926908305904769,1.24250646832818
333,STAG2,FLT3,0.261913381935804,-0.360513720245898
334,STAG2,FLT3_ITD,0.00155881204825941,-2.19288617573762
335,STAG2,GATA2,0.252913345751908,0
336,STAG2,IDH1,0.319602805989041,-0.258670506070291
337,STAG2,IDH2,0.556910388996968,0.343771539102825
338,STAG2,JAK2,0.221562107705761,0
339,STAG2,KIT,0.469950788078844,0
340,STAG2,KRAS,0.834873949811948,0.893585938180398
341,STAG2,MLLT3.KMT2A,0.735045689225447,0.393269835014346
342,STAG2,NPM1,0.119177106104503,-0.317808777855288
343,STAG2,NRAS,0.508562711360392,0.288139843116676
344,STAG2,PDS5B,0.43265225619421,0
345,STAG2,PHF6,0.990946428332128,1.88492471179206
346,STAG2,PML.RARA,0.316586977205656,0
347,STAG2,PTPN11,0.64943345522122,0.357873625532663
348,STAG2,RAD21,0.344401808094449,0
349,STAG2,RUNX1,0.737460309552697,0.663624741293624
350,STAG2,SF3B1,0.448834740041299,-0.322629102529015
351,STAG2,SRSF2,0.982799474132555,1.36939756072641
352,TET2,ASXL1,0.659361577489976,0.54715030245962
353,TET2,BCOR,0.120414429910823,-0.699973145630345
354,TET2,BCORL1,0.461411561136506,-0.338975366839331
355,TET2,CBFB.MYH11,0.0154457778104906,-3.09742226797974
356,TET2,CEBPA,0.988003916014292,1.46246307067691
357,TET2,DNMT3A,0.0398250191999183,-0.318907719413434
358,TET2,EZH2,0.622813561145208,0.374895042023486
359,TET2,FLT3,0.0445079734453788,-0.767706416259231
360,TET2,FLT3_ITD,0.348701886638483,0.272254331068306
361,TET2,GATA2,0.622813561145208,0.374895042023486
362,TET2,IDH1,0.065896672230124,-0.662962204221548
363,TET2,IDH2,0.00160221570026802,-1.59418571027644
364,TET2,JAK2,0.725365743732065,0.612079357471164
365,TET2,KIT,0.212347985542192,0
366,TET2,KRAS,0.239128836609552,-0.445205436757679
367,TET2,MLLT3.KMT2A,0.40723352579862,-0.436480937207092
368,TET2,NPM1,0.735649568906789,0.687146700981726
369,TET2,NRAS,0.00368405935202227,-1.20894793896605
370,TET2,PDS5B,0.18053930524443,0
371,TET2,PHF6,0.864921021772737,0.997822643099159
372,TET2,PML.RARA,0.0895800276000548,-3.09742226797974
373,TET2,PTPN11,0.563202431868345,0.328972341389397
374,TET2,RAD21,0.767002926074752,0.693880049775598
375,TET2,RUNX1,0.0519960093318757,-0.494101180824796
376,TET2,SF3B1,0.448834740041299,0.0760645820890913
377,TET2,SRSF2,0.348701886638483,0.183132915864834
378,TET2,STAG2,0.701900636134142,0.584391075900981
379,TP53,ASXL1,0.205738461725215,-0.327598679857223
380,TP53,BCOR,0.11079715873044,-1.12260471541133
381,TP53,BCORL1,0.587506361340492,-0.0168071183163813
382,TP53,CBFB.MYH11,0.0436773621027477,-3.09742226797974
383,TP53,CEBPA,0.084899108818129,-1.19372087589036
384,TP53,DNMT3A,0.0287272691669981,-0.525609419950228
385,TP53,EZH2,0.583871173825104,0.214596490735751
386,TP53,FLT3,0.00348397200512429,-3.09742226797974
387,TP53,FLT3_ITD,2.28167079948655e-07,-3.09742226797974
388,TP53,GATA2,0.340731115203974,-0.562376949376751
389,TP53,IDH1,0.205738461725215,-0.327598679857223
390,TP53,IDH2,0.0379694430283181,-0.816908781588663
391,TP53,JAK2,0.725365743732065,0.578794953710155
392,TP53,KIT,0.629506038243684,0.0906698002478227
393,TP53,KRAS,0.205738461725215,-0.877645016776495
394,TP53,MLLT3.KMT2A,0.239510506496224,0
395,TP53,NPM1,4.81540411590608e-08,-3.09742226797974
396,TP53,NRAS,0.234743718569885,-0.056320320233185
397,TP53,PDS5B,0.263154514274035,0
398,TP53,PHF6,0.846458322265773,0.937796937095119
399,TP53,PML.RARA,0.168897148391523,0
400,TP53,PTPN11,0.0447689004839877,-3.09742226797974
401,TP53,RAD21,0.192681465111687,0
402,TP53,RUNX1,0.0174087463904142,-1.18716568600955
403,TP53,SF3B1,0.0563114268822281,-3.09742226797974
404,TP53,SRSF2,0.0405867295320072,-0.798270138311915
405,TP53,STAG2,0.426668191125452,0.0558635800451587
406,TP53,TET2,0.0136534387766769,-1.26226422761951
407,U2AF1,ASXL1,0.874569953104363,0.978394942365921
408,U2AF1,BCOR,0.979497571490921,1.42467860412821
409,U2AF1,BCORL1,0.798510317901681,0.602087215044315
410,U2AF1,CBFB.MYH11,0.434606667446881,-0.345101958381074
411,U2AF1,CEBPA,0.105595615035315,0
412,U2AF1,DNMT3A,0.0442187278922582,-0.846934290123246
413,U2AF1,EZH2,0.824966805697368,0.850726043381272
414,U2AF1,FLT3,0.0398250191999183,-3.09742226797974
415,U2AF1,FLT3_ITD,0.39697320022638,0.18639073840068
416,U2AF1,GATA2,0.824966805697368,0.850726043381272
417,U2AF1,IDH1,0.0459807724539309,-3.09742226797974
418,U2AF1,IDH2,0.298804658001376,-0.158353045798337
419,U2AF1,JAK2,0.798510317901681,0.728827775579782
420,U2AF1,KIT,0.49358659814051,0
421,U2AF1,KRAS,0.875981508400882,1.01315814012709
422,U2AF1,MLLT3.KMT2A,0.441086302274123,0
423,U2AF1,NPM1,0.000149734811704408,-3.09742226797974
424,U2AF1,NRAS,0.441086302274123,0.133856860487445
425,U2AF1,PDS5B,0.798510317901681,0.602087215044315
426,U2AF1,PHF6,0.979497571490921,1.59127394180643
427,U2AF1,PML.RARA,0.354502655582111,0
428,U2AF1,PTPN11,0.455247113124952,-0.30219009894136
429,U2AF1,RAD21,0.366683283191058,0
430,U2AF1,RUNX1,0.955363792999649,1.22266493733809
431,U2AF1,SF3B1,0.207084106608947,0
432,U2AF1,SRSF2,0.0136534387766769,-3.09742226797974
433,U2AF1,STAG2,0.118096374576759,0
434,U2AF1,TET2,0.0519960093318757,-1.37022053628883
435,U2AF1,TP53,0.815968949595895,0.818804272647235
436,WT1,ASXL1,0.0519960093318757,-1.34868309037411
437,WT1,BCOR,0.561023788153381,0.274778667615873
438,WT1,BCORL1,0.652676773810119,0.155543437712562
439,WT1,CBFB.MYH11,0.234475859740236,-0.792563339346253
440,WT1,CEBPA,0.820160554603417,0.838248024867286
441,WT1,DNMT3A,0.136994869448655,-0.150236780506122
442,WT1,EZH2,0.152819713968516,0
443,WT1,FLT3,0.815968949595895,0.808705521194218
444,WT1,FLT3_ITD,0.205738461725215,-0.0266912099855919
445,WT1,GATA2,0.417013511556482,-0.389806425174968
446,WT1,IDH1,0.0131171795583386,-3.09742226797974
447,WT1,IDH2,0.272436080366359,-0.0343676435042078
448,WT1,JAK2,0.362573631566389,-0.505278351166644
449,WT1,KIT,0.356322176802315,0
450,WT1,KRAS,0.49358659814051,0.0595545307565904
451,WT1,MLLT3.KMT2A,0.286010446285422,0
452,WT1,NPM1,0.469950788078844,0.354373446950453
453,WT1,NRAS,0.366683283191058,0.137890158955478
454,WT1,PDS5B,0.652676773810119,0.155543437712562
455,WT1,PHF6,0.897110212738763,1.1176604836388
456,WT1,PML.RARA,0.508782015075596,-0.189314592284925
457,WT1,PTPN11,0.477533441994489,0.0129591446425051
458,WT1,RAD21,0.92025262392018,1.20676610223155
459,WT1,RUNX1,0.00175389540281467,-3.09742226797974
460,WT1,SF3B1,0.286010446285422,-0.658285262393726
461,WT1,SRSF2,0.0107689045082994,-1.80226744682647
462,WT1,STAG2,0.548377568892296,0.236244175359908
463,WT1,TET2,0.0287272691669981,-1.08442765367615
464,WT1,TP53,0.0320962236680855,-1.49572820216535
465,WT1,U2AF1,0.0493312173324864,-3.09742226797974
466,ZRSR2,ASXL1,0.850645695117395,0.954051133930333
467,ZRSR2,BCOR,0.936736213141009,1.36219680954083
468,ZRSR2,BCORL1,0.735045689225447,0
469,ZRSR2,CBFB.MYH11,0.488290633253649,0
470,ZRSR2,CEBPA,0.420736418569802,0
471,ZRSR2,DNMT3A,0.203603288499669,-1.00981678988498
472,ZRSR2,EZH2,0.985519496200309,1.94591014905531
473,ZRSR2,FLT3,0.823603559098412,0.852574917488047
474,ZRSR2,FLT3_ITD,0.591463912160234,0.300596113718528
475,ZRSR2,GATA2,0.608676778368927,0
476,ZRSR2,IDH1,0.315845389638744,0
477,ZRSR2,IDH2,0.461411561136506,-0.338975366839331
478,ZRSR2,JAK2,0.982078516728343,1.82415096501929
479,ZRSR2,KIT,0.755632532315512,0
480,ZRSR2,KRAS,0.826431426002424,0.770510717173433
481,ZRSR2,MLLT3.KMT2A,0.71807327464084,0
482,ZRSR2,NPM1,0.318530081189953,-0.384845820905429
483,ZRSR2,NRAS,0.168468671706215,0
484,ZRSR2,PDS5B,0.735045689225447,0
