gene,immune_cells,cor,p.value
KIAA2026,iDC,-0.238466760463498,8.87227130800629e-10
KIAA2026,Macrophages,0.0305088943415087,0.439578752627344
KIAA2026,Mast.cells,-0.0404760635112291,0.305083870238396
KIAA2026,Neutrophils,-0.171328466068837,1.23256236852239e-05
KIAA2026,NK.CD56bright.cells,-0.285596222501776,1.49099703846803e-13
KIAA2026,NK.CD56dim.cells,-0.19513370762639,6.02644664369155e-07
KIAA2026,NK.cells,0.0470318065824137,0.233310516358646
KIAA2026,pDC,0.00924479833512874,0.814863944141021
KIAA2026,T.cells,-0.123389813894776,0.00170572516544831
KIAA2026,T.helper.cells,0.390325846778132,7.2396530174055e-25
KIAA2026,Tcm,0.662143057438077,1.71392782952524e-82
KIAA2026,Tem,0.235059580254347,1.55687826741746e-09
KIAA2026,TFH,0.116619979152464,0.00303813712887138
KIAA2026,Tgd,0.339252807171678,8.25399461650756e-19
KIAA2026,Th1.cells,-0.0619952643076158,0.11601571168809
KIAA2026,Th17.cells,-0.162246531138442,3.52188575759412e-05
KIAA2026,Th2.cells,0.0714033913749223,0.0701708102656421
KIAA2026,TReg,-0.130099695618316,0.000935560872587619
TNFSF9,aDC,0.217561344397771,2.44275918249498e-08
TNFSF9,B.cells,-0.0866540302285628,0.027885169495186
TNFSF9,CD8.T.cells,0.239209890394998,7.83914673394198e-10
TNFSF9,Cytotoxic.cells,0.313744922304705,3.54299542138585e-16
TNFSF9,DC,0.126632261839537,0.0012805830070483
TNFSF9,Eosinophils,-0.0197203693471589,0.617410836174303
TNFSF9,iDC,0.170320870449869,1.38861847595101e-05
TNFSF9,Macrophages,0.188866465301348,1.38541983376379e-06
TNFSF9,Mast.cells,0.114926436208266,0.00349445173694576
TNFSF9,Neutrophils,0.145089255501378,0.000220436798277662
TNFSF9,NK.CD56bright.cells,0.282243874597097,2.93136056249293e-13
TNFSF9,NK.CD56dim.cells,-0.0886729197599091,0.0244280644796021
TNFSF9,NK.cells,0.0666701487225651,0.0909336746103069
