GenePairs,frac.of.var.tissue,frac.of.var.species,frac.of.var.residual
XRCC1_Xrcc1,0.181984229768874,0.787963216333017,0.0300525538981088
BHLHB9_Bhlhb9,0.595435160700228,4.64380494058173e-10,0.404564838835392
SPACA1_Spaca1,0.563683386299411,0.311126667630637,0.125189946069952
AASDH_Aasdh,5.21194171757025e-10,0.68561304697798,0.314386952500826
RAB15_Rab15,0.0549400677999838,3.84759643764525e-09,0.94505992835242
RBM25_Rbm25,0.289181488707105,0.239879624634194,0.470938886658701
SH2B3_Sh2b3,0.364130128542193,0.38743066404266,0.248439207415146
PIGT_Pigt,0.0129099243540899,0.941938483848176,0.0451515917977337
MEA1_Mea1,0.276780059067459,0.609424533820179,0.113795407112362
RAB25_Rab25,0.546640822415734,0.0502193909062527,0.403139786678013
VASH1_Vash1,0.617465811405649,0.0280163922591391,0.354517796335212
IL31RA_Il31ra,0.0148100017399273,0.109241583604272,0.875948414655801
USP53_Usp53,0,0.529216279997031,0.470783720002969
DHRS7B_Dhrs7b,0.0410900967679915,0.856020885867,0.102889017365008
