nes size p.value p.adj
ZNF668 3.12760712219247 283 0.00176235584544911 0.00975371220979978
DLX2 3.12757655588717 265 0.00176253911295004 0.00975371220979978
HSF1 3.12537306464185 391 0.00177579691700266 0.0097856150785041
ZNF565 -3.12327952469192 298 0.00178847804010366 0.00979258385454845
PITX1 -3.12171068622198 495 0.00179803540928881 0.00979258385454845
NFIL3 3.12065478180014 518 0.00180449438776368 0.00979258385454845
NFE2L3 3.12023727780945 316 0.00180705414161269 0.00979258385454845
RUNX2 3.11869265843608 296 0.00181655337852483 0.00979629575562182
ZNF431 -3.11738554818897 230 0.00182462778532171 0.00979629575562182
ZNF790 -3.11647981680977 151 0.00183024208604267 0.00979629575562182
HOXD9 3.109503603826 192 0.00187401998378257 0.00997349100735275
ZNF836 -3.1087791566994 295 0.00187862081761775 0.00997349100735275
NFKB1 3.10623708684874 401 0.00189484725005882 0.00998000974355355
ELK1 3.10580830541903 338 0.00189759688325726 0.00998000974355355
ZNF524 -3.10473967142224 362 0.00190446563408966 0.00998000974355355
YY1 3.10381687847845 386 0.0019104153414153 0.00998000974355355
ZNF491 -3.09547365395133 215 0.00196498828818342 0.0102242020094325
ZSCAN1 -3.09142050885741 445 0.00199201310311634 0.0102785173265223
DUX4 -3.09075090460923 432 0.00199651046172017 0.0102785173265223
SNAI1 3.08868653339759 379 0.00201043440984942 0.0102785173265223
AHR 3.08867201269899 388 0.00201053266515216 0.0102785173265223
HOXA10 3.08804519381466 411 0.00201477828146226 0.0102785173265223
ZNF160 -3.08480728631541 269 0.00203684082858836 0.0103506386075346
ZNF285 -3.07569734728676 339 0.00210010898396208 0.0105937902883464
POU2F2 3.0755832813739 316 0.00210091246912842 0.0105937902883464
EMX1 3.07328508447319 435 0.00211716124984461 0.0106346638165272
ZNF282 3.07075519944434 338 0.00213518132023957 0.0106840873725398
IRX6 -3.06233761505956 256 0.00219615596996831 0.010940722740713
ZNF483 -3.0607435191138 190 0.00220788135627784 0.010940722740713
